"infect","read.amt","pre.readf1","pre.readf2","pre.readf3","pre.readf4","pre.readf5","pre.readf6","post.readf1","post.readf2","post.readf3","post.readf4","post.readf5","post.readf6","stress.1","stress.2","stress.3","stress.4","stress.5","stu.engage.1","stu.engage.2","stu.engage.3","stu.engage.4","stu.itcap","learn.per1","learn.per2","gpax.y1","gpax.y2","gender","t.exp","t.itcap","climate.pro.1","climate.pro.2","climate.pro.3","climate.pro.4","climate.pro.5","climate.pro.6","t.mode","location","internet","it.equip"
2,"3","1","1","4","1","1","4","1","3","4","4","1","4","3","2","2","2","1","3","3","3","5","2",13.7,12.73,2.53,2.24,2,1,"2","1","1","2","1","1","1","1","กลาง",2,2
2,"2","1","1","2","1","2","2","1","4","2","3","1","4","2","1","1","2","1","5","5","5","5","3",13.1,19.16,2.5,2.49,2,1,"3","1","1","2","1","2","2","1","กลาง",2,2
2,"3","2","1","4","1","1","1","1","3","2","4","1","4","2","2","3","2","1","5","5","5","5","3",9.7,18.99,2.59,2.58,2,1,"3","4","3","3","4","5","5","1","กลาง",2,3
1,"3","1","3","4","1","1","2","1","1","4","3","1","4","4","2","4","3","3","4","4","3","3","2",10.5,2.96,2.53,1.42,2,3,"1","3","1","3","3","1","3","1","กลาง",2,1
2,"1","1","1","3","1","1","2","1","1","4","2","1","4","1","1","1","1","1","5","5","5","5","3",13.2,19.03,2.84,2.83,2,2,"2","5","4","3","5","5","5","1","กลาง",2,2
2,"2","1","3","3","3","1","3","1","1","4","4","1","4","1","1","1","1","1","5","5","5","5","3",11,19.93,2.91,2.89,1,1,"1","1","1","1","1","1","1","1","กลาง",2,3
2,"3","1","3","3","4","1","4","1","2","4","3","1","4","2","1","2","2","1","5","4","4","5","3",13.5,19.02,3.25,3.15,1,2,"2","4","3","3","4","4","4","1","กลาง",2,3
2,"2","1","4","1","3","1","4","1","4","4","4","1","4","5","4","4","5","5","3","3","3","3","1",16.7,4.68,3.28,2.1,2,2,"2","5","4","5","5","5","5","1","กลาง",2,1
2,"2","1","1","3","3","1","3","1","2","4","3","1","4","5","5","5","5","5","3","2","3","3","1",16.2,0.18,3.33,1.88,1,3,"1","3","1","3","1","1","1","1","กลาง",2,0
2,"2","1","2","4","1","1","3","1","1","4","3","1","4","3","2","3","2","2","3","3","3","4","2",11.7,8.86,3.31,2.77,2,2,"3","5","5","5","5","5","4","1","กลาง",2,1
1,"2","1","2","4","1","1","1","1","4","4","4","1","4","4","2","4","4","3","3","1","2","2","1",8.1,6.1,2.4,1.54,1,1,"3","3","1","3","4","4","2","1","กลาง",2,0
2,"3","1","4","2","3","1","2","1","3","4","4","1","3","4","2","4","5","3","4","4","4","5","1",11.1,5.6,2.94,2.02,2,3,"1","1","1","3","4","2","1","1","กลาง",2,0
1,"3","1","1","4","1","1","1","1","4","4","4","1","4","3","2","4","4","2","3","3","2","3","2",7.4,1.88,2.03,1.05,1,2,"3","3","2","3","4","5","4","1","กลาง",2,2
2,"4","1","4","2","1","1","3","1","1","4","3","1","4","3","2","3","2","1","5","5","4","5","3",11.6,18.34,2.61,2.6,2,3,"1","4","5","5","5","5","5","1","กลาง",2,2
2,"2","1","1","1","1","1","3","1","3","4","4","1","4","2","2","1","1","1","5","5","5","5","3",13.6,19.16,2.86,2.82,2,3,"1","5","3","3","4","5","4","1","กลาง",2,2
2,"3","1","2","1","3","1","1","1","1","4","4","1","4","3","2","3","2","2","5","4","5","5","2",12.5,15.44,2.97,2.74,2,2,"2","5","5","5","5","5","5","1","กลาง",2,1
2,"3","1","4","2","1","1","3","1","4","4","4","1","4","2","1","1","1","1","5","5","5","5","3",15.2,19.54,3.49,3.46,1,2,"2","3","1","3","3","1","1","1","กลาง",2,1
1,"3","1","4","1","2","1","3","1","4","4","4","2","4","3","2","3","2","1","5","5","5","5","3",16.2,19.77,2.76,2.65,1,2,"3","3","1","3","4","2","1","1","กลาง",2,2
1,"3","1","2","4","1","1","2","1","3","4","4","1","4","3","2","3","2","1","4","3","3","5","2",13.2,9.17,3.23,2.72,2,2,"2","5","5","5","5","5","5","1","กลาง",2,0
2,"4","1","2","1","2","1","3","1","1","4","4","1","4","2","1","1","2","1","5","5","5","5","3",12.4,17.46,2.92,2.76,1,3,"3","4","3","3","4","5","4","1","กลาง",2,2
2,"2","1","2","1","2","1","2","1","2","3","4","1","4","4","2","4","4","4","4","3","4","4","1",7.9,11.69,2.5,1.95,2,2,"2","5","5","5","5","5","5","1","กลาง",2,1
2,"2","1","3","2","4","1","2","1","4","4","3","2","4","3","2","4","3","2","5","4","4","5","2",12,15.4,2.91,2.6,2,3,"1","1","1","2","1","2","1","1","กลาง",2,2
2,"1","1","3","4","1","1","2","1","2","4","4","1","4","4","2","4","3","2","2","2","1","1","1",13.5,0.38,2.76,1.6,2,2,"3","5","5","3","4","5","5","1","กลาง",2,1
2,"3","1","4","4","2","1","1","1","1","4","4","1","4","3","2","2","2","1","5","5","5","5","3",10.4,18.28,2.7,2.68,1,1,"2","1","1","3","1","1","1","1","กลาง",2,2
2,"3","1","2","1","1","1","1","1","2","4","4","1","4","4","2","3","2","2","5","5","4","5","2",11.4,13.83,2.55,2.29,2,2,"3","5","5","5","5","5","5","1","กลาง",2,1
2,"2","1","2","3","2","1","2","1","3","4","3","1","4","4","5","5","5","5","3","4","3","3","1",15.8,1.54,3.63,2.51,2,2,"3","5","5","5","5","5","5","1","กลาง",2,1
2,"3","1","2","2","2","2","1","1","1","4","4","1","4","2","1","2","1","1","5","4","4","5","3",13,19.47,2.58,2.57,1,2,"3","3","1","3","3","3","2","1","กลาง",2,1
2,"3","1","3","1","3","1","2","1","4","4","4","1","4","3","2","3","2","3","5","4","5","5","2",10.5,17.45,2.38,2.28,2,1,"3","5","4","5","5","5","5","1","กลาง",2,3
2,"3","4","4","3","1","1","3","1","1","4","4","1","4","4","2","4","4","3","3","2","1","2","1",10.8,3.67,2.84,1.93,1,3,"1","1","1","3","1","1","1","1","กลาง",2,1
2,"2","1","2","3","1","1","1","1","2","4","4","1","4","2","2","3","2","1","3","4","4","5","3",14.9,17.99,2.52,2.45,2,2,"1","3","2","3","4","4","4","1","กลาง",2,1
1,"3","1","2","4","2","1","2","1","4","4","4","2","2","3","2","3","2","1","3","4","4","5","3",9.5,11.29,2.3,1.77,1,1,"3","1","1","2","1","1","1","1","กลาง",2,1
1,"2","2","3","2","1","1","1","1","3","4","4","1","4","4","2","4","4","4","2","1","1","1","1",10.2,2.82,2.61,1.47,2,2,"3","4","3","5","5","5","5","1","กลาง",2,0
2,"2","4","3","4","2","1","3","1","4","2","4","1","4","2","1","3","2","1","5","4","4","5","3",13,18.7,2.93,2.9,1,3,"1","1","1","2","2","3","1","1","กลาง",2,2
2,"3","1","3","2","3","1","1","1","1","4","4","3","4","3","2","3","2","1","5","5","4","5","3",18.3,18,3.05,3.04,1,1,"2","1","1","1","1","1","1","1","กลาง",2,2
2,"3","1","1","4","2","1","1","1","3","4","4","1","4","5","4","5","5","5","2","1","1","1","1",16.5,0.06,3.67,2.35,1,2,"2","1","1","2","3","1","1","1","กลาง",2,0
2,"3","1","3","4","1","1","3","1","4","4","2","1","4","3","2","3","2","1","5","5","4","4","3",8.3,19.58,2.15,2.13,2,1,"1","1","1","1","2","1","1","1","กลาง",2,2
2,"2","1","1","4","1","1","2","1","4","4","4","1","3","1","1","1","1","1","5","5","5","5","3",10.6,19.92,2.37,2.36,2,2,"3","5","5","5","5","5","5","1","กลาง",2,2
2,"2","1","2","4","1","1","4","1","3","4","4","1","3","1","1","1","1","1","5","5","5","5","3",10.6,19.77,2.64,2.64,2,1,"2","1","3","3","3","2","3","1","กลาง",1,3
2,"2","1","2","4","1","1","3","1","2","4","3","1","4","3","2","3","3","3","3","2","2","3","1",10.1,5.18,2.48,1.62,2,2,"1","3","2","3","3","4","4","1","กลาง",2,1
1,"3","1","4","4","1","1","3","1","1","4","4","1","2","3","2","3","2","2","5","3","3","2","2",13.3,13.35,2.76,2.46,1,2,"3","4","2","2","3","4","2","1","กลาง",2,1
1,"3","1","4","4","1","1","2","1","3","4","4","2","3","4","4","4","4","4","3","3","1","2","1",12.9,0.85,2.98,1.69,2,2,"2","4","1","3","4","2","5","1","กลาง",2,0
2,"3","1","3","2","2","1","3","1","4","4","4","1","4","4","2","4","3","2","5","4","4","4","1",12.6,13.64,2.47,2.14,2,3,"1","4","3","3","2","4","3","1","กลาง",2,1
2,"3","1","3","2","4","1","2","1","1","3","4","1","4","3","2","3","2","1","5","5","5","5","3",13.1,19.77,3.63,3.6,2,1,"3","5","5","5","5","5","5","1","กลาง",1,1
1,"3","1","4","1","3","1","2","1","3","4","2","1","4","3","2","3","2","2","5","5","4","5","3",15.2,16.27,2.94,2.9,1,1,"2","1","1","1","1","1","1","1","กลาง",2,2
2,"3","1","4","4","1","1","1","1","1","4","3","1","3","3","2","3","2","1","5","3","4","2","3",7.6,16.21,2.21,2.05,2,2,"1","4","2","3","4","2","1","1","กลาง",2,2
1,"3","2","2","4","1","1","4","1","1","4","3","1","1","3","2","3","4","2","3","2","3","4","2",7.7,5.33,2.39,1.51,2,3,"1","4","3","3","4","4","5","1","กลาง",2,0
2,"2","1","2","3","4","1","4","1","1","4","4","2","4","5","5","5","5","5","2","1","1","1","1",13.8,0.11,2.76,1.48,2,2,"2","4","3","3","4","5","4","1","กลาง",2,0
2,"2","1","3","2","1","1","3","1","1","4","4","1","3","3","2","3","2","2","4","4","4","4","3",13.5,19.92,3.12,3.1,2,3,"2","4","3","3","3","4","4","1","กลาง",2,1
2,"2","1","3","1","1","1","4","1","4","3","4","1","4","3","2","3","2","1","5","4","4","5","3",11.2,18.46,2.47,2.4,2,2,"3","5","4","5","5","5","4","1","กลาง",1,0
2,"3","1","1","1","1","1","4","1","4","4","4","1","4","3","2","3","2","1","5","5","5","5","3",7.3,19.45,2.13,2.13,2,2,"3","5","5","5","5","5","5","1","กลาง",2,2
1,"1","1","4","4","2","1","4","1","2","4","4","1","4","3","2","3","2","1","4","3","3","4","3",16.4,14.95,3.4,3.2,2,2,"3","4","5","3","5","5","5","1","กลาง",2,2
2,"3","1","3","4","1","2","2","1","2","4","2","1","4","2","1","1","1","1","5","5","5","5","3",9.4,19.83,2.23,2.21,2,3,"2","5","5","5","5","5","5","1","กลาง",2,2
1,"3","1","4","4","2","1","1","1","3","4","4","1","4","1","1","1","1","1","5","5","5","5","3",12.7,19.9,3.12,3.02,1,2,"2","1","1","3","3","2","1","1","กลาง",2,3
1,"3","1","4","1","1","1","2","1","4","4","4","2","4","1","1","1","1","1","5","5","5","5","3",12.9,19.69,2.88,2.86,2,2,"2","4","3","5","4","4","4","1","กลาง",2,3
2,"3","2","2","1","2","1","1","1","4","4","4","2","3","3","2","3","2","2","5","5","5","5","3",10.3,17.23,2.75,2.7,2,2,"3","5","5","5","5","5","5","1","กลาง",2,1
2,"3","1","2","1","2","1","1","1","1","4","4","1","4","3","2","3","3","2","5","4","4","5","3",14.8,14.7,3.35,3,2,2,"1","4","1","3","3","4","1","1","กลาง",2,3
2,"2","2","1","1","3","1","4","1","2","4","4","1","4","4","3","4","4","4","3","2","3","3","1",8.9,1.13,2.67,1.43,2,2,"2","5","3","5","5","5","5","1","กลาง",2,1
2,"3","2","2","2","1","1","1","1","2","3","4","1","4","4","2","4","5","3","3","4","3","5","1",16.1,2.57,3.3,2.18,2,2,"3","5","3","5","5","5","5","1","กลาง",2,1
1,"1","1","1","4","1","1","1","2","3","4","4","1","4","3","2","3","2","3","4","4","4","5","3",11.1,7.85,3.1,2.48,2,3,"2","5","3","5","5","5","5","1","กลาง",2,0
2,"3","2","3","3","1","1","1","1","1","4","3","1","4","3","2","3","2","1","5","4","4","5","3",13.4,18.78,3.32,3.31,2,3,"1","2","2","3","2","2","1","1","กลาง",2,1
2,"3","2","3","4","1","1","1","1","4","4","4","1","3","3","2","3","2","2","3","3","3","3","2",13.1,12.78,3.45,3.16,2,3,"1","3","3","3","3","2","4","1","กลาง",2,0
2,"1","1","4","3","3","1","1","1","3","4","4","1","4","5","5","4","5","5","3","1","1","1","1",16.9,1.04,3.59,2.2,2,2,"2","5","3","5","5","5","5","1","กลาง",2,0
2,"2","1","1","1","2","1","2","1","1","4","4","1","3","1","1","1","1","1","5","5","5","5","3",12.9,19.89,2.96,2.96,2,2,"3","5","5","5","5","5","5","1","กลาง",2,3
2,"3","2","3","4","1","1","3","1","2","4","4","1","1","4","4","4","4","4","2","1","1","2","1",13.2,0.03,3.05,1.8,1,2,"3","4","3","3","4","4","2","1","กลาง",2,0
2,"3","1","1","1","3","1","3","1","2","4","4","1","4","1","1","1","1","1","5","5","5","5","3",9.5,19.88,2.76,2.72,2,2,"2","5","5","5","4","5","5","1","กลาง",2,3
2,"3","1","2","1","3","1","2","1","2","3","4","1","4","2","1","1","2","1","5","5","5","5","3",9.3,19.96,3,2.99,1,3,"1","1","1","2","2","1","1","1","กลาง",2,3
2,"2","3","3","3","1","1","1","1","1","4","4","1","4","3","2","3","3","1","5","4","5","5","2",15.8,15.68,3.12,2.96,1,3,"3","1","1","3","2","2","1","1","กลาง",2,1
2,"2","1","1","1","1","1","3","1","4","4","4","1","4","4","5","4","5","4","3","3","3","3","1",11.4,0.72,3,1.74,1,2,"2","3","1","3","3","3","1","1","กลาง",2,1
2,"3","1","4","3","1","1","2","1","2","4","1","1","4","3","2","3","2","2","5","5","4","5","3",14.3,13.88,2.7,2.46,1,1,"3","3","1","2","2","2","1","1","กลาง",2,3
2,"3","1","2","2","1","1","1","1","1","2","2","1","4","3","2","3","3","3","3","3","3","2","1",17.3,8.6,3.22,2.61,2,3,"1","3","3","5","5","5","3","1","กลาง",2,1
2,"3","4","4","3","2","1","2","1","4","4","4","2","4","4","2","3","3","3","4","3","4","4","1",12.7,6.71,2.63,1.86,2,2,"1","3","2","3","3","2","2","1","กลาง",2,1
2,"3","3","4","1","1","1","2","1","3","4","4","1","4","3","2","3","3","2","5","5","5","5","2",15.7,14.49,3.4,3.24,1,1,"3","1","3","3","3","4","4","1","กลาง",1,0
1,"3","1","4","4","1","1","1","1","2","4","3","1","4","3","2","3","3","1","3","4","3","3","3",9,11.69,3.16,2.75,1,2,"2","1","1","3","3","1","1","1","กลาง",2,1
2,"3","1","2","3","1","1","2","1","4","4","3","1","4","4","2","4","3","3","5","4","4","5","1",8.5,11.88,2.09,1.7,1,1,"3","1","1","3","3","2","1","1","กลาง",2,1
2,"3","1","2","3","1","1","1","1","4","4","4","1","4","3","2","3","2","1","5","5","5","5","3",14.7,17.62,2.86,2.85,2,2,"2","1","1","3","2","2","1","1","กลาง",2,2
2,"3","1","3","2","1","4","1","1","1","4","4","1","4","3","2","4","3","3","3","4","3","5","2",11.1,13.24,2.75,2.39,1,1,"1","1","1","1","1","1","1","1","กลาง",2,2
2,"2","1","4","4","4","1","3","1","4","3","2","1","4","3","2","3","3","3","3","3","3","3","2",17.7,15.64,3.8,3.71,2,2,"1","4","2","3","4","3","4","1","กลาง",2,1
2,"3","1","1","4","1","1","2","1","3","4","3","1","4","1","1","1","1","1","5","5","5","5","3",9.4,19.23,2.61,2.6,2,2,"1","1","1","3","1","2","1","1","กลาง",2,2
1,"3","1","1","4","1","1","1","1","2","4","4","1","2","1","1","2","2","1","5","3","4","4","3",9,19.4,1.65,1.64,2,3,"1","5","3","3","4","5","4","1","กลาง",2,2
2,"2","1","3","1","1","1","1","1","1","4","4","1","4","3","2","3","3","3","5","4","5","5","3",9.6,18.05,2.63,2.59,2,1,"1","1","1","1","2","1","1","1","กลาง",2,1
1,"3","1","1","2","1","1","3","1","1","4","4","1","3","4","2","4","3","3","3","2","1","2","1",14.8,3.67,2.63,1.64,2,2,"2","1","1","3","3","2","3","1","กลาง",2,1
2,"2","2","3","3","4","1","1","1","1","4","2","1","4","1","1","1","1","1","5","5","5","5","3",18.8,19.65,3.38,3.37,2,2,"1","5","3","3","5","5","5","1","กลาง",1,3
1,"3","1","3","3","3","1","1","2","3","4","3","1","3","3","2","3","2","2","5","3","4","5","3",9.2,15.41,2.33,2.24,2,1,"3","4","4","3","5","5","5","1","กลาง",2,1
2,"2","1","3","4","1","1","1","1","3","4","4","1","2","3","2","4","4","3","3","3","2","2","1",13,1.87,3.08,2.05,1,2,"3","5","3","5","4","5","5","1","กลาง",2,1
2,"3","1","3","1","2","1","1","1","4","4","4","1","4","3","2","4","4","3","3","3","4","3","2",12,4.33,2.87,1.88,2,2,"1","3","1","3","3","2","1","1","กลาง",2,1
2,"3","1","1","3","1","1","3","1","2","4","4","1","4","3","2","3","3","2","3","3","2","5","2",7.6,4.25,2.26,1.43,1,3,"1","1","1","1","2","2","1","1","กลาง",2,2
2,"1","2","4","4","3","1","1","1","3","4","4","1","4","1","1","1","2","1","5","5","5","5","3",10.4,19.03,2.54,2.49,1,1,"2","1","1","1","1","1","1","1","กลาง",1,2
2,"1","1","2","1","1","1","2","1","4","4","2","1","4","1","1","1","1","1","5","5","5","5","3",14.3,19.91,2.83,2.78,2,2,"2","4","4","5","4","4","5","1","กลาง",1,2
2,"3","1","2","2","4","1","1","1","2","4","4","1","3","5","5","5","5","5","1","1","1","1","1",11.7,0.09,2.46,1.2,2,2,"1","5","3","5","5","5","5","1","กลาง",2,1
2,"3","1","2","4","1","1","3","1","2","4","4","1","3","4","2","3","3","3","3","2","2","3","2",11.2,0.12,2.77,1.51,2,1,"1","1","1","2","1","2","2","1","กลาง",2,1
1,"3","1","3","2","1","1","3","1","2","4","4","1","4","5","5","5","5","5","3","2","3","2","1",12.9,0.67,2.69,1.37,1,1,"2","1","1","1","1","1","1","1","กลาง",2,1
2,"3","2","4","4","4","1","4","1","2","4","4","1","4","3","2","3","1","1","5","4","4","5","3",11.5,19.34,3.25,3.24,1,2,"3","4","1","3","4","2","4","1","กลาง",1,1
1,"3","1","4","1","1","1","2","1","3","4","4","1","4","4","2","3","3","2","3","1","1","1","1",12.6,2.09,3.26,2.09,2,3,"1","1","1","2","1","1","1","1","กลาง",2,1
1,"3","1","1","4","1","1","4","1","1","4","2","1","2","2","2","2","2","1","5","4","4","5","3",13.9,19.44,3.03,3,2,2,"1","5","3","3","5","5","5","1","กลาง",2,0
2,"3","1","3","1","2","1","2","1","1","4","4","1","4","4","2","3","4","2","5","4","4","5","2",13.4,6.65,2.53,1.72,2,3,"1","3","1","2","3","2","2","1","กลาง",2,1
1,"3","1","2","4","3","1","1","1","1","4","4","1","3","3","2","3","2","1","4","4","4","5","3",12.8,19.14,2.48,2.42,1,1,"3","3","2","3","3","2","1","1","กลาง",2,2
2,"1","1","1","4","1","1","1","1","3","4","3","1","4","3","2","3","2","1","3","4","4","3","2",13.5,14.18,2.88,2.48,2,3,"1","4","3","3","1","2","2","1","กลาง",1,1
2,"3","2","1","4","1","1","1","1","3","4","4","1","4","4","4","4","4","3","3","2","1","1","1",10.1,1.53,2.38,1.25,2,1,"2","4","2","3","3","4","4","1","กลาง",2,0
2,"3","1","3","4","3","1","4","1","2","4","3","1","4","4","2","4","3","3","5","4","4","5","2",17.2,13.29,3.3,3.04,2,2,"1","4","3","3","4","2","5","1","กลาง",2,2
2,"3","1","1","4","1","1","4","1","4","4","4","1","4","4","2","4","4","4","3","1","1","2","1",11.3,1.71,2.48,1.27,2,1,"2","1","1","1","1","1","1","1","กลาง",2,2
2,"3","1","2","1","1","1","1","1","4","4","4","1","3","3","2","3","2","2","5","5","5","5","2",14.6,17.09,3.2,3.16,2,3,"1","1","1","3","1","1","1","1","กลาง",1,1
2,"3","1","1","2","4","1","2","1","4","4","4","1","4","4","4","4","4","3","5","3","4","5","2",13,4.95,3.02,2.01,1,1,"1","1","1","2","1","2","1","1","กลาง",2,1
2,"3","1","4","4","1","1","2","1","1","4","4","3","4","4","4","4","4","3","3","1","2","2","1",11.3,2.96,2.92,2.01,1,2,"3","3","1","3","3","2","1","1","กลาง",2,1
1,"2","1","3","4","2","1","3","1","2","4","4","1","2","4","4","4","4","3","3","3","2","1","2",14.6,2.46,3.78,2.66,2,2,"3","5","3","5","4","4","4","1","กลาง",2,1
2,"3","1","4","2","1","1","4","1","3","4","3","1","4","3","2","4","3","2","5","4","4","5","2",8.8,13.01,2.32,1.94,1,2,"3","4","3","3","4","5","4","1","กลาง",2,2
1,"3","1","4","1","1","3","2","1","1","4","4","1","3","4","2","4","3","3","3","2","4","2","1",12.3,10.08,3.15,2.52,2,2,"1","1","1","3","2","2","1","1","กลาง",2,1
2,"3","1","3","4","4","1","1","1","1","4","4","1","4","4","4","4","5","4","2","1","1","1","1",11.4,4,2.33,1.44,1,2,"3","4","3","5","5","5","5","1","กลาง",2,0
2,"3","1","3","4","3","1","4","1","4","3","4","1","4","5","5","5","5","5","3","1","1","2","1",9.9,0.34,2.54,1.31,1,1,"3","1","1","3","3","2","1","1","กลาง",2,1
2,"3","1","3","3","1","1","4","1","4","4","4","1","3","1","1","1","1","1","5","5","4","5","3",15.3,19.46,2.66,2.6,2,2,"1","4","2","3","3","2","4","1","กลาง",2,1
2,"2","3","4","1","2","1","3","1","4","4","2","1","4","4","4","4","4","4","3","3","3","3","1",12.7,3.36,2.52,1.48,2,3,"3","5","5","5","5","5","5","1","กลาง",2,1
1,"3","1","1","1","4","1","2","1","1","4","4","1","4","4","4","4","4","4","4","4","4","4","1",12.7,4.32,2.39,1.39,2,3,"1","3","1","3","3","2","2","1","กลาง",2,1
2,"2","1","2","2","1","1","3","1","4","3","3","1","3","4","2","4","4","3","3","2","3","3","1",11.2,3.79,3.01,2.02,2,2,"2","3","1","3","3","2","1","1","กลาง",2,0
