"G1","G2","failures","studytime","absences","Medu","Fedu","freetime","goout","Dalc","Walc","school","sex","age","address","famsize","Pstatus","Mjob","Fjob","reason","guardian","traveltime","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","health","G3"
19,18,0,2,2,4,4,3,3,1,1,"GP","M",15,"U","GT3","T","services","teacher","course","father",1,"no","yes","no","yes","yes","yes","yes","no",4,5,18
8,8,0,1,0,2,2,4,1,1,1,"GP","M",15,"U","GT3","T","services","services","course","father",1,"yes","yes","no","no","yes","yes","yes","no",5,1,11
10,10,1,2,14,NA,2,3,3,2,2,"GP","F",16,"U","LE3","T","other","at_home","course","father",2,"yes","no","no","yes","yes","yes","yes","no",4,5,9
8,8,0,2,8,4,3,NA,2,1,1,"GP","F",15,"U","LE3","A","other","other","course","mother",1,"yes","yes","yes","yes","yes","yes","yes","yes",5,5,6
11,12,0,2,12,3,3,NA,5,1,4,"GP","F",16,"U","LE3","A","other","services","home","mother",1,"no","yes","no","no","yes","yes","yes","no",2,3,11
19,19,0,4,4,4,3,2,2,1,1,"GP","M",16,"U","GT3","T","health","services","reputation","mother",1,"no","no","no","yes","yes","yes","yes","no",4,2,20
15,15,0,2,2,4,NA,3,3,2,2,"GP","M",15,"U","GT3","T","teacher","other","home","mother",1,"no","yes","yes","no","yes","yes","no","no",4,5,14
7,7,1,2,2,4,4,4,4,1,1,"GP","F",15,"U","GT3","T","services","teacher","other","father",1,"yes","yes","no","yes","no","yes","yes","no",4,3,7
12,13,0,NA,2,2,2,3,3,2,3,"GP","F",16,"U","LE3","T","services","services","course","mother",3,"no","yes","yes","no","yes","yes","yes","no",4,4,13
11,13,0,2,2,4,2,3,3,1,1,"GP","F",15,"U","LE3","T","health","other","other","mother",1,"no","yes","yes","no","yes","yes","yes","no",4,5,13
11,11,1,1,NA,4,2,5,5,3,4,"GP","M",15,"U","LE3","A","health","health","other","father",2,"no","no","no","no","yes","yes","no","no",5,5,10
8,10,0,1,NA,4,4,3,4,2,3,"GP","F",15,"U","GT3","T","services","services","course","mother",1,"yes","yes","yes","no","yes","yes","yes","no",3,5,11
10,13,0,1,6,3,3,3,4,4,4,"GP","F",15,"U","LE3","A","other","other","other","mother",1,"no","no","yes","no","yes","yes","yes","no",5,1,13
8,9,0,2,8,2,1,3,4,1,1,"GP","F",16,"U","GT3","A","other","other","other","mother",1,"no","no","yes","yes","yes","yes","yes","yes",5,2,10
14,15,0,2,0,4,3,3,2,1,1,"GP","F",15,"U","GT3","A","services","services","reputation","mother",1,"no","yes","yes","yes","yes","yes","yes","no",4,1,15
14,15,0,2,4,4,4,2,2,1,1,"GP","M",15,"U","GT3","T","teacher","health","reputation","mother",1,"no","yes","no","yes","yes","yes","no","no",3,5,15
9,10,0,2,2,1,2,3,2,1,1,"GP","M",15,"U","LE3","T","other","at_home","home","father",1,"yes","yes","no","yes","yes","yes","yes","no",4,5,9
15,16,0,2,2,4,2,2,3,1,NA,"GP","F",16,"U","GT3","T","services","other","course","mother",1,"no","yes","no","no","yes","yes","yes","no",4,5,16
10,11,0,2,6,4,4,4,4,2,3,"GP","F",16,"R","GT3","T","health","teacher","other","mother",1,"no","yes","no","yes","yes","yes","no","no",2,4,11
10,8,0,1,6,1,1,5,5,5,5,"GP","F",16,"U","GT3","T","services","services","course","father",4,"yes","yes","no","yes","no","yes","yes","yes",5,5,11
8,10,0,2,4,1,2,4,3,1,1,"GP","F",16,"U","LE3","T","other","services","reputation","father",1,"yes","no","no","yes","yes","yes","yes","no",4,1,9
10,9,0,3,2,4,3,4,4,2,4,"GP","F",16,"U","GT3","T","teacher","health","home","mother",1,"yes","yes","yes","yes","yes","yes","yes","no",3,4,9
10,10,0,2,0,4,3,4,4,2,4,"GP","F",15,"U","LE3","T","services","services","reputation","father",1,"yes","no","no","yes","yes","yes","yes","yes",4,2,10
16,15,0,2,2,4,3,4,3,1,2,"GP","F",16,"U","LE3","T","teacher","services","course","mother",3,"no","yes","no","yes","yes","yes","yes","no",5,1,15
13,13,0,4,4,4,4,3,3,NA,5,"GP","M",15,"U","GT3","A","other","services","reputation","mother",1,"no","yes","no","yes","no","yes","yes","yes",1,3,12
7,7,0,4,4,3,1,3,3,1,2,"GP","F",16,"U","GT3","T","services","other","course","mother",1,"yes","yes","yes","no","yes","yes","yes","no",4,5,6
8,9,0,2,2,2,2,1,3,1,3,"GP","F",15,"R","LE3","T","health","services","reputation","mother",2,"yes","yes","yes","no","yes","yes","yes","no",4,4,8
16,16,0,4,12,3,1,4,2,2,3,"GP","F",15,"R","LE3","T","other","other","reputation","father",2,"no","yes","no","no","no","yes","yes","no",4,3,16
13,15,0,4,0,3,1,3,2,1,1,"GP","M",16,"U","GT3","T","other","other","reputation","father",2,"no","yes","yes","no","yes","yes","yes","no",4,5,15
10,10,0,4,0,4,2,3,3,1,1,"GP","M",15,"U","GT3","T","other","other","course","mother",1,"no","no","no","no","yes","yes","yes","no",3,3,10
NA,6,2,2,2,1,1,3,4,2,4,"GP","F",15,"R","GT3","T","other","other","reputation","mother",1,"yes","yes","no","no","no","yes","yes","yes",3,5,5
12,12,0,1,2,3,1,3,2,2,2,"GP","M",16,"U","GT3","T","other","other","reputation","mother",1,"no","no","no","yes","yes","yes","no","no",5,5,14
11,12,0,2,54,3,3,3,3,2,4,"GP","F",16,"U","GT3","T","other","services","home","mother",1,"yes","yes","yes","yes","yes","yes","yes","no",4,5,11
9,9,0,2,NA,4,3,3,3,2,3,"GP","M",15,"U","GT3","T","teacher","other","home","mother",1,"no","yes","yes","yes","yes","yes","yes","no",4,5,10
NA,11,0,4,8,4,0,4,3,1,1,"GP","M",15,"U","GT3","T","teacher","other","course","mother",2,"no","no","no","yes","yes","yes","yes","no",3,1,10
11,11,0,4,0,2,2,2,3,1,3,"GP","F",16,"U","GT3","T","other","other","reputation","mother",1,"no","no","yes","no","yes","yes","yes","yes",5,3,11
8,8,3,1,2,2,1,5,1,1,1,"GP","M",17,"U","GT3","T","other","other","home","mother",2,"yes","yes","no","yes","yes","no","yes","no",4,3,10
5,5,0,2,12,3,4,4,3,1,2,"GP","F",16,"U","GT3","T","at_home","other","course","mother",1,"no","yes","no","no","yes","yes","yes","no",2,3,5
10,12,0,1,2,2,3,2,2,1,3,"GP","M",15,"U","GT3","T","other","services","course","father",1,"yes","yes","yes","yes","no","yes","yes","yes",3,3,12
11,10,0,3,4,NA,3,3,2,1,2,"GP","M",15,"U","GT3","T","other","other","home","mother",1,"yes","no","yes","no","no","yes","yes","no",5,5,11
7,6,0,2,10,3,2,4,4,1,1,"GP","F",15,"U","LE3","T","services","other","reputation","mother",1,"no","yes","yes","no","yes","yes","yes","no",4,5,6
15,15,0,2,4,2,2,3,3,1,3,"GP","M",15,"U","LE3","T","services","services","home","mother",2,"no","no","yes","yes","yes","yes","yes","no",5,4,15
9,10,0,2,2,NA,1,3,2,2,3,"GP","F",15,"U","GT3","T","other","other","home","father",1,"no","yes","no","yes","no","yes","yes","no",4,4,10
7,9,2,2,6,4,4,4,4,2,3,"GP","F",15,"U","GT3","T","services","services","reputation","father",2,"no","no","yes","no","yes","yes","yes","yes",4,5,8
8,7,0,2,4,2,2,3,4,1,2,"GP","F",16,"U","LE3","T","at_home","other","course","mother",1,"no","yes","no","no","yes","yes","no","no",4,2,6
13,14,0,3,4,4,2,3,3,1,3,"GP","F",15,"U","GT3","T","other","other","reputation","mother",1,"no","yes","no","yes","yes","yes","yes","no",5,1,14
11,10,1,2,12,2,2,4,2,1,1,"GP","M",16,"U","GT3","T","services","other","reputation","father",2,"no","no","yes","yes","no","yes","yes","no",4,3,10
8,6,0,2,18,4,4,1,3,3,5,"GP","M",16,"U","LE3","A","teacher","health","reputation","mother",1,"no","yes","no","no","yes","yes","no","no",4,5,7
7,7,0,3,NA,3,3,3,3,1,3,"GP","F",16,"U","GT3","T","other","other","home","mother",1,"no","yes","yes","no","yes","yes","yes","yes",4,4,8
16,17,0,1,4,4,3,5,5,NA,3,"GP","F",15,"U","GT3","T","services","other","reputation","mother",1,"no","no","yes","yes","yes","yes","yes","no",4,1,18
7,6,0,2,4,3,1,3,3,2,3,"GP","F",16,"U","LE3","T","other","other","home","father",1,"yes","yes","no","no","yes","yes","no","no",3,2,6
11,10,0,2,NA,4,2,3,3,1,1,"GP","F",16,"U","GT3","T","teacher","services","home","mother",2,"no","yes","yes","yes","yes","yes","yes","no",5,1,10
11,13,0,4,6,NA,2,3,4,1,1,"GP","M",15,"U","LE3","T","services","health","reputation","mother",1,"no","yes","no","yes","yes","yes","yes","no",4,4,14
7,10,1,4,2,1,1,1,2,1,1,"GP","F",15,"R","GT3","T","at_home","other","home","mother",2,"yes","yes","yes","yes","yes","yes","yes","no",3,1,10
11,15,NA,1,2,4,3,3,3,1,1,"GP","M",16,"R","GT3","T","services","other","reputation","mother",2,"yes","yes","no","yes","no","yes","yes","no",3,4,15
8,9,0,2,2,2,1,3,5,1,1,"GP","F",16,"U","GT3","T","other","other","course","mother",1,"no","yes","yes","no","yes","yes","no","yes",4,5,10
11,14,0,1,6,4,4,3,4,1,2,"GP","F",16,"U","GT3","T","other","other","reputation","mother",1,"no","no","no","yes","no","yes","yes","no",5,1,14
7,9,0,3,0,4,3,3,5,1,1,"GP","F",16,"U","GT3","T","other","at_home","course","mother",1,"yes","yes","yes","no","yes","yes","yes","no",5,3,8
7,7,0,1,14,4,4,5,5,5,NA,"GP","M",16,"U","GT3","T","services","services","other","mother",1,"yes","yes","yes","yes","yes","yes","yes","no",4,4,5
16,17,0,3,0,4,4,4,3,1,1,"GP","M",16,"U","GT3","T","services","teacher","other","father",1,"no","yes","no","yes","yes","yes","yes","yes",4,4,17
10,NA,0,1,4,4,4,3,3,1,1,"GP","M",15,"U","GT3","T","services","other","course","mother",1,"no","yes","no","yes","no","yes","yes","no",5,5,14
7,6,0,2,26,3,NA,3,5,1,1,"GP","F",15,"U","GT3","T","services","other","home","mother",2,"yes","yes","yes","no","yes","yes","yes","no",4,2,6
16,18,0,2,0,3,4,4,4,1,1,"GP","M",15,"U","GT3","A","services","other","course","mother",1,"no","yes","yes","yes","yes","yes","yes","no",5,1,18
10,11,0,4,10,3,3,3,3,1,1,"GP","F",15,"U","GT3","A","other","health","reputation","father",1,"yes","no","no","no","yes","yes","no","no",4,4,11
7,8,0,4,8,2,2,1,2,1,1,"GP","F",15,"U","GT3","T","other","other","course","mother",1,"yes","yes","yes","no","yes","yes","yes","no",5,3,8
16,18,0,3,2,3,3,3,NA,1,1,"GP","M",16,"U","GT3","T","services","other","home","father",1,"no","yes","no","yes","yes","yes","yes","no",5,5,18
10,13,0,4,6,4,NA,3,5,3,5,"GP","M",15,"R","GT3","T","other","other","home","father",4,"no","yes","yes","yes","yes","yes","yes","yes",1,1,13
NA,15,0,3,4,4,4,4,5,1,1,"GP","F",16,"U","LE3","T","health","health","other","mother",1,"no","yes","yes","yes","yes","yes","yes","yes",5,4,16
18,19,NA,1,6,4,4,5,3,1,1,"GP","M",15,"U","LE3","A","teacher","teacher","course","mother",1,"no","no","no","yes","yes","yes","yes","no",5,4,19
7,10,1,3,0,3,3,1,2,1,1,"GP","F",16,"R","GT3","T","services","other","reputation","father",1,"yes","yes","no","yes","yes","yes","yes","no",4,2,10
10,13,1,2,6,2,2,1,2,1,1,"GP","F",16,"U","GT3","T","at_home","other","home","mother",1,"yes","no","no","yes","yes","yes","yes","no",3,5,13
18,19,0,1,10,4,2,5,2,1,NA,"GP","M",15,"U","LE3","T","teacher","other","course","mother",1,"no","no","no","no","yes","yes","yes","no",3,3,19
9,9,0,2,8,2,1,4,2,1,1,"GP","M",15,"R","GT3","T","health","services","reputation","mother",1,"no","no","no","yes","yes","yes","yes","yes",5,5,9
15,15,0,NA,2,4,4,4,4,1,2,"GP","M",16,"U","GT3","T","teacher","teacher","course","father",1,"no","yes","no","yes","yes","yes","yes","no",5,5,16
NA,13,0,2,2,4,4,4,3,1,1,"GP","M",15,"U","GT3","T","other","teacher","reputation","father",2,"no","yes","no","yes","yes","yes","no","no",4,2,14
13,14,0,1,0,3,3,NA,2,1,1,"GP","M",16,"U","GT3","T","other","services","home","father",2,"no","no","no","yes","yes","yes","yes","no",5,5,13
9,7,1,2,20,1,3,2,4,1,4,"GP","M",17,"R","GT3","T","other","other","course","father",3,"no","yes","no","yes","yes","yes","yes","no",5,5,8
14,13,0,1,6,3,4,4,3,1,2,"GP","M",15,"U","GT3","T","other","other","reputation","father",1,"no","no","no","no","yes","yes","yes","no",3,4,13
16,15,0,2,2,1,2,2,3,1,2,"GP","F",15,"U","GT3","T","at_home","services","course","mother",1,"no","no","no","no","no","yes","yes","no",3,1,15
16,14,0,4,NA,2,2,5,4,1,2,"GP","M",15,"U","GT3","T","services","services","home","father",1,"no","yes","yes","yes","yes","yes","yes","no",5,5,15
13,13,0,2,2,2,4,NA,2,1,2,"GP","F",16,"U","LE3","T","other","health","course","father",2,"no","yes","yes","yes","yes","yes","yes","yes",4,5,13
14,11,0,1,18,4,4,4,4,NA,4,"GP","M",16,"U","GT3","T","health","other","course","mother",1,"no","yes","no","yes","yes","yes","yes","no",3,5,13
8,7,0,2,0,2,2,4,NA,1,1,"GP","F",16,"U","GT3","T","other","other","home","mother",1,"no","no","yes","no","yes","yes","yes","yes",5,5,8
13,13,0,1,0,3,4,5,5,3,2,"GP","M",15,"U","GT3","T","services","services","home","father",1,"yes","no","no","no","yes","yes","yes","no",5,5,12
7,10,0,2,0,3,4,3,2,1,1,"GP","F",15,"U","LE3","A","other","other","home","mother",1,"yes","no","no","yes","yes","yes","yes","yes",5,1,11
7,8,3,2,2,0,1,4,2,1,1,"GP","F",19,"U","GT3","T","at_home","other","course","other",1,"no","yes","no","no","no","no","no","no",3,5,9
7,4,2,1,0,2,2,3,3,1,2,"GP","M",18,"R","GT3","T","services","other","reputation","mother",1,"no","yes","no","yes","yes","yes","yes","no",3,4,0
18,18,0,1,NA,4,4,5,5,2,5,"GP","M",16,"R","GT3","T","teacher","teacher","course","mother",1,"no","no","yes","yes","yes","yes","yes","no",3,4,18
12,0,2,3,0,3,4,2,2,NA,2,"GP","F",15,"R","GT3","T","services","teacher","course","father",2,"no","yes","no","no","yes","yes","yes","yes",4,5,0
8,0,0,1,0,1,1,3,3,1,2,"GP","F",15,"U","GT3","T","at_home","other","course","mother",3,"no","yes","no","yes","no","yes","yes","yes",4,4,0
10,13,0,1,12,2,2,4,4,1,3,"GP","F",17,"U","LE3","T","other","other","course","father",1,"no","yes","no","no","yes","yes","yes","yes",3,5,12
12,11,0,1,16,3,4,2,1,1,4,"GP","F",16,"U","GT3","A","services","other","course","father",1,"no","no","no","no","yes","yes","yes","no",3,5,11
9,0,0,2,0,3,4,3,3,1,1,"GP","M",15,"R","GT3","T","at_home","teacher","course","mother",4,"no","yes","no","no","yes","yes","no","yes",5,5,0
11,0,0,3,0,4,4,3,3,1,1,"GP","F",15,"U","GT3","T","services","at_home","course","mother",1,"no","yes","no","yes","yes","yes","yes","yes",4,5,0
10,0,0,NA,0,3,4,4,5,2,4,"GP","M",17,"R","GT3","T","at_home","other","course","mother",3,"no","no","no","no","yes","yes","no","no",5,5,0
4,0,2,1,0,3,3,3,2,1,1,"GP","F",16,"U","GT3","A","other","other","course","other",2,"no","yes","no","yes","no","yes","yes","yes",4,5,0
14,12,1,2,0,1,1,4,4,1,3,"GP","M",16,"U","LE3","T","services","other","course","mother",1,"no","no","no","no","yes","yes","no","yes",4,5,12
16,16,0,1,0,4,4,3,2,1,1,"GP","F",15,"U","GT3","T","teacher","teacher","course","mother",2,"no","no","no","yes","yes","yes","yes","no",4,5,15
7,9,0,4,0,4,3,NA,2,1,1,"GP","M",15,"U","GT3","T","teacher","services","course","father",2,"yes","yes","no","no","yes","yes","yes","no",2,3,0
9,9,2,1,8,2,2,3,3,2,2,"GP","M",16,"U","LE3","T","services","services","reputation","father",2,"no","yes","no","yes","yes","yes","yes","no",2,2,9
9,11,0,3,2,4,4,2,2,1,NA,"GP","F",15,"U","GT3","T","teacher","services","course","mother",1,"no","yes","yes","yes","yes","yes","yes","no",4,5,11
14,14,0,1,2,1,1,4,NA,3,3,"GP","F",16,"U","LE3","T","at_home","at_home","course","mother",1,"no","no","no","no","yes","yes","yes","no",3,1,13
5,NA,3,1,0,2,1,4,5,1,2,"GP","M",17,"U","GT3","T","other","other","home","mother",1,"no","yes","no","no","yes","yes","yes","no",5,5,0
8,11,0,2,0,1,1,4,2,1,2,"GP","F",15,"U","GT3","T","other","services","course","father",1,"no","yes","yes","no","yes","yes","yes","no",4,5,11
6,7,3,2,0,3,2,3,2,1,1,"GP","F",15,"U","GT3","T","health","services","home","father",1,"no","yes","no","no","yes","yes","yes","no",3,3,0
10,11,0,2,2,1,2,3,2,1,1,"GP","F",15,"U","GT3","T","at_home","other","course","mother",1,"no","yes","yes","no","no","yes","yes","no",4,5,11
7,6,0,1,0,4,4,3,2,2,1,"GP","M",16,"U","GT3","T","teacher","teacher","course","mother",1,"no","yes","no","no","yes","no","yes","yes",3,5,0
8,9,3,1,NA,2,1,5,5,2,5,"GP","M",15,"U","LE3","A","services","other","course","mother",4,"no","no","no","no","yes","yes","yes","no",4,5,10
6,5,3,1,0,1,1,3,5,2,5,"GP","M",18,"U","LE3","T","other","other","course","mother",1,"no","no","no","no","yes","no","yes","yes",2,4,0
12,13,1,1,6,2,1,4,4,3,5,"GP","M",16,"U","LE3","T","at_home","other","course","mother",1,"no","no","no","yes","yes","yes","no","yes",4,5,14
10,10,2,3,8,3,3,2,1,2,3,"GP","F",15,"R","GT3","T","services","services","reputation","other",2,"no","yes","yes","yes","yes","yes","yes","yes",4,3,10
5,0,3,1,0,3,2,5,4,1,1,"GP","M",19,"U","GT3","T","services","at_home","home","mother",1,"no","yes","no","no","yes","no","yes","yes",4,4,0
11,11,0,1,0,4,4,2,1,1,1,"GP","F",17,"U","GT3","T","other","teacher","course","mother",1,"yes","yes","no","no","yes","yes","no","yes",4,4,12
11,8,0,2,2,2,3,4,4,1,1,"GP","M",15,"R","GT3","T","at_home","services","course","mother",1,"yes","no","yes","yes","yes","yes","no","no",4,1,8
16,12,0,1,8,1,2,2,2,3,3,"GP","M",17,"R","LE3","T","other","other","reputation","mother",1,"no","no","no","no","yes","yes","no","no",2,5,13
9,8,3,1,6,1,1,2,5,1,5,"GP","F",18,"R","GT3","T","at_home","other","course","mother",3,"no","yes","no","yes","no","yes","no","no",5,4,10
17,15,0,1,2,2,2,2,2,1,2,"GP","M",16,"R","GT3","T","at_home","other","course","mother",3,"no","no","no","no","no","yes","no","no",4,3,15
10,12,1,NA,4,3,3,5,5,4,4,"GP","M",16,"U","GT3","T","other","services","course","father",1,"no","yes","yes","no","yes","yes","yes","yes",4,5,12
7,6,2,1,0,2,1,3,2,2,2,"GP","M",17,"R","LE3","T","at_home","other","course","mother",2,"no","no","no","yes","yes","no","yes","yes",3,5,0
5,9,2,2,6,3,2,4,4,1,NA,"GP","M",15,"R","GT3","T","other","other","course","mother",2,"yes","yes","no","no","yes","yes","yes","yes",4,3,7
7,0,1,1,0,1,2,4,4,2,4,"GP","M",16,"U","LE3","T","other","other","course","mother",2,"no","no","no","yes","yes","yes","no","no",4,5,0
10,10,0,1,2,1,3,NA,3,1,4,"GP","M",17,"U","GT3","T","at_home","services","course","father",1,"no","no","no","no","yes","no","yes","no",5,2,10
5,8,3,2,0,1,1,3,5,1,5,"GP","M",17,"R","LE3","T","other","services","course","mother",4,"no","no","no","yes","yes","no","no","yes",5,5,7
12,11,1,NA,16,3,2,5,2,1,1,"GP","M",16,"U","GT3","T","services","services","course","mother",2,"no","yes","no","yes","no","no","no","no",4,2,12
10,10,0,2,4,2,NA,3,5,2,4,"GP","M",16,"U","GT3","T","other","other","course","father",1,"no","no","no","no","yes","no","yes","no",4,4,10
14,15,0,2,0,4,2,2,3,1,1,"GP","F",16,"U","GT3","T","health","services","home","father",1,"no","no","yes","no","yes","yes","yes","yes",4,3,16
6,7,0,2,0,2,2,1,5,1,1,"GP","F",16,"U","GT3","T","other","other","home","mother",1,"no","yes","yes","no","no","yes","yes","no",5,4,0
14,14,0,2,0,4,4,4,NA,1,1,"GP","F",16,"U","GT3","T","health","health","reputation","mother",1,"no","yes","yes","no","yes","yes","yes","yes",4,3,14
6,5,NA,1,0,3,4,4,5,2,4,"GP","M",16,"U","GT3","T","other","other","course","father",3,"no","yes","no","yes","no","yes","yes","no",3,2,0
13,15,0,2,2,1,0,3,2,1,1,"GP","M",16,"U","GT3","T","other","other","reputation","mother",2,"no","yes","yes","yes","yes","yes","yes","yes",4,3,16
13,11,0,2,0,4,4,4,4,1,3,"GP","M",17,"U","LE3","T","teacher","other","reputation","mother",1,"no","yes","yes","yes","yes","yes","yes","no",4,5,10
