"project_score","define_var","stat_concept","failures","romantic","studytime","traveltime","freetime","activities","Walc","residence_type","famrel","goout","internet","guardian","health","absences"
11,10,11,0,"yes",2,1,2,"yes",1,"campus_dorm",5,2,"yes","mother",5,4
13,13,12,0,"no",2,1,3,"no",4,"campus_dorm",2,5,"yes","mother",3,6
17,17,17,0,"no",4,1,2,"yes",1,"campus_dorm",4,2,"yes","mother",2,2
13,11,12,0,"no",2,1,3,"no",2,"campus_dorm",4,3,"no","mother",5,4
12,13,12,0,"no",2,1,4,"yes",1,"campus_dorm",4,4,"yes","father",3,2
13,14,13,0,"no",2,3,3,"no",3,"campus_dorm",4,3,"yes","mother",4,0
16,16,14,0,"no",2,1,3,"no",1,"campus_dorm",4,3,"yes","mother",5,0
9,10,9,0,"no",1,2,5,"no",4,"campus_dorm",5,5,"no","father",5,4
12,13,12,0,"no",1,1,3,"no",3,"campus_dorm",3,4,"yes","mother",5,0
13,13,12,0,"no",1,1,3,"no",4,"campus_dorm",5,4,"yes","mother",1,0
12,12,13,0,"yes",2,1,3,"yes",1,"campus_dorm",5,4,"yes","mother",2,2
15,15,14,0,"no",2,1,3,"yes",1,"campus_dorm",4,2,"yes","mother",1,0
16,15,15,0,"no",2,1,2,"yes",1,"campus_dorm",3,2,"no","mother",5,8
14,14,13,0,"no",2,1,3,"yes",1,"campus_dorm",4,2,"yes","father",5,0
16,16,15,0,"no",2,1,2,"no",1,"campus_dorm",4,3,"yes","mother",5,2
16,17,16,0,"no",2,1,4,"yes",3,"off_campus",2,4,"no","mother",4,0
16,10,10,0,"yes",1,4,5,"yes",5,"campus_dorm",5,5,"yes","father",5,0
10,13,13,0,"no",2,1,4,"yes",1,"campus_dorm",4,3,"yes","father",1,0
13,14,13,0,"no",3,1,4,"yes",4,"campus_dorm",3,4,"yes","mother",4,0
12,13,12,0,"yes",2,1,4,"yes",4,"campus_dorm",4,4,"yes","father",2,0
16,16,15,0,"no",2,3,4,"yes",2,"campus_dorm",5,3,"yes","mother",1,2
12,11,12,0,"yes",4,1,3,"yes",5,"campus_dorm",1,3,"yes","mother",3,0
10,10,9,0,"no",4,1,3,"no",2,"campus_dorm",4,3,"yes","mother",5,0
11,11,10,0,"no",2,2,1,"no",3,"off_campus",4,3,"yes","mother",4,0
15,15,15,0,"no",4,2,4,"no",3,"off_campus",4,2,"yes","father",3,6
11,13,11,0,"no",4,2,3,"no",1,"campus_dorm",4,2,"yes","father",5,2
10,11,9,0,"no",4,1,3,"no",1,"campus_dorm",3,3,"yes","mother",3,0
11,13,11,0,"yes",2,1,3,"no",4,"off_campus",3,4,"yes","mother",5,2
14,13,13,0,"no",1,1,3,"yes",2,"campus_dorm",5,2,"no","mother",5,0
11,11,11,0,"no",2,1,3,"yes",4,"campus_dorm",4,3,"yes","mother",5,4
11,11,11,0,"no",2,1,3,"yes",3,"campus_dorm",4,3,"yes","mother",5,0
11,12,11,0,"no",4,2,4,"yes",1,"campus_dorm",3,3,"yes","mother",1,0
13,13,13,0,"yes",4,1,2,"no",3,"campus_dorm",5,3,"yes","mother",3,1
10,9,9,3,"no",1,2,5,"yes",1,"campus_dorm",4,1,"yes","mother",3,0
11,12,11,0,"no",2,1,4,"no",2,"campus_dorm",2,3,"yes","mother",3,14
12,11,11,0,"yes",1,1,2,"yes",3,"campus_dorm",3,2,"yes","father",3,0
9,10,9,0,"no",3,1,3,"no",2,"campus_dorm",5,2,"yes","mother",5,2
11,12,11,0,"no",2,1,4,"no",1,"campus_dorm",4,4,"yes","mother",5,4
13,13,12,0,"no",2,2,3,"yes",3,"campus_dorm",5,3,"yes","mother",4,2
12,13,12,0,"no",2,1,3,"yes",3,"campus_dorm",4,2,"yes","father",4,2
12,12,11,0,"yes",2,2,4,"no",3,"campus_dorm",4,4,"yes","father",5,4
11,13,11,0,"no",2,1,3,"no",2,"campus_dorm",4,4,"no","mother",2,6
15,15,15,0,"no",3,1,3,"yes",3,"campus_dorm",5,3,"yes","mother",1,4
11,12,10,0,"no",2,2,4,"yes",1,"campus_dorm",4,2,"yes","father",3,6
10,9,9,0,"no",2,1,1,"no",5,"campus_dorm",4,3,"no","mother",5,6
11,9,11,0,"yes",3,1,3,"no",3,"campus_dorm",4,3,"yes","mother",4,2
13,14,13,0,"no",1,1,5,"yes",3,"campus_dorm",4,5,"yes","mother",1,6
12,12,13,0,"no",2,1,3,"no",3,"campus_dorm",3,3,"no","father",2,0
14,13,14,0,"no",2,2,3,"yes",1,"campus_dorm",5,3,"yes","mother",1,2
12,11,12,0,"no",4,1,3,"yes",1,"campus_dorm",4,4,"yes","mother",4,2
13,13,13,0,"no",4,2,1,"yes",1,"off_campus",3,2,"yes","mother",1,4
11,9,11,0,"no",1,2,3,"yes",1,"off_campus",3,3,"yes","mother",4,6
12,13,12,0,"yes",2,1,3,"no",1,"campus_dorm",4,5,"no","mother",5,0
13,12,13,0,"no",1,1,3,"yes",2,"campus_dorm",5,4,"yes","mother",1,4
13,12,13,0,"no",3,1,3,"no",1,"campus_dorm",5,5,"yes","mother",3,2
8,9,9,0,"no",1,1,5,"yes",5,"campus_dorm",4,5,"yes","mother",4,12
16,16,16,0,"yes",3,1,4,"yes",1,"campus_dorm",4,3,"yes","father",4,0
12,12,13,0,"no",1,1,3,"yes",1,"campus_dorm",5,3,"yes","mother",5,2
10,11,10,0,"no",2,2,3,"no",1,"campus_dorm",4,5,"yes","mother",2,16
16,16,16,0,"no",2,1,4,"yes",1,"campus_dorm",5,4,"yes","mother",1,0
10,10,10,0,"no",4,1,3,"no",1,"campus_dorm",4,3,"no","father",4,10
10,10,10,0,"no",4,1,1,"no",1,"campus_dorm",5,2,"yes","mother",3,4
14,13,14,0,"no",3,1,3,"yes",1,"campus_dorm",5,3,"yes","father",5,4
11,12,10,0,"yes",4,4,3,"yes",5,"off_campus",1,5,"yes","father",1,8
14,15,15,0,"yes",3,1,4,"yes",1,"campus_dorm",5,5,"yes","mother",4,2
14,13,14,0,"no",1,1,5,"yes",1,"campus_dorm",5,3,"yes","mother",4,4
11,11,11,0,"no",3,1,1,"yes",1,"off_campus",4,2,"yes","father",2,4
10,8,10,1,"no",2,1,1,"yes",1,"campus_dorm",3,2,"yes","mother",5,12
18,18,17,0,"no",1,1,5,"no",1,"campus_dorm",3,2,"yes","mother",3,10
10,10,9,0,"yes",2,1,4,"yes",1,"off_campus",5,2,"yes","mother",5,4
14,16,14,0,"no",2,1,4,"yes",2,"campus_dorm",5,4,"yes","father",5,6
16,16,15,0,"no",2,2,4,"yes",1,"campus_dorm",4,3,"no","father",2,4
15,14,14,0,"no",1,2,4,"yes",1,"campus_dorm",5,2,"yes","father",5,6
11,12,11,1,"no",2,3,2,"yes",4,"off_campus",5,4,"yes","father",5,14
14,14,13,0,"no",1,1,4,"no",2,"campus_dorm",3,3,"yes","father",4,2
14,14,14,0,"no",2,1,2,"no",2,"campus_dorm",3,3,"yes","mother",1,0
13,14,13,0,"no",4,1,5,"yes",2,"campus_dorm",5,4,"yes","father",5,6
13,14,12,0,"yes",2,2,2,"yes",2,"campus_dorm",4,2,"yes","father",5,2
13,12,13,0,"no",1,1,4,"yes",4,"campus_dorm",3,4,"yes","mother",5,4
11,12,11,0,"yes",2,1,4,"no",1,"campus_dorm",5,4,"yes","mother",5,0
9,9,9,0,"no",1,1,5,"no",2,"campus_dorm",5,5,"yes","father",5,2
11,10,11,0,"yes",2,1,3,"yes",1,"campus_dorm",5,2,"yes","mother",1,0
11,9,10,2,"no",2,1,4,"no",1,"campus_dorm",3,2,"no","other",5,0
15,14,14,0,"no",1,1,5,"yes",5,"off_campus",3,5,"yes","mother",4,8
13,13,12,0,"yes",3,2,2,"no",2,"campus_dorm",3,3,"yes","mother",1,4
12,10,11,0,"yes",3,2,2,"no",2,"off_campus",4,2,"yes","father",5,0
8,10,9,3,"yes",2,1,4,"yes",3,"campus_dorm",5,5,"yes","mother",5,10
11,11,10,0,"no",1,3,2,"no",2,"campus_dorm",3,2,"yes","mother",5,8
13,11,12,0,"yes",1,3,3,"yes",2,"campus_dorm",4,3,"yes","mother",4,6
12,13,12,0,"yes",1,1,4,"no",3,"campus_dorm",3,4,"yes","father",5,2
14,15,13,0,"no",1,1,2,"no",4,"campus_dorm",3,1,"yes","father",5,12
11,9,9,0,"no",1,4,2,"no",1,"campus_dorm",3,1,"no","mother",2,4
11,13,11,1,"no",1,1,3,"no",1,"campus_dorm",5,4,"no","mother",5,12
11,12,11,0,"yes",2,4,3,"no",1,"off_campus",5,3,"no","mother",5,2
15,13,14,0,"yes",3,1,3,"yes",1,"campus_dorm",4,3,"yes","mother",5,4
10,10,9,0,"no",2,3,4,"no",4,"off_campus",5,5,"no","mother",5,2
13,14,13,0,"no",2,4,1,"no",1,"off_campus",5,3,"no","mother",3,0
12,11,11,0,"yes",1,2,3,"yes",5,"campus_dorm",3,4,"yes","mother",4,2
11,12,11,0,"yes",3,1,3,"yes",1,"campus_dorm",4,3,"yes","other",5,10
11,12,11,0,"yes",1,2,3,"yes",2,"off_campus",3,3,"no","mother",1,8
10,9,9,0,"yes",1,2,3,"yes",1,"campus_dorm",4,2,"yes","other",5,4
10,10,10,2,"yes",2,1,4,"no",3,"campus_dorm",4,4,"no","mother",5,0
14,13,14,0,"no",1,2,3,"yes",1,"campus_dorm",4,2,"yes","mother",5,6
9,8,9,1,"yes",1,3,5,"yes",1,"off_campus",5,5,"yes","mother",1,2
11,9,11,0,"no",4,2,2,"no",1,"campus_dorm",2,2,"yes","father",3,6
9,9,8,0,"yes",2,1,3,"no",3,"campus_dorm",1,2,"no","mother",1,24
13,15,13,0,"no",3,1,3,"yes",3,"campus_dorm",5,3,"yes","mother",5,0
11,12,11,0,"no",1,2,3,"yes",2,"campus_dorm",2,3,"yes","father",2,4
13,13,13,0,"no",3,1,2,"yes",1,"campus_dorm",4,2,"yes","mother",5,2
11,10,11,0,"no",1,1,4,"no",3,"campus_dorm",3,4,"yes","mother",1,4
6,9,7,0,"no",1,1,4,"no",2,"campus_dorm",5,5,"yes","mother",5,22
12,12,12,0,"no",2,1,4,"no",2,"campus_dorm",4,2,"yes","father",5,0
10,11,10,0,"yes",1,2,4,"yes",1,"campus_dorm",4,2,"yes","mother",5,0
11,11,11,1,"no",2,1,3,"no",1,"campus_dorm",3,2,"yes","father",3,2
13,13,12,0,"no",2,1,3,"no",1,"campus_dorm",4,2,"yes","mother",5,6
11,11,11,0,"yes",2,1,3,"no",4,"campus_dorm",2,4,"no","father",1,6
8,9,9,0,"yes",1,1,3,"no",1,"campus_dorm",3,2,"yes","mother",5,16
11,12,11,0,"no",1,4,5,"no",5,"campus_dorm",4,5,"yes","mother",5,0
0,11,9,2,"yes",1,1,3,"no",5,"campus_dorm",2,5,"yes","mother",4,0
10,9,10,1,"yes",1,1,4,"yes",5,"campus_dorm",4,4,"no","mother",5,6
13,13,13,0,"yes",3,2,2,"yes",3,"off_campus",4,1,"yes","other",3,2
11,11,9,0,"yes",1,1,5,"no",1,"campus_dorm",4,4,"yes","mother",4,6
13,13,13,0,"yes",1,1,2,"no",1,"campus_dorm",4,1,"no","mother",4,0
8,7,8,0,"no",2,1,4,"yes",1,"off_campus",4,4,"no","mother",1,0
10,9,8,3,"no",1,1,2,"no",3,"off_campus",2,2,"no","mother",5,14
11,11,10,3,"no",1,3,2,"yes",5,"off_campus",5,5,"no","mother",4,6
11,12,10,0,"no",1,3,2,"no",2,"off_campus",4,2,"no","mother",3,4
1,10,10,1,"yes",2,1,5,"no",4,"campus_dorm",4,5,"yes","father",5,0
10,9,8,2,"no",1,2,4,"no",5,"campus_dorm",4,5,"yes","mother",5,0
9,8,8,1,"yes",1,2,3,"yes",2,"off_campus",3,2,"yes","mother",5,8
8,7,6,2,"yes",2,2,4,"no",4,"off_campus",4,4,"yes","mother",3,4
10,8,9,0,"no",1,2,4,"yes",4,"campus_dorm",4,4,"no","mother",5,2
8,9,8,1,"no",1,1,3,"no",4,"campus_dorm",5,3,"yes","father",2,2
8,8,8,0,"yes",2,4,3,"yes",5,"off_campus",5,5,"no","mother",5,0
8,8,7,3,"no",1,2,5,"yes",1,"campus_dorm",4,2,"no","mother",2,10
11,9,10,0,"no",2,1,3,"no",4,"campus_dorm",4,5,"yes","father",4,0
18,17,17,0,"yes",2,1,2,"no",1,"campus_dorm",4,3,"yes","father",3,0
13,12,12,0,"no",2,1,1,"no",1,"campus_dorm",5,5,"yes","mother",4,0
17,16,16,0,"yes",2,1,4,"no",1,"campus_dorm",4,2,"yes","mother",3,0
10,9,9,1,"no",1,3,4,"yes",4,"campus_dorm",3,5,"yes","father",2,4
18,16,17,0,"yes",2,2,3,"yes",1,"campus_dorm",4,2,"yes","mother",3,0
10,11,9,0,"no",2,1,4,"yes",3,"campus_dorm",4,4,"yes","mother",5,0
13,14,13,0,"yes",2,1,3,"yes",1,"campus_dorm",4,5,"yes","mother",3,0
15,14,14,0,"no",2,2,4,"yes",1,"campus_dorm",4,5,"yes","mother",4,0
11,10,11,0,"no",2,2,4,"yes",4,"campus_dorm",4,4,"yes","mother",4,0
14,13,12,0,"no",2,2,4,"yes",4,"campus_dorm",3,4,"yes","mother",5,0
10,11,9,0,"no",2,1,3,"yes",4,"campus_dorm",4,4,"yes","father",4,4
11,10,9,0,"yes",1,1,3,"yes",4,"off_campus",4,3,"yes","mother",3,8
13,11,11,0,"yes",2,1,2,"yes",1,"campus_dorm",5,3,"yes","mother",2,4
11,11,10,0,"no",2,1,4,"yes",3,"campus_dorm",3,3,"yes","mother",3,4
13,11,12,0,"yes",2,1,2,"yes",2,"campus_dorm",4,3,"yes","mother",3,0
17,17,18,0,"no",2,1,4,"yes",3,"campus_dorm",5,2,"no","father",5,0
14,14,13,0,"yes",2,1,3,"yes",3,"campus_dorm",5,3,"yes","mother",1,32
16,14,15,0,"no",2,1,2,"no",2,"campus_dorm",1,2,"yes","mother",1,8
14,11,13,0,"yes",2,1,3,"yes",3,"campus_dorm",4,4,"yes","mother",4,6
11,10,9,0,"yes",1,1,3,"yes",2,"campus_dorm",3,3,"yes","mother",3,0
16,13,14,0,"yes",2,1,2,"yes",2,"campus_dorm",4,3,"yes","mother",5,0
14,12,13,0,"yes",2,1,3,"no",3,"campus_dorm",3,3,"yes","mother",3,10
10,9,9,0,"no",2,1,1,"no",5,"off_campus",3,3,"no","mother",3,6
13,12,12,0,"no",2,1,3,"no",1,"campus_dorm",4,3,"yes","mother",2,6
12,12,11,0,"no",2,1,3,"yes",1,"campus_dorm",5,3,"yes","mother",3,0
12,10,11,0,"no",2,2,4,"yes",5,"campus_dorm",4,4,"yes","other",5,16
10,11,10,0,"no",1,1,3,"yes",4,"off_campus",4,2,"yes","mother",5,0
12,13,12,0,"no",1,2,3,"no",1,"campus_dorm",5,3,"yes","father",3,0
16,14,15,0,"yes",2,1,3,"yes",1,"campus_dorm",4,2,"yes","father",5,8
14,13,13,0,"no",1,1,2,"no",2,"campus_dorm",5,3,"yes","mother",5,4
12,10,11,0,"no",1,3,3,"yes",5,"off_campus",3,4,"yes","father",3,16
16,14,15,1,"no",1,2,2,"no",3,"campus_dorm",4,4,"yes","mother",2,30
11,11,10,0,"no",2,1,5,"no",2,"campus_dorm",4,2,"yes","mother",3,0
15,14,14,0,"no",2,1,3,"yes",5,"campus_dorm",4,5,"yes","mother",2,2
12,11,12,0,"no",2,1,4,"yes",3,"campus_dorm",4,3,"no","mother",4,4
15,14,15,0,"no",2,1,4,"no",3,"campus_dorm",4,4,"no","mother",1,0
13,13,13,0,"no",1,1,3,"no",2,"off_campus",5,2,"yes","mother",3,21
13,13,13,0,"no",4,2,3,"yes",1,"off_campus",5,5,"yes","mother",5,6
8,8,9,1,"yes",3,1,4,"no",4,"campus_dorm",4,3,"yes","mother",5,14
12,11,11,0,"no",2,1,3,"no",2,"campus_dorm",2,3,"yes","mother",4,2
15,14,15,0,"yes",2,1,3,"yes",1,"campus_dorm",1,2,"yes","mother",1,4
13,12,13,0,"no",1,2,3,"no",4,"campus_dorm",4,2,"no","mother",5,2
12,11,12,0,"yes",3,2,4,"yes",1,"off_campus",4,2,"yes","mother",4,0
12,12,12,0,"no",4,1,3,"yes",2,"campus_dorm",4,3,"yes","other",3,4
12,13,12,0,"yes",2,1,3,"no",5,"campus_dorm",5,5,"yes","mother",3,15
13,13,13,0,"no",2,1,3,"no",1,"campus_dorm",3,4,"yes","mother",4,0
11,12,11,0,"no",2,1,4,"yes",4,"campus_dorm",4,4,"yes","mother",5,10
11,12,11,0,"no",1,1,2,"no",2,"off_campus",5,1,"no","mother",3,6
15,14,16,0,"no",2,2,4,"no",3,"campus_dorm",4,4,"yes","mother",1,2
10,11,9,0,"yes",2,1,4,"no",4,"campus_dorm",3,5,"yes","mother",1,16
10,10,10,0,"no",2,1,2,"no",4,"campus_dorm",3,4,"yes","father",4,10
13,12,13,0,"no",1,2,3,"no",4,"campus_dorm",3,3,"no","father",3,4
13,12,12,0,"no",3,1,3,"yes",1,"campus_dorm",4,3,"yes","mother",4,0
11,11,10,0,"no",2,2,2,"yes",2,"off_campus",4,5,"yes","mother",5,0
12,12,12,0,"yes",3,1,3,"yes",1,"campus_dorm",4,4,"no","mother",5,12
14,13,13,0,"no",2,1,3,"no",1,"campus_dorm",2,1,"yes","mother",3,0
10,10,9,3,"no",2,2,3,"no",5,"campus_dorm",3,3,"yes","mother",4,9
16,15,16,0,"no",3,1,3,"yes",1,"campus_dorm",5,2,"yes","mother",5,4
8,8,8,0,"yes",2,1,3,"yes",1,"off_campus",5,3,"yes","mother",4,4
17,17,18,0,"no",2,1,3,"yes",3,"campus_dorm",5,4,"yes","mother",3,2
11,10,11,0,"no",2,1,3,"no",3,"campus_dorm",5,3,"yes","father",3,0
11,9,10,0,"yes",2,4,3,"yes",5,"campus_dorm",4,2,"yes","mother",3,2
16,15,15,0,"yes",3,2,2,"yes",2,"campus_dorm",3,3,"yes","mother",3,0
12,14,12,0,"yes",2,1,2,"yes",2,"campus_dorm",3,3,"yes","father",3,0
13,12,13,0,"no",2,2,5,"yes",1,"off_campus",4,2,"yes","father",1,0
13,13,13,0,"yes",2,1,5,"yes",3,"campus_dorm",4,5,"yes","mother",2,0
14,13,13,0,"no",2,1,2,"yes",4,"campus_dorm",4,4,"yes","father",1,0
9,9,9,0,"no",2,2,4,"no",1,"campus_dorm",3,2,"yes","mother",5,2
12,12,12,0,"yes",3,2,3,"yes",3,"campus_dorm",5,3,"yes","mother",2,0
16,16,16,0,"yes",2,1,4,"yes",5,"campus_dorm",4,2,"yes","father",4,0
10,9,10,0,"yes",1,1,5,"no",1,"campus_dorm",4,2,"yes","mother",5,4
13,14,13,0,"yes",2,1,3,"yes",2,"campus_dorm",5,3,"yes","mother",5,0
10,10,10,1,"no",2,2,3,"no",1,"campus_dorm",4,3,"yes","mother",3,18
10,9,8,1,"yes",2,1,3,"no",1,"campus_dorm",5,1,"yes","mother",5,16
7,8,7,1,"no",1,2,1,"no",1,"campus_dorm",4,1,"yes","mother",3,14
8,7,8,1,"yes",1,1,4,"yes",2,"campus_dorm",4,3,"yes","other",1,26
9,10,8,0,"no",1,1,2,"yes",2,"campus_dorm",4,1,"yes","mother",5,6
15,14,14,0,"no",2,1,4,"yes",1,"campus_dorm",5,2,"no","father",3,4
10,11,10,0,"yes",3,1,3,"yes",2,"campus_dorm",4,2,"yes","mother",4,10
11,12,11,0,"no",1,1,3,"no",2,"campus_dorm",5,5,"yes","mother",5,4
13,13,13,0,"no",2,3,1,"yes",1,"off_campus",2,1,"no","mother",3,2
8,9,9,1,"no",1,4,5,"no",1,"off_campus",5,4,"yes","other",5,14
8,8,7,0,"no",2,1,5,"no",5,"campus_dorm",5,4,"yes","father",2,16
10,11,9,1,"no",1,1,1,"no",1,"campus_dorm",3,2,"yes","mother",1,8
15,15,14,0,"no",3,2,3,"yes",3,"off_campus",4,3,"yes","mother",5,4
14,15,14,0,"no",2,1,3,"yes",1,"campus_dorm",4,2,"no","mother",4,4
15,15,15,0,"yes",2,2,5,"yes",4,"campus_dorm",2,5,"yes","mother",5,8
12,12,12,0,"no",2,2,3,"no",3,"off_campus",3,3,"yes","mother",4,0
15,14,14,0,"no",1,1,4,"yes",1,"campus_dorm",5,5,"yes","mother",3,7
15,14,15,0,"no",1,1,3,"yes",2,"campus_dorm",5,2,"yes","mother",5,4
12,11,11,0,"yes",2,1,3,"no",4,"campus_dorm",5,1,"yes","mother",5,2
15,13,14,0,"yes",3,2,3,"no",1,"off_campus",4,3,"yes","father",1,2
11,11,11,0,"yes",3,2,2,"no",3,"campus_dorm",4,2,"yes","mother",5,10
10,10,9,0,"yes",2,1,3,"no",1,"campus_dorm",4,2,"no","mother",4,10
11,12,10,0,"yes",3,2,4,"no",1,"campus_dorm",4,4,"yes","other",3,10
16,15,16,0,"no",1,3,3,"no",1,"campus_dorm",4,3,"yes","mother",4,7
11,11,10,0,"no",2,1,3,"no",2,"campus_dorm",4,4,"no","father",5,4
13,9,12,0,"no",1,2,2,"no",1,"campus_dorm",5,2,"yes","father",2,2
5,7,8,3,"yes",1,1,4,"no",5,"campus_dorm",5,5,"yes","mother",1,12
10,10,9,0,"yes",2,1,3,"no",3,"off_campus",4,3,"yes","mother",5,8
11,11,12,0,"no",1,1,3,"no",4,"campus_dorm",4,2,"yes","mother",5,0
7,7,8,0,"no",1,2,4,"no",4,"campus_dorm",4,5,"yes","mother",5,8
10,9,11,1,"no",2,3,3,"no",3,"campus_dorm",5,3,"yes","other",2,4
6,7,8,2,"no",1,1,2,"no",5,"campus_dorm",3,5,"yes","mother",5,4
12,14,13,0,"no",1,2,3,"yes",3,"off_campus",3,2,"no","mother",3,2
13,12,12,0,"no",1,1,4,"no",4,"off_campus",4,2,"yes","mother",5,0
10,9,10,1,"no",1,2,4,"yes",2,"campus_dorm",4,4,"yes","mother",5,0
13,12,12,0,"yes",2,1,3,"no",3,"campus_dorm",4,4,"yes","mother",5,2
17,14,15,0,"no",4,1,2,"yes",1,"campus_dorm",4,3,"yes","mother",4,2
11,10,10,0,"no",2,1,3,"no",1,"campus_dorm",4,3,"yes","mother",5,0
11,11,10,1,"no",2,3,4,"yes",4,"campus_dorm",4,5,"yes","mother",5,4
14,11,12,0,"no",3,1,3,"yes",3,"off_campus",4,4,"yes","mother",5,2
14,11,12,0,"no",3,1,4,"no",3,"campus_dorm",4,3,"no","mother",3,4
13,11,11,0,"no",2,1,2,"no",1,"off_campus",3,3,"no","mother",5,4
14,11,13,0,"no",2,1,3,"no",1,"campus_dorm",4,1,"yes","mother",1,4
16,16,16,0,"no",2,1,2,"yes",2,"campus_dorm",5,4,"yes","mother",4,2
10,9,10,0,"no",1,2,2,"no",1,"off_campus",5,2,"no","mother",4,0
12,10,11,0,"yes",4,1,4,"yes",1,"campus_dorm",3,1,"yes","father",2,2
12,10,12,0,"yes",2,2,2,"yes",2,"off_campus",1,3,"yes","other",2,8
15,15,15,0,"yes",2,1,1,"no",3,"campus_dorm",3,2,"yes","father",2,2
11,10,10,0,"no",2,1,3,"no",1,"campus_dorm",4,2,"yes","mother",3,2
12,10,11,0,"no",3,1,3,"yes",1,"off_campus",5,2,"no","mother",3,2
13,15,12,0,"no",3,1,2,"yes",1,"campus_dorm",3,3,"no","mother",4,2
13,11,12,0,"yes",3,1,3,"yes",1,"campus_dorm",4,3,"yes","mother",3,0
9,8,8,0,"no",1,2,4,"no",3,"campus_dorm",4,4,"yes","father",4,8
16,15,16,0,"no",2,2,2,"yes",4,"off_campus",4,5,"yes","mother",1,6
