_id,STRUCTURE_NAME,ACTION,RK_IMD,Competitiveness Ranking,FAC,Factor by IMD,SUBFAC,Sub Factor by IMD,IMD_IND,IMD indicators,COUNTRY,Country,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,SOURCE,Source,UNIT,Unit
13,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,_T,Total,SE,Sweden,A,Annual,2562,,4,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
14,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,_T,Total,SE,Sweden,A,Annual,2563,,4,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
15,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,_T,Total,SE,Sweden,A,Annual,2564,,5,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
16,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,_T,Total,SE,Sweden,A,Annual,2565,,7,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
17,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,_T,Total,DK,Denmark,A,Annual,2562,,8,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
18,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,_T,Total,DK,Denmark,A,Annual,2563,,6,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
19,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,_T,Total,DK,Denmark,A,Annual,2564,,6,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
20,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,_T,Total,DK,Denmark,A,Annual,2565,,6,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
21,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,_T,Total,_T,Total,_T,Total,DK,Denmark,A,Annual,2562,,8,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
22,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,_T,Total,_T,Total,_T,Total,DK,Denmark,A,Annual,2563,,2,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
23,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,_T,Total,_T,Total,_T,Total,DK,Denmark,A,Annual,2564,,3,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
24,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,_T,Total,_T,Total,_T,Total,DK,Denmark,A,Annual,2565,,1,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
25,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR01,Economic performance,WCR0104,Employment,_T,Total,HK,"Hong Kong, China",A,Annual,2562,,17,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
26,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR01,Economic performance,WCR0104,Employment,_T,Total,HK,"Hong Kong, China",A,Annual,2563,,25,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
27,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR01,Economic performance,WCR0104,Employment,_T,Total,HK,"Hong Kong, China",A,Annual,2564,,40,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
28,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR01,Economic performance,WCR0104,Employment,_T,Total,HK,"Hong Kong, China",A,Annual,2565,,39,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
29,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR02,Government efficiency,WCR0203,Institutional management framework,_T,Total,TH,Thailand,A,Annual,2562,,34,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
30,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR02,Government efficiency,WCR0203,Institutional management framework,_T,Total,TH,Thailand,A,Annual,2563,,40,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
31,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR02,Government efficiency,WCR0203,Institutional management framework,_T,Total,TH,Thailand,A,Annual,2564,,36,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
32,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR02,Government efficiency,WCR0203,Institutional management framework,_T,Total,TH,Thailand,A,Annual,2565,,41,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
33,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0301,Production and efficiency,_T,Total,SE,Sweden,A,Annual,2562,,4,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
34,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0301,Production and efficiency,_T,Total,SE,Sweden,A,Annual,2563,,4,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
35,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0301,Production and efficiency,_T,Total,SE,Sweden,A,Annual,2564,,3,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
36,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0301,Production and efficiency,_T,Total,SE,Sweden,A,Annual,2565,,4,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
37,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,CH,Switzerland,A,Annual,2562,,15,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
38,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,CH,Switzerland,A,Annual,2563,,13,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
39,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,CH,Switzerland,A,Annual,2564,,6,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
40,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,CH,Switzerland,A,Annual,2565,,5,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
41,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,DK,Denmark,A,Annual,2562,,21,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
42,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,DK,Denmark,A,Annual,2563,,8,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
43,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,DK,Denmark,A,Annual,2564,,14,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
44,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0302,Labor market,_T,Total,DK,Denmark,A,Annual,2565,,11,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
45,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0304,Management,_T,Total,TH,Thailand,A,Annual,2562,,27,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
46,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0304,Management,_T,Total,TH,Thailand,A,Annual,2563,,21,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
47,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0304,Management,_T,Total,TH,Thailand,A,Annual,2564,,22,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
48,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR03,Business efficiency,WCR0304,Management,_T,Total,TH,Thailand,A,Annual,2565,,22,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
49,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,_T,Total,_T,Total,TH,Thailand,A,Annual,2562,,45,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
50,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,_T,Total,_T,Total,TH,Thailand,A,Annual,2563,,44,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
51,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,_T,Total,_T,Total,TH,Thailand,A,Annual,2564,,43,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
52,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,_T,Total,_T,Total,TH,Thailand,A,Annual,2565,,44,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
53,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,WCR0404,Health and environment,_T,Total,SG,Singapore,A,Annual,2562,,23,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
54,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,WCR0404,Health and environment,_T,Total,SG,Singapore,A,Annual,2563,,23,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
55,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,WCR0404,Health and environment,_T,Total,SG,Singapore,A,Annual,2564,,25,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
56,Competitiveness Ranking ,I,WCR,World Competitiveness Ranking,WCR04,Infrastructure,WCR0404,Health and environment,_T,Total,SG,Singapore,A,Annual,2565,,25,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
57,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0101,ความสามารถพิเศษ,WDCR010105,Digital/Technological skills,TH,Thailand,A,Annual,2560,,50,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
58,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0101,ความสามารถพิเศษ,WDCR010105,Digital/Technological skills,TH,Thailand,A,Annual,2561,,52,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
59,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0101,ความสามารถพิเศษ,WDCR010105,Digital/Technological skills,TH,Thailand,A,Annual,2562,,49,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
60,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0101,ความสามารถพิเศษ,WDCR010105,Digital/Technological skills,TH,Thailand,A,Annual,2563,,45,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
61,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0101,ความสามารถพิเศษ,WDCR010105,Digital/Technological skills,TH,Thailand,A,Annual,2564,,42,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
62,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0101,ความสามารถพิเศษ,WDCR010105,Digital/Technological skills,TH,Thailand,A,Annual,2565,,45,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
63,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0103,ความเข้มข้นทางวิทยาศาสตร์,WDCR010306,High-tech patent grants,TH,Thailand,A,Annual,2560,,31,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
64,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0103,ความเข้มข้นทางวิทยาศาสตร์,WDCR010306,High-tech patent grants,TH,Thailand,A,Annual,2561,,45,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
65,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0103,ความเข้มข้นทางวิทยาศาสตร์,WDCR010306,High-tech patent grants,TH,Thailand,A,Annual,2562,,49,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
66,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0103,ความเข้มข้นทางวิทยาศาสตร์,WDCR010306,High-tech patent grants,TH,Thailand,A,Annual,2563,,47,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
67,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0103,ความเข้มข้นทางวิทยาศาสตร์,WDCR010306,High-tech patent grants,TH,Thailand,A,Annual,2564,,42,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
68,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0103,ความเข้มข้นทางวิทยาศาสตร์,WDCR010306,High-tech patent grants,TH,Thailand,A,Annual,2565,,31,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
69,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,WDCR020206,Investment in Telecommunications,TH,Thailand,A,Annual,2560,,16,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
70,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,WDCR020206,Investment in Telecommunications,TH,Thailand,A,Annual,2561,,18,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
71,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,WDCR020206,Investment in Telecommunications,TH,Thailand,A,Annual,2562,,19,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
72,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,WDCR020206,Investment in Telecommunications,TH,Thailand,A,Annual,2563,,14,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
73,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,WDCR020206,Investment in Telecommunications,TH,Thailand,A,Annual,2564,,10,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
74,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0202,เงินทุน,WDCR020206,Investment in Telecommunications,TH,Thailand,A,Annual,2565,,7,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
75,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,WDCR020301,Communications technology,TH,Thailand,A,Annual,2560,,36,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
76,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,WDCR020301,Communications technology,TH,Thailand,A,Annual,2561,,37,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
77,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,WDCR020301,Communications technology,TH,Thailand,A,Annual,2562,,23,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
78,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,WDCR020301,Communications technology,TH,Thailand,A,Annual,2563,,24,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
79,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,WDCR020301,Communications technology,TH,Thailand,A,Annual,2564,,22,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
80,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,WDCR0203,โครงสร้างเทคโนโลยี,WDCR020301,Communications technology,TH,Thailand,A,Annual,2565,,15,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
81,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR03,Future Readiness,WDCR0301,ทัศนคติที่ปรับตัวได้,WDCR030102,Internet retailing,TH,Thailand,A,Annual,2560,,48,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
82,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR03,Future Readiness,WDCR0301,ทัศนคติที่ปรับตัวได้,WDCR030102,Internet retailing,TH,Thailand,A,Annual,2561,,51,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
83,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR03,Future Readiness,WDCR0301,ทัศนคติที่ปรับตัวได้,WDCR030102,Internet retailing,TH,Thailand,A,Annual,2562,,54,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
84,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR03,Future Readiness,WDCR0301,ทัศนคติที่ปรับตัวได้,WDCR030102,Internet retailing,TH,Thailand,A,Annual,2563,,49,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
85,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR03,Future Readiness,WDCR0301,ทัศนคติที่ปรับตัวได้,WDCR030102,Internet retailing,TH,Thailand,A,Annual,2564,,46,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
86,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR03,Future Readiness,WDCR0301,ทัศนคติที่ปรับตัวได้,WDCR030102,Internet retailing,TH,Thailand,A,Annual,2565,,50,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
87,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,TH,Thailand,A,Annual,2562,,50,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
88,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,TH,Thailand,A,Annual,2563,,55,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
89,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,TH,Thailand,A,Annual,2564,,56,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
90,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,TH,Thailand,A,Annual,2565,,57,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
91,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR02,Technology,_T,Total,_T,Total,SE,Sweden,A,Annual,2562,,7,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
