Score,major,section,premath_ach,stat_att,study_hour,solve,Hash_Name
6,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,faf01476
6,สาขาการศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,afbb0555
4,ภาษาอังกฤษ,ตอนเรียนที่ 6,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,d1f6aac3
4,การศึกษาปฐมวัย,ตอนเรียนที่ 2,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,cdeb78f1
5,สังคมศึกษา,ตอนเรียนที่ 7,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,23030ffc
6,ปฐมวัย,ตอนเรียนที่ 2,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,cdeb78f1
6,ดนตรีสากล,ตอนเรียนที่ 5,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,ไม่ได้ทบทวน,ถามอาจารย์,815d7964
2,วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,2794ce50
4,วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,22aca1b2
7,ประถมศึกษา,ตอนเรียนที่ 2,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,3bfd8b1b
4,มัธยมศึกษา วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",9e221628
2,ชีววิทยา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",65adeb13
6,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 4,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,94d50ee8
1,ภาษาอังกฤษ,ตอนเรียนที่ 1,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,d6b06f1c
6,ภาษาอังกฤษ,ตอนเรียนที่ 1,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,31fe6232
7,ประถมศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ถามอาจารย์,57aabc2a
7,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,ค้นคว้าเองทาง internet,a65c59de
6,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,ba598990
6,ภาษาอังกฤษ,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,d72ac526
7,ประถมศึกษา,ตอนเรียนที่ 2,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,0afd57f8
6,มัธยมศึกษา สังคมศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,14575e06
5,ประถมศึกษา,ตอนเรียนที่ 8,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,c5bffc17
5,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,มากกว่า 2 ชั่วโมง,ค้นคว้าเองทาง internet,29987e18
7,เอกภาษาอังกฤษ,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,1d125364
3,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,มีพื้นฐานน้อย,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,080c9072
7,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,8b796fa7
7,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,6b68ea52
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,d5abf614
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,2a84b026
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,f42ab665
7,ฟิสิกส์,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,42751691
2,ดนตรีศึกษา,ตอนเรียนที่ 6,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,48804323
3,ดนตรีศึกษา,ตอนเรียนที่ 6,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,48804323
4,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 9,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,มากกว่า 2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,4b02c9e5
4,ภาษาอังกฤษ,ตอนเรียนที่ 1,มีพื้นฐานน้อย,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,b097a5d6
5,มัธยมศึกษา (ภาษาอังกฤษ),ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,76601cc1
4,วิทยาศาตร์ทั่วไป,ตอนเรียนที่ 1,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,7fbdea12
5,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,e410e6ad
4,ประถมศึกษา,ตอนเรียนที่ 2,มีพื้นฐานน้อย,รู้สึกสนใจและคาดหวังว่าจะสนุก,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,62ee9ad2
3,ประถมศึกษา,ตอนเรียนที่ 2,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",ad5a6ee9
7,ประถมศึกษา,ตอนเรียนที่ 2,มีพื้นฐานน้อย,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,6509db6d
6,มัธยมศึกษา ภาษาอังกฤษ,ตอนเรียนที่ 1,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,fd942b7f
5,มัธยมศึกษา ภาษาอังกฤษ,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,มากกว่า 2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,2851677d
7,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,059c3949
2,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,0850cfb5
6,ดนตรีศึกษา,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,854c258c
3,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",3706a3bb
6,เอกชีววิทยา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,1f6756ce
7,ชีววิทยา,ตอนเรียนที่ 9,มีพื้นฐานน้อย,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,c175a7c8
7,ดนตรีศึกษา,ตอนเรียนที่ 4,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,dcbb7800
7,สุขศึกษาและพลศึกษา,NA,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,dd4d5e44
7,ดนตรีศึกษา เครื่องมือเอกดนตรีไทย,ตอนเรียนที่ 4,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ถามอาจารย์,6ca08d04
6,การศึกษานอกระบบ,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",2eabcab1
6,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,80f00e8a
6,ดนตรีศึกษา,ตอนเรียนที่ 5,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,62dd764a
7,ประถมศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,0711925b
6,ประถมศึกษา,ตอนเรียนที่ 4,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,b01d60f8
6,ดนตรีสากล,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,d77f4e92
5,ดนตรีศึกษา,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,eb7fa5e2
3,ภาษาอังกฤษ,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,6fb82ea3
3,มัธยมศึกษาวิทยาศาสตร์ เคมี,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,78961878
6,ดนตรีศึกษา,ตอนเรียนที่ 4,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,cf6bbf09
2,เอกเทคโนโลยีการศึกษา,ตอนเรียนที่ 9,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,95c93929
1,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,6ae8677d
3,เทคโน,NA,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",ccffaadd
