"ach","learning_performance","ontime_class","engage","practice"
58.155934947701056,68.88888888888889,"used to late","much engage","do practice"
47.35995868721999,62.44444444444444,"never late","moderate engage","do not praction"
37.66932210980179,57.333333333333336,"used to late","much engage","do practice"
59.7584223991005,76.66666666666667,"used to late","much engage","do not praction"
41.68131885079934,28.66666666666666,"used to late","no engage","do not praction"
27.25494250523205,34.888888888888886,"used to late","much engage","do not praction"
64.88195417447031,78,"never late","much engage","do not praction"
48.56565188098875,53.333333333333336,"used to late","much engage","do practice"
39.62192485776197,60.888888888888886,"used to late","much engage","do practice"
49.987030938985285,54.44444444444444,"never late","much engage","do not praction"
31.404050403538594,51.777777777777764,"never late","moderate engage","do practice"
32.254133106744916,43.111111111111114,"used to late","much engage","do not praction"
30.471432178124132,32.888888888888886,"never late","moderate engage","do not praction"
37.540282885885496,55.1111111111111,"used to late","much engage","do practice"
14.857692307686074,22.666666666666664,"never late","little engage","do not praction"
8.775116368049098,21.333333333333336,"used to late","much engage","do practice"
49.111823577063475,52.22222222222222,"never late","much engage","do not praction"
53.5702744559843,48.44444444444444,"used to late","little engage","do practice"
23.832523227179067,30,"never late","little engage","do not praction"
52.87349336673183,60.22222222222222,"used to late","moderate engage","do practice"
72.20408853158328,91.11111111111111,"never late","much engage","do not praction"
66.83711585723223,72,"never late","little engage","do not praction"
56.44513636891196,75.55555555555556,"used to late","little engage","do practice"
50.46423993178659,64.22222222222223,"never late","no engage","do not praction"
46.902831522096584,35.777777777777786,"never late","much engage","do not praction"
39.35972309464384,34.888888888888886,"never late","much engage","do practice"
42.730307322453875,52.44444444444444,"never late","moderate engage","do practice"
62.39660551513641,68,"never late","moderate engage","do not praction"
49.526840605135696,67.55555555555556,"never late","much engage","do practice"
66.74390025549434,71.33333333333333,"never late","much engage","do practice"
76.48515318573334,82.66666666666667,"used to late","moderate engage","do practice"
31.837707631137828,25.333333333333332,"used to late","little engage","do not praction"
47.88931506027104,18.444444444444446,"never late","much engage","do not praction"
42.51921850712121,50.44444444444444,"never late","no engage","do practice"
61.230313271243645,64.8888888888889,"used to late","moderate engage","do not praction"
24.254401937995752,28.88888888888889,"used to late","little engage","do not praction"
61.74485311836417,63.55555555555556,"never late","no engage","do practice"
56.14363903338282,73.55555555555556,"used to late","moderate engage","do not praction"
34.49185468820807,31.77777777777778,"never late","much engage","do not praction"
58.595600090671034,66.22222222222221,"used to late","moderate engage","do not praction"
53.01410217124349,73.55555555555554,"never late","little engage","do not praction"
78.2827897273317,72.88888888888889,"never late","much engage","do practice"
33.885157786290804,24.66666666666667,"never late","moderate engage","do not praction"
41.21030404784004,40.22222222222223,"never late","little engage","do not praction"
36.60523429117799,54.444444444444436,"never late","moderate engage","do not praction"
53.08487501327977,69.33333333333334,"used to late","much engage","do not praction"
50.93167688946152,42.44444444444445,"used to late","much engage","do not praction"
60.301155093155465,88.88888888888889,"never late","much engage","do practice"
64.46386991772866,60.666666666666664,"used to late","moderate engage","do not praction"
55.11663224391424,68.88888888888889,"never late","much engage","do not praction"
42.23908435587896,11.555555555555555,"used to late","little engage","do not praction"
51.48540608705333,53.55555555555556,"used to late","moderate engage","do practice"
32.72564070286498,31.11111111111111,"used to late","moderate engage","do not praction"
32.68371002347788,21.333333333333332,"used to late","much engage","do not praction"
31.13370946755779,41.55555555555556,"never late","much engage","do not praction"
43.24943956812217,47.333333333333336,"used to late","moderate engage","do not praction"
43.31319133825998,50.44444444444446,"used to late","moderate engage","do practice"
14.222776271881528,11.11111111111111,"used to late","little engage","do not praction"
42.40688542669383,18.666666666666664,"never late","moderate engage","do not praction"
31.748585333106558,44,"never late","much engage","do not praction"
23.596055804453563,18.22222222222222,"never late","no engage","do not praction"
64.48146686377078,68.66666666666667,"used to late","moderate engage","do not praction"
55.381012535025086,69.33333333333334,"used to late","moderate engage","do not praction"
42.313397739521086,30.22222222222222,"never late","moderate engage","do not praction"
50.508335957792745,64.88888888888889,"used to late","much engage","do not praction"
23.33514082445665,12.222222222222221,"used to late","much engage","do not praction"
63.220975936837924,84.66666666666666,"never late","no engage","do not praction"
28.981081225356974,6.444444444444445,"used to late","moderate engage","do not praction"
77.2292658401856,83.33333333333333,"used to late","much engage","do not praction"
60.10724943901382,62,"used to late","little engage","do not praction"
66.40428022776997,58.666666666666664,"used to late","moderate engage","do not praction"
68.3681827363194,80.44444444444443,"used to late","moderate engage","do not praction"
34.41813072561511,39.77777777777777,"never late","moderate engage","do not praction"
73.30231161531825,74.44444444444444,"used to late","much engage","do not praction"
41.822496960244905,42.666666666666664,"used to late","much engage","do not praction"
68.1201101659477,77.11111111111111,"used to late","much engage","do not praction"
41.91593661428527,24.88888888888889,"never late","moderate engage","do not praction"
49.97754994237613,30,"used to late","moderate engage","do not praction"
59.18017893659925,58,"used to late","much engage","do not praction"
23.28204169122939,18.222222222222225,"never late","moderate engage","do not praction"
41.04207219034245,50.888888888888886,"never late","moderate engage","do not praction"
70.73288875529161,79.11111111111111,"never late","much engage","do practice"
49.425919876432,52.44444444444444,"never late","much engage","do practice"
38.57007756333496,24,"never late","moderate engage","do not praction"
56.095644691883614,50.666666666666664,"never late","moderate engage","do not praction"
71.48674738673452,93.33333333333333,"never late","much engage","do practice"
14.683723273858176,16.444444444444443,"never late","moderate engage","do not praction"
78.02347277770379,85.33333333333334,"never late","much engage","do practice"
53.91817475184602,63.777777777777786,"never late","moderate engage","do not praction"
7.134282427084432,32.888888888888886,"never late","little engage","do not praction"
50.825690034924015,65.33333333333333,"never late","little engage","do not praction"
54.410972937945346,51.111111111111114,"never late","little engage","do not praction"
62.451924402829626,81.11111111111111,"never late","moderate engage","do not praction"
57.54158154437955,66,"never late","little engage","do not praction"
54.018751662889464,75.55555555555556,"never late","much engage","do not praction"
45.29813002971684,71.55555555555557,"never late","moderate engage","do not praction"
59.80492831167553,75.77777777777777,"never late","moderate engage","do not praction"
43.32470436541502,66,"never late","moderate engage","do not praction"
51.363518749865285,69.33333333333334,"never late","little engage","do not praction"
28.273271996318666,27.55555555555555,"never late","little engage","do not praction"
24.11326571886497,9.777777777777779,"never late","no engage","do practice"
55.88195970168352,58,"never late","no engage","do not praction"
64.90601164627097,72.66666666666667,"never late","much engage","do practice"
55.142468837120994,58,"never late","no engage","do not praction"
33.70129135969438,47.333333333333336,"never late","no engage","do not praction"
47.52049657130611,27.77777777777778,"never late","moderate engage","do not praction"
46.84139014325394,48.444444444444436,"never late","moderate engage","do not praction"
37.64333294578806,18.22222222222222,"never late","much engage","do not praction"
59.79178625473926,61.111111111111114,"never late","little engage","do not praction"
21.722664778222374,17.111111111111107,"never late","little engage","do practice"
31.465894116733516,11.333333333333332,"used to late","little engage","do not praction"
33.01720010457446,23.333333333333332,"never late","moderate engage","do not praction"
35.68927849797613,28.66666666666666,"never late","much engage","do not praction"
21.051837474055773,15.777777777777779,"never late","little engage","do not praction"
28.400471304988272,13.333333333333334,"used to late","little engage","do not praction"
30.39491495774615,35.77777777777777,"never late","little engage","do not praction"
29.078973596148174,5.777777777777777,"never late","little engage","do not praction"
20.737224412368345,6.888888888888889,"never late","little engage","do not praction"
47.65156661207143,54.888888888888886,"never late","moderate engage","do not praction"
33.561586441676894,17.555555555555557,"used to late","little engage","do not praction"
51.18963804148484,65.1111111111111,"never late","little engage","do not praction"
8.627493798252837,14.222222222222221,"never late","little engage","do not praction"
35.217834089053106,8.222222222222221,"never late","little engage","do practice"
24.199899655702133,13.777777777777779,"never late","little engage","do not praction"
63.11587513098157,69.11111111111111,"used to late","much engage","do practice"
75.41464401655895,77.33333333333333,"used to late","much engage","do practice"
32.476183068700706,4,"used to late","moderate engage","do not praction"
8.308900944892248,18.666666666666668,"never late","little engage","do not praction"
33.544571933386194,24.666666666666668,"never late","much engage","do practice"
32.34879946866618,8.444444444444445,"never late","moderate engage","do not praction"
11.355064303833558,2.6666666666666665,"never late","little engage","do not praction"
38.31747828515987,25.77777777777778,"never late","little engage","do not praction"
16.40527729899544,4.444444444444445,"used to late","little engage","do not praction"
25.71098330233241,20.666666666666668,"never late","much engage","do not praction"
28.88604880321708,16,"never late","moderate engage","do not praction"
12.463117215717833,5.777777777777777,"never late","much engage","do not praction"
16.043602343568526,10.666666666666666,"used to late","little engage","do not praction"
31.13092451104397,11.333333333333332,"never late","no engage","do not praction"
19.103720139965574,16.666666666666668,"never late","moderate engage","do practice"
36.898098334894605,23.11111111111111,"never late","much engage","do not praction"
28.683383715255104,6.888888888888889,"never late","little engage","do not praction"
36.756780109440484,38.00000000000001,"never late","little engage","do not praction"
17.165950103223334,5.555555555555555,"used to late","little engage","do not praction"
3.52393597583192,3.7777777777777786,"used to late","little engage","do not praction"
4.104577710121077,7.111111111111111,"never late","little engage","do not praction"
28.787424335169295,16.88888888888889,"used to late","little engage","do not praction"
25.57204926120525,14.666666666666666,"never late","much engage","do not praction"
67.40062697717862,73.99999999999999,"never late","moderate engage","do practice"
33.43317066948345,31.333333333333332,"never late","much engage","do not praction"
65.6250062627891,88.66666666666667,"never late","much engage","do not praction"
48.700584649096335,45.77777777777778,"never late","much engage","do not praction"
47.57096935395658,30.22222222222223,"never late","moderate engage","do not praction"
27.61100584350335,31.999999999999996,"never late","no engage","do not praction"
25.583903493365383,30,"used to late","little engage","do not praction"
59.88299891608441,62.44444444444444,"used to late","moderate engage","do not praction"
57.971862294091544,60.66666666666666,"used to late","much engage","do not praction"
56.152909841205606,60.66666666666666,"used to late","much engage","do not praction"
58.40991029999873,50,"never late","much engage","do practice"
52.00156540224855,48,"used to late","little engage","do not praction"
41.64181111418651,13.333333333333334,"used to late","little engage","do not praction"
55.656790887727404,61.555555555555564,"never late","much engage","do practice"
50.260517260037375,71.55555555555554,"never late","much engage","do not praction"
33.86694553074477,21.77777777777778,"never late","little engage","do not praction"
20.548250996805603,11.777777777777779,"never late","moderate engage","do practice"
29.52505055071343,23.111111111111107,"used to late","little engage","do not praction"
66.37025056663943,82.66666666666667,"never late","moderate engage","do practice"
73.9637434693078,68.66666666666667,"never late","much engage","do practice"
59.11918724131359,69.77777777777777,"never late","much engage","do not praction"
25.112639273452785,40,"used to late","little engage","do not praction"
9.983789665646373,8.222222222222221,"never late","moderate engage","do practice"
51.034395573034594,51.333333333333336,"used to late","moderate engage","do practice"
44.57705089082439,46.888888888888886,"used to late","moderate engage","do not praction"
40.19071838176161,31.77777777777778,"used to late","moderate engage","do not praction"
12.83267012521004,9.777777777777779,"never late","little engage","do not praction"
43.4521665196569,4.444444444444445,"used to late","little engage","do not praction"
25.832617764352037,10.666666666666668,"used to late","no engage","do not praction"
33.53464476431457,16.88888888888889,"used to late","moderate engage","do not praction"
57.87999302350223,58.222222222222236,"used to late","much engage","do practice"
62.285026314672145,72.66666666666667,"never late","much engage","do not praction"
31.36060590884056,48,"never late","much engage","do not praction"
52.089733136400355,70.88888888888889,"never late","much engage","do practice"
66.33428883815344,92.66666666666667,"used to late","much engage","do not praction"
51.8420482297589,38.44444444444444,"used to late","much engage","do practice"
54.75674897600648,57.111111111111114,"used to late","much engage","do not praction"
58.14362750730821,86.66666666666667,"never late","much engage","do not praction"
66.55256936339444,85.33333333333334,"used to late","much engage","do not praction"
60.607715046756354,87.55555555555556,"never late","much engage","do practice"
57.92815325267999,75.55555555555556,"used to late","much engage","do not praction"
12.430458154967269,3.7777777777777786,"used to late","no engage","do not praction"
69.99584246891777,83.77777777777779,"used to late","much engage","do practice"
49.60301810570913,66.44444444444444,"never late","much engage","do practice"
69.70572786633704,78.88888888888889,"never late","much engage","do not praction"
18.791411341844324,15.333333333333334,"never late","moderate engage","do not praction"
8.238567874258818,15.333333333333334,"never late","moderate engage","do not praction"
29.615402923033642,62.44444444444444,"never late","moderate engage","do not praction"
24.805120262359512,56,"used to late","moderate engage","do not praction"
62.073011114937785,66.22222222222221,"never late","much engage","do practice"
45.53549821346756,54.22222222222222,"never late","much engage","do practice"
46.46379526000548,18,"never late","much engage","do not praction"
6.7696247826142955,16.444444444444443,"used to late","much engage","do not praction"
57.35355979997349,70.66666666666666,"used to late","much engage","do not praction"
69.22221243888362,71.11111111111111,"used to late","much engage","do not praction"
45.088006371611584,32.22222222222222,"used to late","moderate engage","do not praction"
13.881842062029547,10.444444444444443,"never late","much engage","do not praction"
29.33103738095829,10.666666666666666,"never late","moderate engage","do not praction"
61.639197374594666,75.77777777777777,"never late","much engage","do not praction"
28.315895729702916,50.888888888888886,"never late","much engage","do practice"
-1.5755756127256042,14.000000000000002,"used to late","little engage","do not praction"
15.606012024431157,7.999999999999999,"never late","moderate engage","do not praction"
17.003194293590713,5.111111111111111,"never late","little engage","do not praction"
34.48426819108199,17.77777777777778,"never late","much engage","do not praction"
56.211766432297544,54.666666666666664,"never late","much engage","do practice"
17.04575671901566,34.22222222222222,"used to late","much engage","do practice"
59.08702502089086,81.11111111111111,"never late","moderate engage","do practice"
46.070195003247505,18.666666666666668,"never late","much engage","do not praction"
22.170877608564332,28.444444444444443,"used to late","much engage","do not praction"
54.25238637339142,58.666666666666664,"never late","much engage","do not praction"
45.018612933747654,51.111111111111114,"never late","much engage","do not praction"
66.7184269182629,79.55555555555554,"never late","much engage","do not praction"
39.9254449327687,24.444444444444443,"never late","much engage","do not praction"
29.588150914393463,21.77777777777778,"never late","much engage","do not praction"
37.41996896800864,13.11111111111111,"never late","little engage","do not praction"
40.2896659268731,36.44444444444444,"never late","much engage","do practice"
22.949016822350536,6.666666666666667,"never late","moderate engage","do not praction"
79.96763866017108,77.77777777777777,"never late","much engage","do not praction"
54.07533606085633,46,"never late","much engage","do not praction"
34.15840265234581,27.77777777777778,"never late","no engage","do not praction"
25.93564962663703,6.888888888888889,"never late","moderate engage","do not praction"
43.3315072244927,47.55555555555556,"never late","moderate engage","do not praction"
26.623357530163,13.555555555555555,"used to late","much engage","do not praction"
32.058264847855,5.555555555555555,"never late","no engage","do not praction"
27.463083671786087,5.555555555555555,"never late","no engage","do not praction"
57.828346050061,84.66666666666667,"never late","much engage","do not praction"
21.70511733435555,24.22222222222222,"never late","no engage","do not praction"
15.515805850858667,22.444444444444443,"never late","no engage","do not praction"
37.28346320301405,28.88888888888889,"never late","much engage","do not praction"
44.287376687743645,19.77777777777778,"never late","little engage","do practice"
35.38966831248116,14.222222222222221,"never late","much engage","do not praction"
31.583689230035265,6.888888888888889,"never late","little engage","do not praction"
29.70266382268327,10.666666666666666,"used to late","little engage","do not praction"
23.22332032150471,7.777777777777778,"never late","much engage","do not praction"
42.136067630951985,48,"never late","much engage","do not praction"
37.00549587345536,47.55555555555556,"never late","much engage","do not praction"
46.59015884557675,30.888888888888882,"never late","little engage","do not praction"
38.28224295196913,65.33333333333333,"never late","moderate engage","do not praction"
29.6415618832781,8.666666666666668,"never late","much engage","do not praction"
40.898817541390535,28.22222222222222,"never late","much engage","do not praction"
16.40746878077963,8.444444444444445,"never late","no engage","do not praction"
31.738275628126452,7.111111111111111,"never late","no engage","do not praction"
24.12901175063674,17.333333333333336,"never late","moderate engage","do not praction"
32.661737368263594,13.777777777777779,"never late","much engage","do not praction"
