ach,ontime_class,engage,practice,learning_performance_mar
65.97409639079828,never late,much engage,do not praction,80.88888888888889
43.25426847462994,used to late,much engage,do not praction,27.55555555555556
35.658120677641904,never late,moderate engage,do not praction,33.991543450585624
44.93529712788467,used to late,much engage,do not praction,66.22222222222223
48.09989092594601,never late,much engage,do not praction,66.66666666666667
61.75078447454241,never late,much engage,do practice,87.55555555555556
57.86844194903053,never late,little engage,do not praction,72.66666666666667
30.761188231535755,used to late,moderate engage,do not praction,5.777777777777777
41.99979113821318,never late,much engage,do not praction,14.666666666666666
38.84075393812121,never late,much engage,do not praction,39.16644078498047
65.88716567716178,never late,much engage,do not praction,93.55555555555556
35.70717780358311,never late,moderate engage,do not praction,13.555555555555555
35.507200164407976,never late,moderate engage,do practice,34.62636975006932
49.100708722388745,never late,moderate engage,do not praction,52.23455825396232
36.31897488274021,used to late,little engage,do not praction,41.55555555555556
22.355916236792247,used to late,moderate engage,do not praction,14.952049035888827
38.026119449827405,never late,little engage,do not praction,36.34944128948123
35.80437003336767,never late,moderate engage,do not praction,34.1900193060242
50.91163434129957,used to late,much engage,do not praction,83.11111111111111
75.02197064930309,used to late,much engage,do practice,92.44444444444444
54.064800237041645,used to late,much engage,do practice,73.77777777777779
51.88942983854616,used to late,much engage,do not praction,42.44444444444445
65.22895040421942,never late,much engage,do practice,94.88888888888889
52.85156672807047,never late,much engage,do not praction,70.44444444444444
37.27519012350896,never late,much engage,do practice,37.88144639200254
13.821304894440695,never late,moderate engage,do not praction,4.3566731216368595
57.45720223369575,used to late,moderate engage,do not praction,95.55555555555556
22.061438631179527,used to late,moderate engage,do practice,15.392053166257593
56.85245070621784,never late,much engage,do practice,90.66666666666666
40.024283036077065,never late,much engage,do not praction,51.11111111111112
50.74019035704312,never late,moderate engage,do practice,55.29914977270286
31.85043102802672,used to late,much engage,do not praction,28.692837686705033
41.138199970644905,used to late,much engage,do practice,67.55555555555556
28.47637151465075,never late,much engage,do not praction,25.100876821416364
34.96074075564202,never late,much engage,do not praction,33.9008522175375
44.88702311045414,used to late,moderate engage,do not praction,45.529145861622666
23.997759097891937,never late,little engage,do not praction,17.31147146435734
58.155934947701056,used to late,much engage,do practice,68.88888888888889
47.35995868721999,never late,moderate engage,do not praction,49.87217620707871
37.66932210980179,used to late,much engage,do practice,57.333333333333336
59.7584223991005,used to late,much engage,do not praction,76.66666666666667
41.68131885079934,used to late,no engage,do not praction,28.66666666666666
27.25494250523205,used to late,much engage,do not praction,22.45627335318352
64.88195417447031,never late,much engage,do not praction,78.0
48.56565188098875,used to late,much engage,do practice,53.333333333333336
39.62192485776197,used to late,much engage,do practice,60.888888888888886
49.987030938985285,never late,much engage,do not praction,54.44444444444444
31.40405040353859,never late,moderate engage,do practice,29.057961227927372
32.25413310674492,used to late,much engage,do not praction,29.240704137249736
30.47143217812413,never late,moderate engage,do not praction,26.95265817326859
37.540282885885496,used to late,much engage,do practice,37.25421030854197
14.857692307686074,never late,little engage,do not praction,22.666666666666664
8.775116368049098,used to late,much engage,do practice,-1.7831652964892832
49.11182357706348,never late,much engage,do not praction,52.22222222222222
53.5702744559843,used to late,little engage,do practice,48.44444444444444
23.832523227179067,never late,little engage,do not praction,17.08722889845935
52.87349336673183,used to late,moderate engage,do practice,57.20727273499203
72.20408853158328,never late,much engage,do not praction,91.11111111111111
66.83711585723223,never late,little engage,do not praction,72.0
56.44513636891196,used to late,little engage,do practice,75.55555555555556
50.46423993178659,never late,no engage,do not praction,64.22222222222223
46.90283152209658,never late,much engage,do not praction,35.777777777777786
39.35972309464384,never late,much engage,do practice,40.71037827059278
42.73030732245388,never late,moderate engage,do practice,44.4288906911244
62.39660551513641,never late,moderate engage,do not praction,70.27849750188506
49.526840605135696,never late,much engage,do practice,67.55555555555556
66.74390025549434,never late,much engage,do practice,71.33333333333333
76.48515318573334,used to late,moderate engage,do practice,89.25079427835057
31.837707631137828,used to late,little engage,do not praction,26.964116420278557
47.88931506027104,never late,much engage,do not praction,18.444444444444446
42.51921850712121,never late,no engage,do practice,50.44444444444444
61.230313271243645,used to late,moderate engage,do not praction,67.70872046040513
24.254401937995752,used to late,little engage,do not praction,16.67276794199324
61.74485311836417,never late,no engage,do practice,63.55555555555556
56.14363903338282,used to late,moderate engage,do not praction,60.805565122135775
34.49185468820807,never late,much engage,do not praction,33.264524194926004
58.59560009067104,used to late,moderate engage,do not praction,64.13313580395047
53.01410217124349,never late,little engage,do not praction,73.55555555555554
78.2827897273317,never late,much engage,do practice,72.88888888888889
33.885157786290804,never late,moderate engage,do not praction,24.66666666666667
41.21030404784004,never late,little engage,do not praction,40.22222222222223
36.60523429117799,never late,moderate engage,do not praction,54.44444444444443
53.08487501327977,used to late,much engage,do not praction,69.33333333333334
50.93167688946152,used to late,much engage,do not praction,42.44444444444445
60.301155093155465,never late,much engage,do practice,88.88888888888889
64.46386991772866,used to late,moderate engage,do not praction,72.09699908450798
55.11663224391424,never late,much engage,do not praction,68.88888888888889
42.23908435587896,used to late,little engage,do not praction,11.555555555555555
51.48540608705333,used to late,moderate engage,do practice,55.32349137479112
32.72564070286498,used to late,moderate engage,do not praction,31.11111111111111
32.68371002347788,used to late,much engage,do not praction,21.33333333333333
31.13370946755779,never late,much engage,do not praction,28.707165688641027
43.24943956812217,used to late,moderate engage,do not praction,43.30677166514474
43.31319133825998,used to late,moderate engage,do practice,50.44444444444446
14.222776271881528,used to late,little engage,do not praction,3.0587901186996262
42.40688542669383,never late,moderate engage,do not praction,18.666666666666664
31.74858533310656,never late,much engage,do not praction,29.541617319540244
23.596055804453563,never late,no engage,do not praction,19.333498982214437
64.48146686377078,used to late,moderate engage,do not praction,72.12088000283056
55.381012535025086,used to late,moderate engage,do not praction,59.77060024389388
42.313397739521086,never late,moderate engage,do not praction,43.02345884933813
50.508335957792745,used to late,much engage,do not praction,64.88888888888889
23.33514082445665,used to late,much engage,do not praction,12.22222222222222
63.22097593683792,never late,no engage,do not praction,84.66666666666666
28.981081225356977,used to late,moderate engage,do not praction,23.94309916395035
77.2292658401856,used to late,much engage,do not praction,83.33333333333333
60.10724943901382,used to late,little engage,do not praction,62.0
66.40428022776997,used to late,moderate engage,do not praction,74.7303412573749
68.3681827363194,used to late,moderate engage,do not praction,77.39556483014195
34.41813072561511,never late,moderate engage,do not praction,32.3087458393248
73.30231161531825,used to late,much engage,do not praction,74.44444444444444
41.822496960244905,used to late,much engage,do not praction,42.66666666666666
68.1201101659477,used to late,much engage,do not praction,77.11111111111111
41.91593661428527,never late,moderate engage,do not praction,42.484062033240846
49.97754994237613,used to late,moderate engage,do not praction,52.437529577809684
59.18017893659925,used to late,much engage,do not praction,58.0
23.28204169122939,never late,moderate engage,do not praction,17.19589432369648
41.04207219034245,never late,moderate engage,do not praction,41.29813551603549
70.73288875529161,never late,much engage,do practice,79.11111111111111
49.425919876432,never late,much engage,do practice,52.44444444444444
38.57007756333496,never late,moderate engage,do not praction,24.0
56.095644691883614,never late,moderate engage,do not praction,61.727426741443395
71.48674738673452,never late,much engage,do practice,93.33333333333331
14.683723273858176,never late,moderate engage,do not praction,5.527066144918226
78.02347277770379,never late,much engage,do practice,85.33333333333334
53.91817475184602,never late,moderate engage,do not praction,58.772369559166876
7.134282427084432,never late,little engage,do not praction,-5.574051287502945
50.825690034924015,never late,little engage,do not praction,65.33333333333333
54.41097293794535,never late,little engage,do not praction,51.11111111111112
62.451924402829626,never late,moderate engage,do not praction,70.35357108769564
57.54158154437955,never late,little engage,do not praction,66.0
54.01875166288946,never late,much engage,do not praction,75.55555555555556
45.29813002971684,never late,moderate engage,do not praction,47.07405648521792
59.80492831167553,never late,moderate engage,do not praction,66.76131722150095
43.32470436541502,never late,moderate engage,do not praction,44.39590898211935
51.363518749865285,never late,little engage,do not praction,69.33333333333334
28.273271996318663,never late,little engage,do not praction,23.113795007888626
24.11326571886497,never late,no engage,do practice,20.875048990075364
55.88195970168352,never late,no engage,do not praction,58.0
64.90601164627097,never late,much engage,do practice,72.66666666666667
55.142468837120994,never late,no engage,do not praction,58.0
33.70129135969438,never late,no engage,do not praction,33.047373216269236
47.52049657130611,never late,moderate engage,do not praction,50.090043107867245
46.84139014325394,never late,moderate engage,do not praction,49.16842380518651
37.64333294578806,never late,much engage,do not praction,37.541413757722566
59.79178625473926,never late,little engage,do not praction,61.11111111111112
21.722664778222377,never late,little engage,do practice,15.06356907597548
31.46589411673352,used to late,little engage,do not praction,26.459526126743228
33.01720010457446,never late,moderate engage,do not praction,23.33333333333333
35.68927849797613,never late,much engage,do not praction,28.66666666666666
21.051837474055773,never late,little engage,do not praction,13.313544010630721
28.400471304988272,used to late,little engage,do not praction,22.299422912456983
30.39491495774615,never late,little engage,do not praction,25.993089071201602
29.078973596148177,never late,little engage,do not praction,24.207217358098788
20.737224412368345,never late,little engage,do not praction,12.88658078579677
47.65156661207143,never late,moderate engage,do not praction,50.2679190262545
33.561586441676894,used to late,little engage,do not praction,29.303602429610017
51.18963804148484,never late,little engage,do not praction,65.1111111111111
8.627493798252837,never late,little engage,do not praction,-3.5476054083226405
35.217834089053106,never late,little engage,do practice,33.37794222287618
24.199899655702133,never late,little engage,do not praction,13.77777777777778
63.11587513098157,used to late,much engage,do practice,69.11111111111111
75.41464401655895,used to late,much engage,do practice,77.33333333333333
32.476183068700706,used to late,moderate engage,do not praction,28.686322303362545
8.308900944892248,never late,little engage,do not praction,18.666666666666668
33.544571933386194,never late,much engage,do practice,32.81860264185489
32.34879946866618,never late,moderate engage,do not praction,29.500444295905723
11.355064303833558,never late,little engage,do not praction,0.15399646662344502
38.31747828515987,never late,little engage,do not praction,36.74484606781496
16.40527729899544,used to late,little engage,do not praction,6.0206750186525895
25.71098330233241,never late,much engage,do not praction,21.347952315623623
28.88604880321708,never late,moderate engage,do not praction,16.0
12.463117215717832,never late,much engage,do not praction,3.369195819719021
16.043602343568526,used to late,little engage,do not praction,5.529843822762288
31.13092451104397,never late,no engage,do not praction,29.55911334295098
19.10372013996557,never late,moderate engage,do practice,12.365111135532015
36.898098334894605,never late,much engage,do not praction,36.53005151160874
28.683383715255104,never late,little engage,do not praction,6.888888888888889
36.75678010944048,never late,little engage,do not praction,34.626813451738606
17.165950103223334,used to late,little engage,do not praction,7.05298852717214
3.52393597583192,used to late,little engage,do not praction,-11.460668578546487
4.104577710121077,never late,little engage,do not praction,-9.685681266599248
28.78742433516929,used to late,little engage,do not praction,22.824559131338766
25.57204926120525,never late,much engage,do not praction,21.159404116382618
67.40062697717862,never late,moderate engage,do practice,77.90912568508864
33.43317066948345,never late,much engage,do not praction,31.827777925427775
65.6250062627891,never late,much engage,do not praction,88.66666666666667
48.700584649096335,never late,much engage,do not praction,45.77777777777778
47.57096935395658,never late,moderate engage,do not praction,50.158540016200305
27.61100584350335,never late,no engage,do not praction,24.78221114637438
25.583903493365383,used to late,little engage,do not praction,18.4770422733188
59.88299891608441,used to late,moderate engage,do not praction,65.88027227437469
57.97186229409154,used to late,much engage,do not praction,60.66666666666666
56.152909841205606,used to late,much engage,do not praction,60.66666666666666
58.40991029999873,never late,much engage,do practice,50.0
52.00156540224855,used to late,little engage,do not praction,48.0
41.64181111418651,used to late,little engage,do not praction,13.333333333333334
55.65679088772741,never late,much engage,do practice,61.55555555555557
50.260517260037375,never late,much engage,do not praction,71.55555555555554
33.86694553074477,never late,little engage,do not praction,30.70500205478387
20.548250996805603,never late,moderate engage,do practice,14.325492404194438
29.52505055071343,used to late,little engage,do not praction,23.82559597965527
66.37025056663943,never late,moderate engage,do practice,76.51079583610823
73.9637434693078,never late,much engage,do practice,68.66666666666667
59.11918724131359,never late,much engage,do not praction,69.77777777777777
25.112639273452785,used to late,little engage,do not praction,17.83748684607896
9.983789665646372,never late,moderate engage,do practice,-0.011599814394640973
51.034395573034594,used to late,moderate engage,do practice,54.7114223701966
44.57705089082439,used to late,moderate engage,do not praction,45.108480750669514
40.19071838176161,used to late,moderate engage,do not praction,39.155763265837024
12.83267012521004,never late,little engage,do not praction,2.1592639629714228
43.4521665196569,used to late,little engage,do not praction,4.444444444444445
25.83261776435204,used to late,no engage,do not praction,21.381755269350535
33.53464476431457,used to late,moderate engage,do not praction,30.122766856867756
57.87999302350223,used to late,much engage,do practice,58.22222222222224
62.28502631467215,never late,much engage,do not praction,72.66666666666667
31.36060590884056,never late,much engage,do not praction,48.0
52.08973313640036,never late,much engage,do practice,70.88888888888889
66.33428883815344,used to late,much engage,do not praction,92.66666666666669
51.8420482297589,used to late,much engage,do practice,38.44444444444444
54.75674897600648,used to late,much engage,do not praction,57.11111111111112
58.14362750730821,never late,much engage,do not praction,86.66666666666667
66.55256936339444,used to late,much engage,do not praction,85.33333333333334
60.607715046756354,never late,much engage,do practice,87.55555555555556
57.92815325267999,used to late,much engage,do not praction,75.55555555555556
12.430458154967267,used to late,no engage,do not praction,3.1936061318956455
69.99584246891777,used to late,much engage,do practice,83.77777777777779
49.60301810570913,never late,much engage,do practice,66.44444444444444
69.70572786633704,never late,much engage,do not praction,78.88888888888889
18.791411341844324,never late,moderate engage,do not praction,11.10163363017336
8.238567874258818,never late,moderate engage,do not praction,15.333333333333334
29.61540292303364,never late,moderate engage,do not praction,25.790935867953877
24.805120262359512,used to late,moderate engage,do not praction,18.27587813384099
62.073011114937785,never late,much engage,do practice,66.22222222222221
45.53549821346756,never late,much engage,do practice,54.22222222222222
46.46379526000548,never late,much engage,do not praction,18.0
6.769624782614296,used to late,much engage,do not praction,-5.344471058651111
57.35355979997349,used to late,much engage,do not praction,70.66666666666666
69.22221243888362,used to late,much engage,do not praction,71.11111111111111
45.088006371611584,used to late,moderate engage,do not praction,45.80190142002566
13.881842062029548,never late,much engage,do not praction,10.444444444444445
29.33103738095829,never late,moderate engage,do not praction,25.405021728773065
61.639197374594666,never late,much engage,do not praction,75.77777777777777
28.31589572970292,never late,much engage,do practice,25.72273560580946
-1.5755756127256042,used to late,little engage,do not praction,-18.38124556047675
15.606012024431156,never late,moderate engage,do not praction,6.778709598818889
17.003194293590713,never late,little engage,do not praction,7.819106687329917
34.48426819108199,never late,much engage,do not praction,17.77777777777778
56.21176643229754,never late,much engage,do practice,54.66666666666666
17.04575671901566,used to late,much engage,do practice,9.44096906319228
59.08702502089086,never late,moderate engage,do practice,66.62668787972812
46.07019500324751,never late,much engage,do not praction,18.666666666666668
22.17087760856433,used to late,much engage,do not praction,28.444444444444443
54.25238637339142,never late,much engage,do not praction,58.66666666666666
45.01861293374765,never late,much engage,do not praction,51.11111111111112
66.7184269182629,never late,much engage,do not praction,79.55555555555554
39.9254449327687,never late,much engage,do not praction,24.444444444444443
29.588150914393463,never late,much engage,do not praction,26.609679142820653
37.41996896800864,never late,little engage,do not praction,35.52683092783923
40.2896659268731,never late,much engage,do practice,36.44444444444444
22.949016822350536,never late,moderate engage,do not praction,6.666666666666667
79.96763866017108,never late,much engage,do not praction,77.77777777777777
54.07533606085633,never late,much engage,do not praction,46.0
34.15840265234581,never late,no engage,do not praction,27.77777777777778
25.93564962663703,never late,moderate engage,do not praction,20.79712116237188
43.3315072244927,never late,moderate engage,do not praction,44.40514118193431
26.623357530163,used to late,much engage,do not praction,21.599145692094652
32.058264847855,never late,no engage,do not praction,30.817612334060286
27.463083671786087,never late,no engage,do not praction,24.581465102576644
57.828346050061,never late,much engage,do not praction,84.66666666666667
21.70511733435555,never late,no engage,do not praction,16.767295332482476
15.515805850858667,never late,no engage,do not praction,8.367744543580098
37.28346320301405,never late,much engage,do not praction,37.05303242647444
44.287376687743645,never late,little engage,do practice,19.77777777777778
35.38966831248116,never late,much engage,do not praction,34.482952311875394
31.583689230035265,never late,little engage,do not praction,27.6063815841503
29.70266382268327,used to late,little engage,do not praction,10.666666666666666
23.22332032150471,never late,much engage,do not praction,17.971930344706593
42.13606763095199,never late,much engage,do not praction,48.0
37.00549587345536,never late,much engage,do not praction,36.67580133889559
46.59015884557675,never late,little engage,do not praction,30.88888888888888
38.28224295196913,never late,moderate engage,do not praction,37.55275512627405
29.6415618832781,never late,much engage,do not praction,26.682163480864915
40.898817541390535,never late,much engage,do not praction,28.22222222222222
16.40746878077963,never late,no engage,do not praction,9.577825517275276
31.73827562812645,never late,no engage,do not praction,30.38335309372671
24.12901175063674,never late,moderate engage,do not praction,17.333333333333336
32.661737368263594,never late,much engage,do not praction,30.78086128354859
