"age","years_study","major","level","work_status","gpa","credits_per_term","withdrawal_count","failed_courses","scholarship_status","family_income","monthly_expense","payment_status","absence_count","activity_participation","library_usage","distance_from_home","accommodation_type","commute_hours","academic_risk"
23,1,"Engineering","Undergraduate",NA,2.52,13,2,0,"None",22323,10402,"Delayed",4,3,3,160,"Dormitory",1.1,"Low Risk"
26,2,"Liberal Arts","Undergraduate","Not Working",3.01,16,0,0,"None",63549,12002,"Current",6,2,7,90,"Home",3.6,"Low Risk"
20,6,"Medicine","Undergraduate","Not Working",0.96,12,1,1,"None",82129,13979,"Current",12,3,0,108,"Apartment",1.2,"High Risk"
19,2,"Engineering","Undergraduate","Working",2.1,13,0,0,"Full",32253,13418,"Current",12,0,NA,23,"Home",0.9,"Low Risk"
19,3,"Science","Undergraduate","Working",1.79,15,0,0,"None",21736,11195,NA,11,1,NA,24,"Home",1,"Low Risk"
18,3,"Liberal Arts","Undergraduate","Not Working",3.2,18,0,0,"None",79094,9753,"Current",2,2,NA,6,"Home",0.5,"Low Risk"
19,3,"Liberal Arts","Undergraduate","Not Working",3.06,13,1,0,"None",NA,9125,"Current",3,3,5,26,"Home",1,"Low Risk"
18,1,"Science","Undergraduate","Working",3.18,14,0,0,"None",67966,9597,"Current",14,0,7,28,"Home",1.1,"Low Risk"
23,1,"Liberal Arts","Graduate","Not Working",1.19,7,0,1,"None",102339,11246,"Current",13,2,3,410,"Apartment",1.3,"Medium Risk"
20,4,"Business","Undergraduate","Not Working",2.52,19,0,0,"None",NA,9163,NA,7,3,6,60,"Home",2.4,"Low Risk"
24,3,"Science","Undergraduate","Not Working",3.3,18,0,0,"None",32806,11464,"Delayed",5,6,9,12,"Home",0.5,"Low Risk"
21,1,"Business","Undergraduate","Not Working",2.57,14,0,0,"None",25641,8521,"Delayed",0,2,NA,604,"Dormitory",1.1,"Low Risk"
25,4,"Business","Undergraduate","Not Working",2.88,14,0,0,"None",NA,8551,"Delayed",0,3,4,608,"Dormitory",0.7,"Low Risk"
23,2,"Engineering","Undergraduate","Not Working",1.08,15,2,2,"None",15012,12539,NA,6,2,5,38,"Apartment",0.4,"High Risk"
22,3,"Liberal Arts","Undergraduate","Not Working",2.43,16,0,0,"None",23671,9296,"Delayed",4,2,NA,7,"Home",0.5,"Low Risk"
21,1,"Business","Undergraduate","Not Working",3.56,18,0,0,"None",123853,11116,"Current",0,2,9,5,"Home",0.5,"Low Risk"
25,1,"Engineering","Graduate",NA,2.32,8,0,0,"None",NA,15932,"Delayed",7,2,7,186,"Dormitory",0.4,"Medium Risk"
21,1,"Liberal Arts","Undergraduate","Not Working",1.68,15,0,1,"None",NA,8590,"Delayed",8,2,NA,697,"Dormitory",1.2,"Medium Risk"
18,3,"Business","Undergraduate",NA,3.15,19,0,0,"None",10549,7437,"Delayed",5,3,6,5,"Home",0.5,"Low Risk"
23,3,"Medicine","Graduate","Not Working",2.55,11,0,0,"Partial",NA,16265,"Current",6,2,5,301,"Dormitory",1.3,"Low Risk"
22,3,"Business","Undergraduate","Not Working",1.28,16,0,1,"None",37173,12647,NA,11,2,2,52,"Home",2.1,"Medium Risk"
18,3,"Liberal Arts","Undergraduate","Not Working",3.09,21,1,0,"Partial",22104,10944,"Current",0,2,7,115,"Dormitory",0.5,"Low Risk"
24,2,"Medicine","Undergraduate","Working",2.61,12,0,0,"None",NA,15948,"Current",13,0,4,800,"Dormitory",0.5,"Low Risk"
18,1,"Engineering","Undergraduate","Not Working",3.54,13,0,0,"Partial",59305,10952,"Current",6,2,7,70,"Home",2.8,"Low Risk"
22,1,"Business","Graduate","Not Working",2.04,9,0,0,"None",36793,11109,"Current",8,3,7,332,"Apartment",0.6,"Medium Risk"
21,4,"Engineering","Undergraduate",NA,0.13,15,4,2,"None",97478,15727,"Current",18,2,0,16,"Home",0.6,"High Risk"
21,2,"Liberal Arts","Graduate","Working",2.17,12,0,0,"None",NA,9666,"Current",20,0,5,439,"Apartment",1.3,"Medium Risk"
20,1,"Medicine","Graduate","Not Working",3.12,8,0,0,"None",44557,14638,"Current",0,3,5,344,"Apartment",1.4,"Low Risk"
25,2,"Science","Undergraduate","Working",3.37,15,0,0,"Partial",27714,14881,"Current",5,0,6,707,"Dormitory",1.1,"Low Risk"
23,4,"Engineering","Graduate","Not Working",2.5,10,0,0,"Partial",41170,10308,"Current",2,2,4,142,"Dormitory",1,"Low Risk"
18,2,"Science","Undergraduate",NA,3.55,12,0,0,"Partial",33114,14309,"Current",5,2,4,77,"Apartment",0.3,"Low Risk"
21,3,"Liberal Arts","Undergraduate","Not Working",2.83,13,1,0,"None",NA,13377,NA,7,3,4,32,"Apartment",0.8,"Medium Risk"
18,6,"Engineering","Undergraduate","Not Working",3.62,17,1,0,"None",61722,10163,"Current",0,3,6,193,"Dormitory",0.3,"Low Risk"
23,1,"Engineering","Graduate","Working",2.18,13,2,0,"None",18202,9277,"Delayed",16,0,7,74,"Home",3,"Medium Risk"
23,3,"Business","Graduate","Not Working",2.41,9,0,0,"Partial",47298,10989,"Current",7,2,5,93,"Home",3.7,"Low Risk"
18,3,"Liberal Arts","Graduate","Working",2.99,14,0,0,"Partial",22757,10219,"Current",12,0,5,35,"Home",1.4,"Low Risk"
21,4,"Medicine","Graduate","Not Working",2.08,7,1,0,"None",NA,14824,"Current",10,0,5,353,"Apartment",1.5,"Medium Risk"
24,3,"Science","Undergraduate","Not Working",2.31,14,1,0,"None",55512,9012,"Current",2,4,7,16,"Home",0.6,"Low Risk"
21,4,"Science","Undergraduate","Working",1.45,14,3,1,"None",48558,12784,NA,15,0,NA,800,"Apartment",0.6,"Medium Risk"
20,4,"Engineering","Graduate","Not Working",1.97,10,0,0,"None",96731,13822,"Current",7,1,3,88,"Apartment",1.3,"Medium Risk"
20,2,"Science","Undergraduate","Not Working",4,13,0,0,"Partial",74055,11091,"Current",0,2,10,16,"Home",0.6,"Low Risk"
23,1,"Engineering","Undergraduate","Not Working",3.03,12,0,0,"None",47378,13871,"Current",4,3,7,23,"Home",0.9,"Low Risk"
18,1,"Science","Undergraduate","Not Working",3.07,15,0,0,"None",174737,11795,"Current",0,2,8,246,"Apartment",0.8,"Low Risk"
20,3,"Engineering","Undergraduate","Not Working",2.9,12,0,0,"None",21790,15099,"Delayed",4,1,8,44,"Home",1.8,"Low Risk"
19,2,"Engineering","Undergraduate","Not Working",1.5,15,3,1,"None",NA,14555,"Current",12,2,4,44,"Apartment",1.1,"Medium Risk"
23,2,"Business","Undergraduate","Not Working",2.98,14,1,0,"None",NA,8008,NA,1,2,5,5,"Home",0.5,"Low Risk"
22,2,"Liberal Arts","Undergraduate",NA,3.71,16,0,0,"Partial",39838,11457,"Current",0,4,6,158,"Apartment",0.3,"Low Risk"
18,1,"Engineering","Undergraduate",NA,1.83,20,2,1,"None",61735,14450,"Current",9,1,8,5,"Home",0.5,"Medium Risk"
18,3,"Science","Undergraduate",NA,2.36,18,0,0,"None",16234,10913,"Current",0,3,NA,7,"Home",0.5,"Low Risk"
18,3,"Engineering","Undergraduate","Not Working",3.12,19,0,0,"None",23591,11304,"Current",5,1,7,50,"Home",2,"Low Risk"
21,3,"Medicine","Undergraduate","Not Working",2.04,20,0,0,"None",53513,15983,"Current",9,2,4,150,"Dormitory",1.2,"Low Risk"
24,1,"Liberal Arts","Undergraduate",NA,1.49,12,1,0,"None",16406,7628,NA,4,4,4,5,"Home",0.5,"Medium Risk"
27,3,"Medicine","Undergraduate","Not Working",2.23,14,1,1,"None",NA,15482,NA,7,1,6,123,"Apartment",1.3,"Low Risk"
22,2,"Engineering","Undergraduate","Not Working",1.38,21,1,2,"None",7243,11721,NA,16,1,5,66,"Home",2.6,"Medium Risk"
24,4,"Medicine","Undergraduate","Working",0.79,13,3,1,"None",NA,13657,NA,21,0,2,36,"Apartment",0.9,"High Risk"
21,1,"Engineering","Graduate","Not Working",2.35,8,0,0,"None",69703,14485,"Current",8,2,NA,373,"Apartment",1.4,"Low Risk"
18,2,"Business","Undergraduate","Working",2.67,9,0,0,"None",57131,13171,"Delayed",9,0,6,14,"Home",0.6,"Low Risk"
22,5,"Science","Undergraduate","Not Working",2.05,15,1,0,"None",123988,11141,"Current",4,1,9,7,"Home",0.5,"Low Risk"
21,1,"Business","Undergraduate",NA,2.05,15,2,0,"None",NA,10075,NA,13,0,5,53,"Home",2.1,"Medium Risk"
24,5,"Engineering","Undergraduate","Not Working",1.73,12,0,0,"None",61309,14172,"Current",3,3,4,5,"Home",0.5,"Medium Risk"
20,2,"Medicine","Graduate","Not Working",1.89,11,1,1,"None",31693,16784,"Delayed",3,4,3,800,"Apartment",0.6,"Medium Risk"
18,5,"Engineering","Undergraduate",NA,3.67,19,0,0,"Full",NA,9744,"Current",0,5,9,103,"Dormitory",0.3,"Low Risk"
18,1,"Engineering","Graduate","Working",2.64,13,0,0,"None",50247,13244,"Current",15,0,4,61,"Apartment",1.5,"Low Risk"
24,2,"Medicine","Undergraduate","Not Working",2.68,15,0,1,"None",35743,17207,"Current",6,1,5,478,"Apartment",1.2,"Low Risk"
19,5,"Engineering","Undergraduate","Not Working",4,14,0,0,"Full",226880,14721,"Current",0,4,NA,150,"Dormitory",0.3,"Low Risk"
21,1,"Business","Undergraduate",NA,2.44,13,1,0,"None",52523,8645,"Current",6,2,4,38,"Apartment",0.9,"Low Risk"
19,1,"Science","Undergraduate","Working",1.53,13,1,2,"None",NA,11542,"Delayed",16,1,4,25,"Home",1,"Medium Risk"
18,3,"Liberal Arts","Undergraduate","Not Working",3.08,12,0,0,"None",210047,11256,"Current",2,1,7,19,"Home",0.8,"Low Risk"
26,3,"Science","Graduate","Working",2.47,10,0,0,"None",21937,11719,NA,12,0,5,52,"Home",2.1,"Medium Risk"
22,2,"Engineering","Undergraduate","Not Working",2.5,12,1,0,"Full",19121,15079,"Current",11,2,5,72,"Home",2.9,"Medium Risk"
20,1,"Science","Undergraduate","Not Working",1.64,13,0,0,"None",NA,10480,NA,13,3,3,94,"Home",3.8,"Medium Risk"
23,1,"Liberal Arts","Undergraduate","Not Working",2.49,19,0,0,"None",NA,9644,"Current",2,3,7,800,"Apartment",0.8,"Low Risk"
20,2,"Liberal Arts","Undergraduate",NA,3.17,19,0,0,"None",69497,7368,"Current",0,5,8,14,"Home",0.6,"Low Risk"
20,5,"Business","Undergraduate",NA,0.97,13,3,1,"None",36943,8729,NA,16,1,2,70,"Apartment",0.5,"High Risk"
18,2,"Liberal Arts","Undergraduate","Not Working",2.47,16,1,0,"None",52994,11566,"Delayed",2,2,5,105,"Apartment",0.8,"Low Risk"
21,3,"Liberal Arts","Undergraduate","Not Working",2.78,14,1,0,"None",31166,11472,"Delayed",1,2,NA,63,"Home",2.5,"Low Risk"
19,2,"Medicine","Undergraduate","Not Working",2.98,21,0,0,"None",9109,14147,"Delayed",0,3,6,462,"Dormitory",1.1,"Low Risk"
21,2,"Science","Graduate","Not Working",3.16,8,0,0,"Full",NA,8630,NA,3,1,5,487,"Dormitory",1.4,"Low Risk"
18,2,"Engineering","Undergraduate","Working",1.6,10,5,0,"None",82287,14919,"Current",14,1,4,29,"Home",1.2,"Medium Risk"
18,4,"Engineering","Graduate",NA,2.84,6,0,0,"None",NA,12779,"Delayed",6,3,6,151,"Apartment",1.2,"Low Risk"
20,1,"Engineering","Graduate","Not Working",1.93,10,0,0,"None",49789,11615,"Current",3,4,NA,40,"Home",1.6,"Medium Risk"
22,6,"Science","Undergraduate","Working",2.05,15,1,0,"None",75654,11517,"Current",13,1,5,51,"Apartment",0.4,"Medium Risk"
19,5,"Liberal Arts","Undergraduate","Not Working",2.77,16,1,0,"None",41912,9218,"Current",5,3,7,324,"Apartment",1,"Low Risk"
21,1,"Business","Graduate","Not Working",1.77,11,0,0,"None",18252,11680,"Delayed",7,1,6,125,"Dormitory",1.4,"Medium Risk"
19,1,"Engineering","Undergraduate","Not Working",3.71,12,0,0,"None",NA,11826,NA,0,3,8,240,"Dormitory",1,"Low Risk"
21,5,"Engineering","Graduate","Not Working",2.59,8,0,0,"None",24429,11412,"Current",12,1,NA,97,"Home",3.9,"Medium Risk"
25,1,"Business","Undergraduate","Not Working",1.34,19,0,0,"None",45210,9736,NA,11,1,3,15,"Home",0.6,"Medium Risk"
19,2,"Liberal Arts","Undergraduate","Not Working",3.03,14,0,0,"None",45866,9201,"Delayed",0,4,7,261,"Dormitory",0.7,"Low Risk"
18,1,"Science","Graduate","Not Working",2.8,8,0,0,"None",65535,8878,"Current",1,4,5,573,"Apartment",0.6,"Low Risk"
22,2,"Science","Undergraduate","Not Working",2.25,16,0,0,"None",17081,10128,"Current",16,3,6,41,"Home",1.6,"Medium Risk"
22,4,"Liberal Arts","Undergraduate","Not Working",2.65,16,0,0,"None",37381,6297,"Current",3,3,2,169,"Dormitory",1.2,"Low Risk"
20,1,"Liberal Arts","Undergraduate","Not Working",2.6,18,0,0,"None",35692,7413,"Delayed",2,3,NA,30,"Home",1.2,"Low Risk"
22,1,"Engineering","Undergraduate","Not Working",1.04,21,1,2,"None",51476,9080,"Current",20,1,4,93,"Home",3.7,"High Risk"
18,4,"Engineering","Undergraduate","Not Working",3.12,19,0,0,"None",42400,11742,"Current",0,1,7,8,"Home",0.5,"Low Risk"
19,4,"Business","Undergraduate","Not Working",2.87,12,0,0,"Partial",96087,13324,"Current",6,2,6,282,"Dormitory",0.2,"Low Risk"
25,4,"Business","Undergraduate","Working",1.09,10,0,0,"None",65759,8199,"Current",13,0,NA,158,"Dormitory",1.4,"Medium Risk"
23,6,"Engineering","Graduate",NA,1.06,6,3,1,"None",NA,11398,NA,11,2,3,13,"Home",0.5,"High Risk"
23,1,"Engineering","Undergraduate","Not Working",1.92,12,0,1,"None",65453,9398,"Current",4,3,6,12,"Home",0.5,"Medium Risk"
25,4,"Science","Graduate","Working",2.63,10,1,0,"Full",15374,13376,"Current",9,2,8,145,"Dormitory",1,"Medium Risk"
21,1,"Liberal Arts","Undergraduate","Working",3.4,14,0,0,"None",23288,10079,"Current",8,0,8,16,"Home",0.6,"Low Risk"
23,3,"Engineering","Undergraduate",NA,1.73,15,2,0,"None",14484,15102,NA,5,3,9,800,"Dormitory",0.7,"Medium Risk"
24,2,"Business","Undergraduate","Not Working",2.05,21,0,0,"None",15418,12279,"Delayed",5,0,4,319,"Dormitory",0.6,"Low Risk"
18,5,"Science","Undergraduate","Working",1.25,13,2,0,"None",NA,12834,NA,17,0,0,87,"Apartment",0.6,"High Risk"
21,3,"Liberal Arts","Undergraduate","Working",2.61,15,0,0,"None",27084,10563,"Delayed",9,1,5,730,"Dormitory",0.8,"Low Risk"
27,1,"Medicine","Undergraduate","Not Working",3.42,15,0,0,"None",30512,13648,"Current",0,3,10,198,"Dormitory",0.5,"Low Risk"
24,2,"Medicine","Undergraduate","Not Working",1.64,14,3,0,"None",15761,16057,NA,7,4,4,79,"Apartment",0.4,"Medium Risk"
19,3,"Liberal Arts","Undergraduate","Working",2.86,12,1,0,"None",38677,8878,"Delayed",22,0,4,71,"Home",2.8,"Low Risk"
18,4,"Liberal Arts","Undergraduate","Not Working",2.41,14,1,0,"None",12662,10655,"Current",0,2,7,377,"Dormitory",0.4,"Low Risk"
22,2,"Engineering","Undergraduate","Not Working",1.62,13,0,0,"None",18814,13098,"Delayed",6,3,4,46,"Home",1.8,"Medium Risk"
20,2,"Medicine","Undergraduate","Not Working",1.96,13,0,1,"None",35949,16481,NA,3,3,2,108,"Apartment",0.7,"Medium Risk"
19,2,"Engineering","Undergraduate","Working",3.81,9,0,0,"None",73816,11052,"Current",6,3,8,15,"Home",0.6,"Low Risk"
22,2,"Business","Undergraduate","Not Working",1.59,16,2,0,"None",32598,10662,NA,7,3,5,6,"Home",0.5,"Medium Risk"
25,1,"Science","Graduate","Working",1.77,10,2,0,"None",34250,11737,"Delayed",10,1,2,309,"Apartment",0.8,"Medium Risk"
21,4,"Science","Undergraduate","Not Working",2.47,14,0,0,"None",162528,13556,"Current",8,2,NA,57,"Home",2.3,"Low Risk"
21,2,"Science","Undergraduate",NA,1.7,12,2,0,"None",41643,11183,"Current",7,1,5,33,"Home",1.3,"Medium Risk"
25,2,"Engineering","Undergraduate","Not Working",1.86,21,0,1,"Partial",32577,8998,NA,8,3,5,800,"Apartment",0.5,"Medium Risk"
20,5,"Engineering","Graduate","Not Working",1.73,10,1,0,"None",NA,11733,NA,10,3,8,137,"Dormitory",0.7,"Medium Risk"
19,4,"Business","Undergraduate","Not Working",2.37,19,0,0,"None",8387,9489,"Delayed",0,4,6,700,"Dormitory",0.8,"Medium Risk"
21,2,"Engineering","Undergraduate","Working",3.53,11,0,0,"None",33351,14403,"Delayed",9,0,9,53,"Home",2.1,"Low Risk"
18,2,"Medicine","Graduate","Working",2.79,9,1,0,"None",72446,14963,"Current",7,0,4,800,"Apartment",0.9,"Low Risk"
24,6,"Liberal Arts","Undergraduate","Not Working",1.5,17,2,1,"None",51533,11594,"Current",6,2,7,22,"Home",0.9,"Medium Risk"
26,3,"Business","Undergraduate","Working",0.63,15,2,1,"None",NA,5550,NA,18,1,NA,112,"Apartment",0.5,"High Risk"
20,5,"Science","Graduate","Not Working",1.71,9,2,0,"None",NA,14477,NA,15,1,3,56,"Home",2.2,"Medium Risk"
23,3,"Engineering","Undergraduate","Not Working",2.36,13,1,0,"Partial",19948,11380,"Current",6,1,6,16,"Home",0.6,"Low Risk"
20,6,"Science","Undergraduate","Working",1.82,10,1,1,"None",55663,13145,"Current",16,0,5,101,"Apartment",0.3,"High Risk"
22,3,"Engineering","Graduate","Not Working",2.96,7,0,0,"None",21676,10717,"Delayed",0,2,8,252,"Dormitory",0.6,"Low Risk"
22,2,"Engineering","Graduate",NA,4,11,0,0,"Partial",60854,10550,"Current",0,3,10,23,"Home",0.9,"Low Risk"
24,2,"Business","Graduate","Working",2.62,12,0,0,"None",39424,9564,"Delayed",10,0,3,160,"Dormitory",1.2,"Low Risk"
24,1,"Business","Graduate","Working",3.26,13,0,0,"None",NA,10211,NA,5,0,5,109,"Dormitory",0.3,"Low Risk"
21,4,"Science","Undergraduate","Not Working",1.81,17,0,0,"None",64640,8853,"Current",9,2,3,47,"Home",1.9,"Low Risk"
23,4,"Engineering","Undergraduate","Not Working",1.89,20,0,0,"None",NA,11876,NA,7,4,4,56,"Home",2.2,"Medium Risk"
20,1,"Engineering","Undergraduate","Not Working",1.44,19,0,2,"None",52217,12720,"Current",8,4,NA,13,"Home",0.5,"Medium Risk"
23,3,"Business","Undergraduate","Not Working",3.31,12,1,0,"None",NA,9945,"Delayed",2,4,5,35,"Apartment",1.2,"Low Risk"
22,1,"Engineering","Undergraduate","Not Working",3.19,13,0,0,"None",79889,11008,NA,0,4,7,338,"Apartment",0.8,"Low Risk"
23,2,"Engineering","Graduate","Not Working",4,7,0,0,"None",48901,10002,"Current",0,4,6,134,"Apartment",1.5,"Low Risk"
19,2,"Liberal Arts","Graduate","Not Working",3.68,8,0,0,"Full",22662,13032,"Current",0,3,7,27,"Home",1.1,"Low Risk"
20,4,"Science","Graduate","Not Working",2.93,8,0,0,"None",46143,11867,NA,8,2,6,63,"Home",2.5,"Low Risk"
23,4,"Engineering","Undergraduate","Not Working",2.09,20,0,0,"None",NA,12822,NA,4,4,5,198,"Dormitory",0.3,"Low Risk"
23,2,"Engineering","Undergraduate","Not Working",4,13,0,0,"Partial",138837,8024,"Current",1,3,6,88,"Home",3.5,"Low Risk"
20,3,"Science","Graduate","Not Working",2.07,8,1,0,"None",NA,12125,NA,6,2,7,216,"Apartment",1.4,"Medium Risk"
19,3,"Business","Undergraduate","Not Working",1.56,19,2,2,"None",36168,12365,"Current",9,2,2,60,"Home",2.4,"Medium Risk"
22,3,"Medicine","Undergraduate","Working",1.72,10,5,2,"None",96893,15255,"Current",17,2,3,6,"Home",0.5,"Medium Risk"
20,6,"Liberal Arts","Undergraduate","Working",3.16,10,0,0,"None",31703,15361,"Delayed",17,0,5,71,"Home",2.8,"Low Risk"
18,1,"Liberal Arts","Graduate","Not Working",1.71,7,1,0,"None",NA,15650,NA,12,2,3,29,"Home",1.2,"Medium Risk"
22,3,"Business","Undergraduate","Not Working",2.01,14,0,0,"None",19677,7207,NA,2,2,5,387,"Dormitory",1,"Medium Risk"
24,4,"Business","Undergraduate","Not Working",1.51,12,1,3,"None",10251,6349,NA,7,2,5,111,"Dormitory",0.5,"High Risk"
24,2,"Engineering","Graduate","Working",3.11,10,0,0,"Full",51157,12419,"Current",15,0,9,82,"Home",3.3,"Low Risk"
22,1,"Medicine","Undergraduate",NA,1.8,21,1,0,"None",31276,13891,"Delayed",4,2,4,12,"Home",0.5,"Low Risk"
24,3,"Science","Graduate","Not Working",1.8,11,0,1,"None",28561,14071,"Delayed",9,4,6,67,"Home",2.7,"Medium Risk"
22,2,"Liberal Arts","Graduate","Not Working",2.61,10,0,0,"None",NA,7501,NA,3,3,7,83,"Home",3.3,"Low Risk"
