"student.id","school.type","gender","location","ach","learn.style","study.hr","extra.act","extra.act.hr","self.esteem","social.skill","satisfac","sch.belong_ordinal","sch.absent","par.involv_ordinal","motiv_ordinal","acad.goal","time.manage1","time.manage2","acad.axiety1","acad.axiety2","acad.axiety3","acad.axiety4","acad.axiety5","teach.sup1","teach.sup2","teach.sup3","teach.sup4","teach.sup5","lrn.environ1","lrn.environ2","lrn.environ3","lrn.environ4","lrn.environ5"
13,"Public","หญิง","ภาคใต้",38.87815326275519,"เรียนผ่านการลงมือทำ",7.6,"ชมรมวิชาการ",2,9.5,8.6,2,"1",16,"3","1","เพื่อศึกษาต่อในประเทศ",16.2,9.3,"3","3","3","2","3","3","3","3","3","3","3","3","3","3","3"
14,"Public","ชาย","ภาคตะวันออกเฉียงเหนือ",50.807434042166605,"เรียนผ่านการลงมือทำ",8.7,"กีฬา",1.4,5.7,9,1,"3",12,"3","1","เพื่อศึกษาต่อในประเทศ",11.6,9.8,"1","1","1","1","2","3","3","2","3","3","1","1","1","1","2"
15,"Public","ชาย","ภาคกลาง",34.762846322210464,"เรียนผ่านการลงมือทำ",9.9,"กีฬา",0.6,7.8,8.7,2,"1",17,"3","1","ยังไม่มีเป้าหมายชัดเจน",11.8,1.9,"3","1","3","3","2","3","2","1","3","1","3","2","3","3","1"
16,"Public","ชาย","ภาคเหนือ",14.081515068451026,"เรียนผ่านการอ่าน-เขียน",4.1,"กีฬา",0.2,3.9,4.3,1,"1",17,"1","1","เพื่อสำเร็จการศึกษาขั้นพื้นฐาน",10.4,0.3,"2","1","1","1","2","2","2","3","2","3","1","1","1","1","1"
17,"Public","หญิง","ภาคกลาง",60.040936098987594,"เรียนผ่านการลงมือทำ",7.5,"ชมรมวิชาการ",0.4,7.1,10.1,3,"1",8,"3","3","เพื่อศึกษาต่อในประเทศ",15.8,15.4,"3","3","3","3","3","3","3","3","2","3","2","3","3","2","3"
18,"Public","ชาย","ภาคกลาง",37.95790239156475,"เรียนผ่านการลงมือทำ",9.5,"กีฬา",3,3.6,8.9,2,"1",15,"3","1","เพื่อศึกษาต่อในประเทศ",12.4,5.6,"3","3","3","3","3","3","3","3","3","3","2","1","3","3","2"
19,"Private","หญิง","ภาคตะวันออกเฉียงเหนือ",54.1270758689026,"เรียนผ่านการอ่าน-เขียน",9.1,"กีฬา",2.6,10.9,9.6,4,"3",11,"5","3","เพื่อศึกษาต่อในประเทศ",10.2,9.5,"3","3","3","3","3","3","3","3","1","2","3","3","3","3","3"
20,"Public","ชาย","ภาคกลาง",51.07166415097074,"เรียนผ่านการลงมือทำ",10.2,"กีฬา",1.6,5.6,7.1,2,"3",6,"3","4","เพื่อศึกษาต่อในประเทศ",11.3,11.9,"3","3","3","2","2","2","3","3","2","3","2","2","2","3","2"
21,"Private","ชาย","ภาคเหนือ",58.95905150157132,"เรียนผ่านการอ่าน-เขียน",10.2,"ชมรมวิชาการ",1.3,8.1,14.3,5,"3",6,"5","5","เพื่อศึกษาต่อในประเทศ",11.1,15.1,"3","3","4","4","3","3","3","3","3","3","4","5","3","3","4"
22,"Private","หญิง","ภาคกลาง",39.093079431093116,"เรียนผ่านการอ่าน-เขียน",4.4,"กีฬา",1.5,12.4,8.5,3,"3",7,"3","1","เพื่อศึกษาต่อในประเทศ",6.7,5.6,"3","1","3","2","1","3","3","3","3","3","3","3","3","3","3"
23,"Public","หญิง","ภาคตะวันออกเฉียงเหนือ",30.045525671755414,"เรียนผ่านการลงมือทำ",9.7,"กีฬา",1.4,2.7,5.4,2,"2",10,"2","1","ยังไม่มีเป้าหมายชัดเจน",10,7.9,"3","2","3","3","3","3","3","3","3","2","3","3","3","3","3"
24,"Private","ชาย","ภาคกลาง",38.37777013432192,"เรียนผ่านการลงมือทำ",2.3,"ชมรมวิชาการ",2.9,3.7,10.3,4,"2",14,"2","3","เพื่อศึกษาต่อในประเทศ",11.7,7.2,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
25,"Public","ชาย","ภาคตะวันออกเฉียงเหนือ",31.71013066553508,"เรียนผ่านการลงมือทำ",6.6,"ศิลปะ",0.9,11.7,9.9,3,"3",6,"3","3","เพื่อศึกษาต่อในประเทศ",12.4,11.4,"3","3","3","3","3","3","3","3","4","3","3","3","3","3","2"
26,"Public","ชาย","ภาคเหนือ",45.832577688476434,"เรียนผ่านการฟัง",9.9,"ศิลปะ",2,4.7,10.6,2,"5",10,"3","2","เพื่อศึกษาต่อในประเทศ",9.1,6.4,"2","2","2","2","3","3","3","3","3","3","2","2","3","3","3"
27,"Private","ชาย","ภาคใต้",43.78593484633276,"เรียนผ่านการอ่าน-เขียน",5.9,"ชมรมวิชาการ",3.2,0.2,7.7,4,"3",9,"2","2","ยังไม่มีเป้าหมายชัดเจน",10.3,9.4,"3","3","3","3","3","3","3","3","3","3","3","4","3","3","4"
28,"Private","ชาย","ภาคตะวันออกเฉียงเหนือ",46.51332419453716,"เรียนผ่านการลงมือทำ",4.4,"กีฬา",2,7.1,11.3,3,"3",8,"4","1","เพื่อศึกษาต่อในต่างประเทศ",8.7,13.2,"3","3","3","3","3","3","2","2","3","3","3","3","1","2","1"
29,"Private","หญิง","ภาคใต้",57.512606650598755,"เรียนผ่านการลงมือทำ",7.5,"ศิลปะ",1.7,5.9,6.6,4,"3",11,"2","1","เพื่อศึกษาต่อในประเทศ",10.5,5.5,"3","3","3","3","3","2","3","2","3","3","3","3","3","3","3"
30,"Public","หญิง","ภาคใต้",44.05547739218386,"เรียนผ่านการลงมือทำ",8.5,"ชมรมวิชาการ",0.7,5.1,9.8,2,"3",14,"3","1","เพื่อศึกษาต่อในต่างประเทศ",10.8,4.8,"3","2","3","2","2","3","3","3","2","3","2","1","3","1","3"
31,"Public","ชาย","ภาคเหนือ",36.306211211612855,"เรียนผ่านการลงมือทำ",6.7,"ชมรมวิชาการ",3.7,3.2,7.3,2,"1",12,"3","1","เพื่อศึกษาต่อในประเทศ",13.1,9.6,"2","2","1","1","1","3","4","3","3","3","1","1","3","3","1"
32,"Private","หญิง","ภาคเหนือ",59.40446504427143,"เรียนผ่านการลงมือทำ",10.7,"ชมรมวิชาการ",2.7,1.9,14.9,3,"2",5,"5","5","เพื่อศึกษาต่อในประเทศ",8.9,14.9,"3","3","3","3","2","3","4","3","3","3","3","3","3","3","3"
33,"Private","หญิง","ภาคตะวันออกเฉียงเหนือ",70.27474159686426,"เรียนผ่านการลงมือทำ",5,"กีฬา",0.9,8.5,11.7,3,"4",6,"3","5","เพื่อศึกษาต่อในประเทศ",11.1,12,"3","3","3","3","3","4","3","3","3","3","3","3","3","3","3"
34,"Public","หญิง","ภาคใต้",70.28377264342573,"เรียนผ่านการฟัง",9.3,"ศิลปะ",2,10,10.8,3,"3",7,"4","5","เพื่อศึกษาต่อในประเทศ",13.5,14.4,"3","3","3","3","3","3","3","3","3","3","2","1","2","3","3"
35,"Private","หญิง","ภาคเหนือ",39.791635360944234,"เรียนผ่านการอ่าน-เขียน",7.4,"ชมรมวิชาการ",1.6,3.7,8.1,3,"1",17,"3","1","เพื่อศึกษาต่อในต่างประเทศ",12.4,4.7,"3","3","2","3","3","1","3","2","3","3","3","2","2","3","3"
36,"Private","ชาย","ภาคเหนือ",90.92270013556215,"เรียนผ่านการอ่าน-เขียน",5,"ชมรมวิชาการ",2.6,2.7,15.7,5,"5",7,"3","5","เพื่อศึกษาต่อในประเทศ",6.7,9.1,"4","5","3","4","5","4","5","5","5","4","3","5","3","5","4"
37,"Public","ชาย","ภาคตะวันออกเฉียงเหนือ",40.119397128169645,"เรียนผ่านการลงมือทำ",6,"ศิลปะ",1.5,5,5.9,2,"1",13,"1","1","ยังไม่มีเป้าหมายชัดเจน",12.8,5.7,"3","3","3","3","2","3","1","2","3","3","1","3","3","3","3"
38,"Private","ชาย","ภาคตะวันออกเฉียงเหนือ",83.93220412357964,"เรียนผ่านการอ่าน-เขียน",9.9,"ชมรมวิชาการ",1.8,7.2,13.6,4,"3",5,"5","5","เพื่อศึกษาต่อในประเทศ",16,19.1,"3","3","3","3","3","3","3","3","2","3","3","3","3","3","3"
39,"Public","หญิง","ภาคใต้",36.29547027368693,"เรียนผ่านการลงมือทำ",2.6,"กีฬา",1.2,5.4,6.2,2,"1",12,"3","1","เพื่อศึกษาต่อในต่างประเทศ",8.6,2.2,"2","2","2","2","1","2","3","3","3","3","2","1","2","1","3"
40,"Private","หญิง","ภาคกลาง",69.01943473002785,"เรียนผ่านการลงมือทำ",8.4,"ชมรมวิชาการ",1.4,9,11.9,4,"3",5,"5","3","เพื่อศึกษาต่อในประเทศ",6.9,11.4,"3","3","3","3","3","3","3","3","3","2","3","3","3","3","3"
41,"Public","ชาย","ภาคเหนือ",65.71258472502257,"เรียนผ่านการลงมือทำ",11.7,"กีฬา",0.7,4.4,14.6,3,"5",8,"5","5","เพื่อศึกษาต่อในประเทศ",5,7.4,"3","3","3","3","3","3","3","3","3","3","3","1","3","3","3"
42,"Private","หญิง","ภาคเหนือ",30.379067726110126,"เรียนผ่านการอ่าน-เขียน",0.8,"ชมรมวิชาการ",1.6,5.8,10.4,4,"5",11,"1","4","เพื่อศึกษาต่อในประเทศ",5.6,1.6,"4","4","3","3","4","4","3","4","4","3","4","5","3","4","4"
43,"Public","ชาย","ภาคกลาง",62.08330600273433,"เรียนผ่านการฟัง",12.2,"ศิลปะ",2,8.6,11.3,2,"3",6,"5","3","เพื่อศึกษาต่อในต่างประเทศ",14.4,19.3,"3","2","1","3","3","2","1","2","1","2","3","2","3","2","3"
44,"Private","ชาย","ภาคเหนือ",26.02176579483956,"เรียนผ่านการลงมือทำ",6.3,"กีฬา",2.6,0.1,5.3,3,"3",12,"2","1","ยังไม่มีเป้าหมายชัดเจน",11.6,4.1,"3","2","2","3","3","3","2","1","2","3","3","2","2","1","1"
45,"Private","ชาย","ภาคใต้",68.5343203462515,"เรียนผ่านการอ่าน-เขียน",7,"ชมรมวิชาการ",2,4.2,10.5,4,"3",6,"3","2","เพื่อศึกษาต่อในต่างประเทศ",10,10.4,"3","3","3","3","3","2","3","1","1","3","3","3","3","1","3"
46,"Private","หญิง","ภาคกลาง",40.222423794939644,"เรียนผ่านการอ่าน-เขียน",6.9,"ชมรมวิชาการ",2,7.8,8.4,4,"1",11,"1","1","เพื่อศึกษาต่อในประเทศ",13.4,8.5,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
47,"Public","หญิง","ภาคกลาง",45.74252194776366,"เรียนผ่านการฟัง",10.9,"ศิลปะ",0.9,7.2,6.7,2,"3",12,"2","1","เพื่อศึกษาต่อในประเทศ",11.6,4.4,"3","2","1","2","3","3","3","3","3","3","2","3","3","3","3"
48,"Public","หญิง","ภาคเหนือ",54.94578919365136,"เรียนผ่านการฟัง",14.7,"กีฬา",0.5,9.1,12,3,"1",7,"4","3","เพื่อศึกษาต่อในประเทศ",13,15.4,"3","3","3","3","3","3","3","3","3","3","4","3","3","3","3"
49,"Private","หญิง","ภาคตะวันออกเฉียงเหนือ",41.198792784443555,"เรียนผ่านการอ่าน-เขียน",8.7,"กีฬา",0.9,10,11.3,3,"1",16,"3","3","เพื่อศึกษาต่อในประเทศ",7.9,1.1,"3","3","3","3","3","3","3","2","3","3","3","3","3","3","1"
50,"Private","หญิง","ภาคตะวันออกเฉียงเหนือ",48.119812721268836,"เรียนผ่านการอ่าน-เขียน",4.6,"ชมรมวิชาการ",4.8,4.1,7.2,3,"3",10,"1","3","เพื่อศึกษาต่อในประเทศ",11.1,5.4,"3","3","3","2","3","3","3","3","3","3","2","3","3","3","3"
51,"Private","ชาย","ภาคกลาง",62.32063214862674,"เรียนผ่านการลงมือทำ",8.2,"กีฬา",1,15.7,8.1,4,"3",10,"3","3","เพื่อศึกษาต่อในต่างประเทศ",15.4,13.1,"3","3","3","3","3","3","3","2","2","3","3","3","3","3","4"
52,"Public","ชาย","ภาคใต้",19.6648674088023,"เรียนผ่านการอ่าน-เขียน",2.2,"กีฬา",2.6,1.9,4.7,2,"1",21,"1","1","เพื่อสำเร็จการศึกษาขั้นพื้นฐาน",15.1,0.1,"3","2","3","2","3","1","1","3","1","3","1","3","1","2","3"
53,"Public","หญิง","ภาคเหนือ",48.13931110428482,"เรียนผ่านการฟัง",7,"กีฬา",0.6,5.1,5.6,2,"3",10,"3","1","เพื่อศึกษาต่อในต่างประเทศ",15.1,11,"3","3","3","3","2","3","2","1","1","3","3","3","3","2","3"
54,"Private","ชาย","ภาคกลาง",38.171366310011614,"เรียนผ่านการลงมือทำ",1.1,"ชมรมวิชาการ",3.2,9.1,6.6,3,"3",12,"1","1","เพื่อศึกษาต่อในต่างประเทศ",12.2,8.4,"3","3","3","2","2","3","2","3","3","3","1","3","3","3","3"
55,"Public","หญิง","ภาคใต้",52.58681329427362,"เรียนผ่านการอ่าน-เขียน",10.9,"กีฬา",1.2,5.6,8.8,2,"3",9,"4","3","เพื่อศึกษาต่อในประเทศ",9.8,8.9,"1","1","2","1","3","3","3","3","2","3","2","1","3","1","3"
56,"Private","หญิง","ภาคเหนือ",48.9011356281388,"เรียนผ่านการลงมือทำ",10.9,"ชมรมวิชาการ",1.7,11.9,9.8,3,"1",8,"5","3","เพื่อศึกษาต่อในประเทศ",12.9,14.1,"3","3","3","3","3","1","1","3","2","2","3","3","3","2","3"
57,"Private","ชาย","ภาคกลาง",64.1355051990531,"เรียนผ่านการอ่าน-เขียน",8,"กีฬา",0.6,7,12.9,5,"4",10,"5","5","เพื่อศึกษาต่อในประเทศ",12.9,12.1,"4","5","4","4","5","3","3","3","3","3","5","5","4","3","5"
58,"Private","หญิง","ภาคตะวันออกเฉียงเหนือ",60.53063815380625,"เรียนผ่านการลงมือทำ",7,"กีฬา",0.9,8.8,11.7,4,"3",7,"5","5","เพื่อศึกษาต่อในต่างประเทศ",11.6,14.5,"3","3","3","3","4","2","3","3","3","3","3","5","5","5","3"
59,"Private","ชาย","ภาคตะวันออกเฉียงเหนือ",48.38016289796593,"เรียนผ่านการอ่าน-เขียน",2.5,"ชมรมวิชาการ",1.7,7.2,9,4,"3",10,"3","4","เพื่อศึกษาต่อในประเทศ",12.8,10.4,"3","3","3","3","3","3","3","3","3","4","3","3","3","3","3"
60,"Public","ชาย","ภาคใต้",25.447076516258996,"เรียนผ่านการฟัง",1.3,"ศิลปะ",1.6,6.6,7,3,"2",19,"1","1","เพื่อศึกษาต่อในประเทศ",7,0.4,"3","2","3","3","3","2","3","4","3","1","3","3","3","3","3"
61,"Private","หญิง","ภาคใต้",44.42287445236185,"เรียนผ่านการฟัง",7,"กีฬา",2.5,8.4,7,3,"2",12,"3","3","เพื่อศึกษาต่อในต่างประเทศ",9.4,4.3,"3","3","3","3","3","2","1","3","3","2","3","3","3","3","3"
62,"Public","ชาย","ภาคเหนือ",49.36238813195855,"เรียนผ่านการฟัง",7,"กีฬา",1.2,13.3,8.4,2,"3",12,"3","3","เพื่อศึกษาต่อในประเทศ",15.5,10.9,"2","1","2","2","3","3","2","3","3","3","2","2","3","2","1"
63,"Public","หญิง","ภาคใต้",30.709262221823302,"เรียนผ่านการลงมือทำ",5.3,"กีฬา",0.9,6.5,4.8,2,"1",13,"1","1","เพื่อศึกษาต่อในประเทศ",11.8,4.5,"1","3","3","3","3","3","3","3","3","3","3","2","2","1","1"
64,"Private","ชาย","ภาคตะวันออกเฉียงเหนือ",42.74075924495886,"เรียนผ่านการอ่าน-เขียน",5.5,"กีฬา",2.7,3.2,11.6,3,"3",11,"5","5","เพื่อศึกษาต่อในประเทศ",10.3,8.6,"3","3","2","3","3","4","3","3","3","5","2","3","3","2","3"
65,"Public","หญิง","ภาคกลาง",44.05344278778758,"เรียนผ่านการลงมือทำ",8.8,"กีฬา",0.6,5.1,4.9,2,"3",8,"1","2","เพื่อศึกษาต่อในประเทศ",14.9,10.7,"3","3","1","1","3","3","3","3","3","3","3","3","3","3","3"
66,"Public","ชาย","ภาคเหนือ",62.84269132913585,"เรียนผ่านการลงมือทำ",14,"กีฬา",1,10.4,11.3,2,"4",7,"5","3","เพื่อศึกษาต่อในประเทศ",11.1,12.8,"3","3","3","3","3","3","3","3","3","3","2","3","3","3","2"
67,"Public","หญิง","ภาคเหนือ",48.76608366274339,"เรียนผ่านการลงมือทำ",3.5,"กีฬา",2.2,10.6,8.5,2,"3",9,"3","2","เพื่อศึกษาต่อในประเทศ",10.5,9.7,"1","2","2","1","1","3","3","5","3","3","1","2","2","1","1"
68,"Private","ชาย","ภาคใต้",53.31514903009002,"เรียนผ่านการอ่าน-เขียน",6.7,"ชมรมวิชาการ",3.3,9.1,8.4,3,"3",8,"3","1","เพื่อศึกษาต่อในประเทศ",13,12.8,"1","3","1","1","3","3","3","3","3","3","3","2","3","3","3"
69,"Public","หญิง","ภาคตะวันออกเฉียงเหนือ",29.189601847879977,"เรียนผ่านการอ่าน-เขียน",6.1,"ชมรมวิชาการ",2.7,4.3,8.1,4,"1",14,"1","1","เพื่อศึกษาต่อในประเทศ",9.3,2.2,"3","4","5","3","5","2","3","3","3","3","3","4","5","4","4"
70,"Public","ชาย","ภาคเหนือ",31.00879306184902,"เรียนผ่านการลงมือทำ",4.5,"กีฬา",1.4,4.9,4.9,2,"1",17,"1","1","เพื่อสำเร็จการศึกษาขั้นพื้นฐาน",8.2,0.5,"3","1","3","3","2","1","1","1","1","1","3","1","2","1","3"
71,"Public","หญิง","ภาคกลาง",15.084366072710626,"เรียนผ่านการอ่าน-เขียน",2.4,"กีฬา",4.1,3.9,5,2,"3",20,"1","1","เพื่อศึกษาต่อในประเทศ",13.3,0.3,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
72,"Public","ชาย","ภาคใต้",30.63668163161531,"เรียนผ่านการลงมือทำ",9.2,"กีฬา",1,7.9,6.6,2,"1",11,"3","1","เพื่อศึกษาต่อในประเทศ",10.9,6.9,"3","2","3","3","1","5","3","3","2","3","3","3","3","2","3"
73,"Public","ชาย","ภาคตะวันออกเฉียงเหนือ",78.9525936142701,"เรียนผ่านการลงมือทำ",7.7,"กีฬา",2.1,9.5,14.1,3,"3",6,"5","5","เพื่อศึกษาต่อในประเทศ",6,11.3,"3","3","3","3","2","3","3","3","3","3","3","3","3","3","3"
74,"Private","ชาย","ภาคตะวันออกเฉียงเหนือ",56.06968860021814,"เรียนผ่านการฟัง",4,"ศิลปะ",3.6,6,14.6,3,"4",5,"5","5","เพื่อศึกษาต่อในประเทศ",7.7,12.9,"3","3","3","3","3","5","4","3","4","3","3","3","3","3","3"
75,"Public","หญิง","ภาคตะวันออกเฉียงเหนือ",41.164050445239,"เรียนผ่านการฟัง",6.3,"กีฬา",3,1.8,5.5,2,"3",16,"1","1","เพื่อสำเร็จการศึกษาขั้นพื้นฐาน",12,1.7,"3","3","3","2","3","3","2","2","1","2","3","3","3","3","3"
76,"Public","ชาย","ภาคเหนือ",56.70625217662635,"เรียนผ่านการลงมือทำ",5.7,"กีฬา",2.4,9,10.3,3,"3",4,"3","1","เพื่อศึกษาต่อในประเทศ",16.3,18.7,"3","3","3","3","3","3","3","3","3","3","2","3","3","3","3"
77,"Private","หญิง","ภาคเหนือ",66.28891012100041,"เรียนผ่านการลงมือทำ",7.6,"กีฬา",1.8,8.4,10.7,3,"4",4,"4","3","เพื่อศึกษาต่อในประเทศ",10.2,14.3,"3","3","3","3","3","3","2","3","3","3","3","3","2","3","1"
78,"Private","ชาย","ภาคตะวันออกเฉียงเหนือ",36.97278192655892,"เรียนผ่านการลงมือทำ",1.5,"กีฬา",2.6,2.8,10.3,3,"1",14,"1","1","เพื่อศึกษาต่อในประเทศ",11.6,5.7,"3","3","3","3","3","4","4","3","4","3","3","3","3","3","3"
79,"Private","หญิง","ภาคกลาง",66.71857925076726,"เรียนผ่านการลงมือทำ",4,"กีฬา",3.6,8,12.8,4,"3",5,"4","4","เพื่อศึกษาต่อในประเทศ",6.7,8.7,"3","3","4","3","3","3","3","3","3","3","3","3","3","3","4"
80,"Public","หญิง","ภาคกลาง",73.59233140531849,"เรียนผ่านการลงมือทำ",7.8,"กีฬา",4,7,13.7,3,"5",2,"5","5","เพื่อศึกษาต่อในประเทศ",8,14.6,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
81,"Public","หญิง","ภาคใต้",33.745056955748446,"เรียนผ่านการฟัง",7.9,"ศิลปะ",1.6,5.2,7.3,2,"1",8,"1","1","เพื่อศึกษาต่อในประเทศ",13.1,10.8,"3","2","3","3","3","2","2","3","3","3","3","3","3","3","3"
82,"Private","ชาย","ภาคตะวันออกเฉียงเหนือ",61.24543410843361,"เรียนผ่านการอ่าน-เขียน",13.5,"กีฬา",0.3,9.3,13.4,3,"4",4,"5","5","เพื่อศึกษาต่อในประเทศ",10.1,14.2,"3","3","3","3","3","3","3","3","3","3","1","3","3","3","3"
83,"Private","ชาย","ภาคเหนือ",61.67123006000357,"เรียนผ่านการลงมือทำ",1.7,"กีฬา",1.3,7,8.1,4,"2",10,"3","1","เพื่อศึกษาต่อในต่างประเทศ",9.4,6,"3","3","3","3","3","2","1","2","2","3","3","3","3","4","3"
84,"Public","ชาย","ภาคเหนือ",47.985606391906884,"เรียนผ่านการลงมือทำ",10,"กีฬา",1.3,11.6,8.1,1,"3",15,"3","2","เพื่อศึกษาต่อในประเทศ",11.4,4.4,"3","2","2","2","1","3","3","3","3","3","3","1","1","3","2"
85,"Private","หญิง","ภาคเหนือ",55.83415478549189,"เรียนผ่านการอ่าน-เขียน",5.9,"กีฬา",2.2,9.2,8.5,3,"3",12,"3","3","เพื่อศึกษาต่อในประเทศ",8.8,5.6,"3","3","3","3","3","3","3","3","3","3","3","3","3","2","3"
86,"Private","ชาย","ภาคใต้",68.38410825453805,"เรียนผ่านการลงมือทำ",7.6,"ชมรมวิชาการ",0.6,10.1,15.5,5,"5",4,"5","5","เพื่อศึกษาต่อในประเทศ",6.7,13.9,"3","5","3","4","3","3","4","3","3","3","3","4","3","4","3"
87,"Public","หญิง","ภาคเหนือ",42.080421221520616,"เรียนผ่านการฟัง",11.2,"กีฬา",1.9,6.6,9.2,1,"3",12,"3","1","เพื่อศึกษาต่อในประเทศ",13.5,9.8,"1","3","2","1","1","3","3","3","3","3","1","1","2","1","1"
88,"Private","ชาย","ภาคเหนือ",40.42585819608851,"เรียนผ่านการอ่าน-เขียน",6.1,"ชมรมวิชาการ",1.6,2.7,10,4,"3",15,"2","2","เพื่อศึกษาต่อในประเทศ",7.9,1.5,"3","3","3","3","3","3","2","3","3","3","3","5","3","3","3"
89,"Private","ชาย","ภาคเหนือ",62.52042736764068,"เรียนผ่านการอ่าน-เขียน",3.5,"ชมรมวิชาการ",2.6,12.6,9.6,4,"2",13,"2","1","เพื่อศึกษาต่อในประเทศ",11.8,7.3,"3","4","3","3","3","3","3","3","3","3","3","3","3","3","3"
90,"Public","หญิง","ภาคตะวันออกเฉียงเหนือ",38.59273624729984,"เรียนผ่านการลงมือทำ",5.6,"ศิลปะ",1.7,7.9,4.4,2,"1",9,"1","1","เพื่อศึกษาต่อในประเทศ",13.4,9,"3","3","3","3","3","3","3","3","3","3","3","2","3","3","3"
91,"Private","ชาย","ภาคใต้",63.60984507207667,"เรียนผ่านการอ่าน-เขียน",4.5,"ชมรมวิชาการ",1.6,5.8,7.2,4,"3",10,"2","3","เพื่อศึกษาต่อในประเทศ",11,4.1,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
92,"Public","ชาย","ภาคใต้",33.75612266521057,"เรียนผ่านการลงมือทำ",2.8,"กีฬา",2.4,5.8,4.5,2,"4",10,"1","1","เพื่อศึกษาต่อในต่างประเทศ",11.8,6.2,"3","3","1","2","3","3","3","3","3","3","3","2","3","1","1"
