"ach","ontime_class","engage","practice","learning_performance_mar"
75.10977157004888,"never late","moderate engage","do not praction",NA
45.427754755621066,"never late","much engage","do not praction",66
45.62654200593119,"never late","much engage","do not praction",23.55555555555556
30.50377777161325,"never late","much engage","do not praction",NA
77.44537364013553,"never late","much engage","do practice",81.77777777777779
45.643483230559,"never late","much engage","do not praction",42.44444444444445
60.622358537669,"never late","much engage","do not praction",61.111111111111114
56.83523173313424,"never late","much engage","do not praction",83.33333333333333
33.327661453715685,"used to late","much engage","do not praction",NA
27.784317219668317,"used to late","much engage","do not praction",NA
56.88853016433649,"never late","much engage","do not praction",52.22222222222222
50.461564218343945,"used to late","much engage","do not praction",34.66666666666667
49.93335782054881,"used to late","much engage","do not praction",46.22222222222222
55.340994233341256,"never late","much engage","do practice",68.88888888888889
50.88710519338657,"used to late","much engage","do not praction",27.55555555555555
15.133795942459836,"never late","little engage","do practice",NA
56.83542597550324,"never late","much engage","do not praction",73.99999999999999
46.04620978769031,"used to late","much engage","do practice",54.22222222222222
6.453334881473529,"used to late","much engage","do not praction",NA
34.21420263923331,"never late","much engage","do not praction",NA
66.1491439938809,"never late","much engage","do not praction",66.66666666666667
44.49933913740452,"never late","much engage","do practice",53.333333333333336
42.69712993937433,"never late","little engage","do not praction",52
65.97409639079828,"never late","much engage","do not praction",80.88888888888889
43.25426847462994,"used to late","much engage","do not praction",27.555555555555557
35.658120677641904,"never late","moderate engage","do not praction",NA
44.93529712788467,"used to late","much engage","do not praction",66.22222222222223
48.09989092594601,"never late","much engage","do not praction",66.66666666666667
61.75078447454241,"never late","much engage","do practice",87.55555555555556
57.86844194903053,"never late","little engage","do not praction",72.66666666666667
30.761188231535755,"used to late","moderate engage","do not praction",5.777777777777777
41.99979113821318,"never late","much engage","do not praction",14.666666666666666
38.84075393812121,"never late","much engage","do not praction",NA
65.88716567716178,"never late","much engage","do not praction",93.55555555555556
35.70717780358311,"never late","moderate engage","do not praction",13.555555555555555
35.507200164407976,"never late","moderate engage","do practice",NA
49.100708722388745,"never late","moderate engage","do not praction",NA
36.31897488274021,"used to late","little engage","do not praction",41.55555555555556
22.355916236792247,"used to late","moderate engage","do not praction",NA
38.026119449827405,"never late","little engage","do not praction",NA
35.80437003336767,"never late","moderate engage","do not praction",NA
50.91163434129957,"used to late","much engage","do not praction",83.11111111111111
75.02197064930309,"used to late","much engage","do practice",92.44444444444444
54.064800237041645,"used to late","much engage","do practice",73.77777777777779
51.88942983854616,"used to late","much engage","do not praction",42.44444444444445
65.22895040421942,"never late","much engage","do practice",94.88888888888889
52.851566728070466,"never late","much engage","do not praction",70.44444444444444
37.27519012350896,"never late","much engage","do practice",NA
13.821304894440695,"never late","moderate engage","do not praction",NA
57.45720223369575,"used to late","moderate engage","do not praction",95.55555555555556
22.061438631179527,"used to late","moderate engage","do practice",NA
56.85245070621784,"never late","much engage","do practice",90.66666666666666
40.024283036077065,"never late","much engage","do not praction",51.111111111111114
50.74019035704312,"never late","moderate engage","do practice",NA
31.850431028026716,"used to late","much engage","do not praction",NA
41.138199970644905,"used to late","much engage","do practice",67.55555555555556
28.47637151465075,"never late","much engage","do not praction",NA
34.96074075564202,"never late","much engage","do not praction",NA
44.88702311045414,"used to late","moderate engage","do not praction",NA
23.997759097891937,"never late","little engage","do not praction",NA
58.155934947701056,"used to late","much engage","do practice",68.88888888888889
47.35995868721999,"never late","moderate engage","do not praction",NA
37.66932210980179,"used to late","much engage","do practice",57.333333333333336
59.7584223991005,"used to late","much engage","do not praction",76.66666666666667
41.68131885079934,"used to late","no engage","do not praction",28.66666666666666
27.25494250523205,"used to late","much engage","do not praction",NA
64.88195417447031,"never late","much engage","do not praction",78
48.56565188098875,"used to late","much engage","do practice",53.333333333333336
39.62192485776197,"used to late","much engage","do practice",60.888888888888886
49.987030938985285,"never late","much engage","do not praction",54.44444444444444
31.40405040353859,"never late","moderate engage","do practice",NA
32.254133106744916,"used to late","much engage","do not praction",NA
30.471432178124132,"never late","moderate engage","do not praction",NA
37.540282885885496,"used to late","much engage","do practice",NA
14.857692307686074,"never late","little engage","do not praction",22.666666666666664
8.775116368049098,"used to late","much engage","do practice",NA
49.111823577063475,"never late","much engage","do not praction",52.22222222222222
53.5702744559843,"used to late","little engage","do practice",48.44444444444444
23.832523227179067,"never late","little engage","do not praction",NA
52.87349336673183,"used to late","moderate engage","do practice",NA
72.20408853158328,"never late","much engage","do not praction",91.11111111111111
66.83711585723223,"never late","little engage","do not praction",72
56.44513636891196,"used to late","little engage","do practice",75.55555555555556
50.46423993178659,"never late","no engage","do not praction",64.22222222222223
46.902831522096584,"never late","much engage","do not praction",35.777777777777786
39.35972309464384,"never late","much engage","do practice",NA
42.730307322453875,"never late","moderate engage","do practice",NA
62.39660551513641,"never late","moderate engage","do not praction",NA
49.526840605135696,"never late","much engage","do practice",67.55555555555556
66.74390025549434,"never late","much engage","do practice",71.33333333333333
76.48515318573334,"used to late","moderate engage","do practice",NA
31.837707631137828,"used to late","little engage","do not praction",NA
47.88931506027104,"never late","much engage","do not praction",18.444444444444446
42.51921850712121,"never late","no engage","do practice",50.44444444444444
61.230313271243645,"used to late","moderate engage","do not praction",NA
24.254401937995752,"used to late","little engage","do not praction",NA
61.74485311836417,"never late","no engage","do practice",63.55555555555556
56.14363903338282,"used to late","moderate engage","do not praction",NA
34.49185468820807,"never late","much engage","do not praction",NA
58.595600090671034,"used to late","moderate engage","do not praction",NA
53.01410217124349,"never late","little engage","do not praction",73.55555555555554
78.2827897273317,"never late","much engage","do practice",72.88888888888889
33.885157786290804,"never late","moderate engage","do not praction",24.66666666666667
41.21030404784004,"never late","little engage","do not praction",40.22222222222223
36.60523429117799,"never late","moderate engage","do not praction",54.44444444444443
53.08487501327977,"used to late","much engage","do not praction",69.33333333333334
50.93167688946152,"used to late","much engage","do not praction",42.44444444444445
60.301155093155465,"never late","much engage","do practice",88.88888888888889
64.46386991772866,"used to late","moderate engage","do not praction",NA
55.11663224391424,"never late","much engage","do not praction",68.88888888888889
42.23908435587896,"used to late","little engage","do not praction",11.555555555555555
51.48540608705333,"used to late","moderate engage","do practice",NA
32.72564070286498,"used to late","moderate engage","do not praction",31.11111111111111
32.68371002347788,"used to late","much engage","do not praction",21.333333333333332
31.13370946755779,"never late","much engage","do not praction",NA
43.24943956812217,"used to late","moderate engage","do not praction",NA
43.31319133825998,"used to late","moderate engage","do practice",50.44444444444446
14.222776271881528,"used to late","little engage","do not praction",NA
42.40688542669383,"never late","moderate engage","do not praction",18.666666666666664
31.74858533310656,"never late","much engage","do not praction",NA
23.596055804453563,"never late","no engage","do not praction",NA
64.48146686377078,"used to late","moderate engage","do not praction",NA
55.381012535025086,"used to late","moderate engage","do not praction",NA
42.313397739521086,"never late","moderate engage","do not praction",NA
50.508335957792745,"used to late","much engage","do not praction",64.88888888888889
23.33514082445665,"used to late","much engage","do not praction",12.22222222222222
63.22097593683792,"never late","no engage","do not praction",84.66666666666666
28.981081225356977,"used to late","moderate engage","do not praction",NA
77.2292658401856,"used to late","much engage","do not praction",83.33333333333333
60.10724943901382,"used to late","little engage","do not praction",62
66.40428022776997,"used to late","moderate engage","do not praction",NA
68.3681827363194,"used to late","moderate engage","do not praction",NA
34.41813072561511,"never late","moderate engage","do not praction",NA
73.30231161531825,"used to late","much engage","do not praction",74.44444444444444
41.822496960244905,"used to late","much engage","do not praction",42.666666666666664
68.1201101659477,"used to late","much engage","do not praction",77.11111111111111
41.91593661428527,"never late","moderate engage","do not praction",NA
49.97754994237613,"used to late","moderate engage","do not praction",NA
59.18017893659925,"used to late","much engage","do not praction",58
23.28204169122939,"never late","moderate engage","do not praction",NA
41.04207219034245,"never late","moderate engage","do not praction",NA
70.73288875529161,"never late","much engage","do practice",79.11111111111111
49.425919876432,"never late","much engage","do practice",52.44444444444444
38.57007756333496,"never late","moderate engage","do not praction",24
56.095644691883614,"never late","moderate engage","do not praction",NA
71.48674738673452,"never late","much engage","do practice",93.33333333333331
14.683723273858176,"never late","moderate engage","do not praction",NA
78.02347277770379,"never late","much engage","do practice",85.33333333333334
53.91817475184602,"never late","moderate engage","do not praction",NA
7.134282427084432,"never late","little engage","do not praction",NA
50.825690034924015,"never late","little engage","do not praction",65.33333333333333
54.410972937945346,"never late","little engage","do not praction",51.111111111111114
62.451924402829626,"never late","moderate engage","do not praction",NA
57.54158154437955,"never late","little engage","do not praction",66
54.018751662889464,"never late","much engage","do not praction",75.55555555555556
45.29813002971684,"never late","moderate engage","do not praction",NA
59.80492831167553,"never late","moderate engage","do not praction",NA
43.32470436541502,"never late","moderate engage","do not praction",NA
51.363518749865285,"never late","little engage","do not praction",69.33333333333334
28.273271996318663,"never late","little engage","do not praction",NA
24.11326571886497,"never late","no engage","do practice",NA
55.88195970168352,"never late","no engage","do not praction",58
64.90601164627097,"never late","much engage","do practice",72.66666666666667
55.142468837120994,"never late","no engage","do not praction",58
33.70129135969438,"never late","no engage","do not praction",NA
47.52049657130611,"never late","moderate engage","do not praction",NA
46.84139014325394,"never late","moderate engage","do not praction",NA
37.64333294578806,"never late","much engage","do not praction",NA
59.79178625473926,"never late","little engage","do not praction",61.111111111111114
21.722664778222377,"never late","little engage","do practice",NA
31.465894116733516,"used to late","little engage","do not praction",NA
33.01720010457446,"never late","moderate engage","do not praction",23.333333333333332
35.68927849797613,"never late","much engage","do not praction",28.66666666666666
21.051837474055773,"never late","little engage","do not praction",NA
28.400471304988272,"used to late","little engage","do not praction",NA
30.39491495774615,"never late","little engage","do not praction",NA
29.078973596148177,"never late","little engage","do not praction",NA
20.737224412368345,"never late","little engage","do not praction",NA
47.65156661207143,"never late","moderate engage","do not praction",NA
33.561586441676894,"used to late","little engage","do not praction",NA
51.18963804148484,"never late","little engage","do not praction",65.1111111111111
8.627493798252837,"never late","little engage","do not praction",NA
35.217834089053106,"never late","little engage","do practice",NA
24.199899655702133,"never late","little engage","do not praction",13.77777777777778
63.11587513098157,"used to late","much engage","do practice",69.11111111111111
75.41464401655895,"used to late","much engage","do practice",77.33333333333333
32.476183068700706,"used to late","moderate engage","do not praction",NA
8.308900944892248,"never late","little engage","do not praction",18.666666666666668
33.544571933386194,"never late","much engage","do practice",NA
32.34879946866618,"never late","moderate engage","do not praction",NA
11.355064303833558,"never late","little engage","do not praction",NA
38.31747828515987,"never late","little engage","do not praction",NA
16.40527729899544,"used to late","little engage","do not praction",NA
25.71098330233241,"never late","much engage","do not praction",NA
28.88604880321708,"never late","moderate engage","do not praction",16
12.463117215717832,"never late","much engage","do not praction",NA
16.043602343568526,"used to late","little engage","do not praction",NA
31.13092451104397,"never late","no engage","do not praction",NA
19.103720139965574,"never late","moderate engage","do practice",NA
36.898098334894605,"never late","much engage","do not praction",NA
28.683383715255104,"never late","little engage","do not praction",6.888888888888889
36.75678010944048,"never late","little engage","do not praction",NA
17.165950103223334,"used to late","little engage","do not praction",NA
3.52393597583192,"used to late","little engage","do not praction",NA
4.104577710121077,"never late","little engage","do not praction",NA
28.787424335169295,"used to late","little engage","do not praction",NA
25.57204926120525,"never late","much engage","do not praction",NA
67.40062697717862,"never late","moderate engage","do practice",NA
33.43317066948345,"never late","much engage","do not praction",NA
65.6250062627891,"never late","much engage","do not praction",88.66666666666667
48.700584649096335,"never late","much engage","do not praction",45.77777777777778
47.57096935395658,"never late","moderate engage","do not praction",NA
27.61100584350335,"never late","no engage","do not praction",NA
25.583903493365383,"used to late","little engage","do not praction",NA
59.88299891608441,"used to late","moderate engage","do not praction",NA
57.971862294091544,"used to late","much engage","do not praction",60.66666666666666
56.152909841205606,"used to late","much engage","do not praction",60.66666666666666
58.40991029999873,"never late","much engage","do practice",50
52.00156540224855,"used to late","little engage","do not praction",48
41.64181111418651,"used to late","little engage","do not praction",13.333333333333334
55.65679088772741,"never late","much engage","do practice",61.55555555555557
50.260517260037375,"never late","much engage","do not praction",71.55555555555554
33.86694553074477,"never late","little engage","do not praction",NA
20.548250996805603,"never late","moderate engage","do practice",NA
29.52505055071343,"used to late","little engage","do not praction",NA
66.37025056663943,"never late","moderate engage","do practice",NA
73.9637434693078,"never late","much engage","do practice",68.66666666666667
59.11918724131359,"never late","much engage","do not praction",69.77777777777777
25.112639273452785,"used to late","little engage","do not praction",NA
9.983789665646372,"never late","moderate engage","do practice",NA
51.034395573034594,"used to late","moderate engage","do practice",NA
44.57705089082439,"used to late","moderate engage","do not praction",NA
40.19071838176161,"used to late","moderate engage","do not praction",NA
12.83267012521004,"never late","little engage","do not praction",NA
43.4521665196569,"used to late","little engage","do not praction",4.444444444444445
25.832617764352037,"used to late","no engage","do not praction",NA
33.53464476431457,"used to late","moderate engage","do not praction",NA
57.87999302350223,"used to late","much engage","do practice",58.22222222222224
62.285026314672145,"never late","much engage","do not praction",72.66666666666667
31.36060590884056,"never late","much engage","do not praction",48
52.089733136400355,"never late","much engage","do practice",70.88888888888889
66.33428883815344,"used to late","much engage","do not praction",92.66666666666669
51.8420482297589,"used to late","much engage","do practice",38.44444444444444
54.75674897600648,"used to late","much engage","do not praction",57.111111111111114
58.14362750730821,"never late","much engage","do not praction",86.66666666666667
66.55256936339444,"used to late","much engage","do not praction",85.33333333333334
60.607715046756354,"never late","much engage","do practice",87.55555555555556
57.92815325267999,"used to late","much engage","do not praction",75.55555555555556
12.430458154967267,"used to late","no engage","do not praction",NA
69.99584246891777,"used to late","much engage","do practice",83.77777777777779
49.60301810570913,"never late","much engage","do practice",66.44444444444444
69.70572786633704,"never late","much engage","do not praction",78.88888888888889
18.791411341844324,"never late","moderate engage","do not praction",NA
8.238567874258818,"never late","moderate engage","do not praction",15.333333333333334
29.61540292303364,"never late","moderate engage","do not praction",NA
24.805120262359512,"used to late","moderate engage","do not praction",NA
62.073011114937785,"never late","much engage","do practice",66.22222222222221
45.53549821346756,"never late","much engage","do practice",54.22222222222222
46.46379526000548,"never late","much engage","do not praction",18
6.7696247826142955,"used to late","much engage","do not praction",NA
57.35355979997349,"used to late","much engage","do not praction",70.66666666666666
69.22221243888362,"used to late","much engage","do not praction",71.11111111111111
45.088006371611584,"used to late","moderate engage","do not praction",NA
13.881842062029548,"never late","much engage","do not praction",10.444444444444445
29.33103738095829,"never late","moderate engage","do not praction",NA
61.639197374594666,"never late","much engage","do not praction",75.77777777777777
28.315895729702916,"never late","much engage","do practice",NA
-1.5755756127256042,"used to late","little engage","do not praction",NA
15.606012024431156,"never late","moderate engage","do not praction",NA
17.003194293590713,"never late","little engage","do not praction",NA
34.48426819108199,"never late","much engage","do not praction",17.77777777777778
56.211766432297544,"never late","much engage","do practice",54.666666666666664
17.04575671901566,"used to late","much engage","do practice",NA
59.08702502089086,"never late","moderate engage","do practice",NA
46.070195003247505,"never late","much engage","do not praction",18.666666666666668
22.170877608564332,"used to late","much engage","do not praction",28.444444444444443
54.25238637339142,"never late","much engage","do not praction",58.666666666666664
45.018612933747654,"never late","much engage","do not praction",51.111111111111114
66.7184269182629,"never late","much engage","do not praction",79.55555555555554
39.9254449327687,"never late","much engage","do not praction",24.444444444444443
29.588150914393463,"never late","much engage","do not praction",NA
37.41996896800864,"never late","little engage","do not praction",NA
40.2896659268731,"never late","much engage","do practice",36.44444444444444
22.949016822350536,"never late","moderate engage","do not praction",6.666666666666667
79.96763866017108,"never late","much engage","do not praction",77.77777777777777
54.07533606085633,"never late","much engage","do not praction",46
34.15840265234581,"never late","no engage","do not praction",27.77777777777778
25.93564962663703,"never late","moderate engage","do not praction",NA
43.3315072244927,"never late","moderate engage","do not praction",NA
26.623357530163,"used to late","much engage","do not praction",NA
32.058264847855,"never late","no engage","do not praction",NA
27.463083671786087,"never late","no engage","do not praction",NA
57.828346050061,"never late","much engage","do not praction",84.66666666666667
21.70511733435555,"never late","no engage","do not praction",NA
15.515805850858667,"never late","no engage","do not praction",NA
37.28346320301405,"never late","much engage","do not praction",NA
44.287376687743645,"never late","little engage","do practice",19.77777777777778
35.38966831248116,"never late","much engage","do not praction",NA
31.583689230035265,"never late","little engage","do not praction",NA
29.70266382268327,"used to late","little engage","do not praction",10.666666666666666
23.22332032150471,"never late","much engage","do not praction",NA
42.136067630951985,"never late","much engage","do not praction",48
37.00549587345536,"never late","much engage","do not praction",NA
46.59015884557675,"never late","little engage","do not praction",30.88888888888888
38.28224295196913,"never late","moderate engage","do not praction",NA
29.6415618832781,"never late","much engage","do not praction",NA
40.898817541390535,"never late","much engage","do not praction",28.22222222222222
16.40746878077963,"never late","no engage","do not praction",NA
31.738275628126452,"never late","no engage","do not praction",NA
24.12901175063674,"never late","moderate engage","do not praction",17.333333333333336
32.661737368263594,"never late","much engage","do not praction",NA
