cluster,input
5,มีความรู้ ความเข้าใจเกี่ยวกับงานที่ทำอย่างดีและพัฒนาตัวเองอย่างสม่ำเสมอ
5,ยังจัดการเวลาได้ไม่ดีพอ จัดลำดับความสำคัญยังไม่โอเค
5,เรายังพัฒนาได้เก่งกว่านี้ แต่ขอเวลาก่อน
5,ด้วยคุณวุฒิ และวุฒิทางอารมณ์สามารถรับแรงกดดันจากการทำงานได้
5,มีความรักในสถานศึกษา และมีความสุขในการสอนนักเรียน
5,ด้วยประสบการณ์และการพัฒนาจนเองอย่างจ่อเนื่อง คิดส่าตนเองมีความสามารถพอกับการประกอบวิชาชีพครู
5,รู้สึกตัวเองมีความรู้ความสามารถในเนื้อหาที่สอนนักเรียนได้เข้าใจในบทเรียนได้ง่ายขึ้น แต่ก็ยังมีหลายบทบาทหน้าที่ของครูที่ยังต้องทำความเข้าใจอีกเยอะเช่นกันค่ะ
5,สนุกกับการสอน  อยากเห็นความพัฒนาในตัวผู้เรียน
5,นักเรียนเรียนดี มีความสุข
5,ปฏิบัติงานได้เป็นอย่างดี ภาระงานที่มีเสร็จเรียบร้อยตามกำหนด
5,มีความขวนขวายในารเรียนและพัฒนาตัวเองเสมอ เหลือทักษะภาษาอังกฤษที่ยังต้องพัฒนามากขึ้น
5,มีการพัฒนาตัวเองและหาความรู้เพิ่มเติม ตลอดจนให้คำแนะนำปรึกษานักเรียน
5,การสอนเรามีความพร้อมที่จะทำเต็มที่ มีการพัฒนาตนเองเสมอ
5,เข้าสอนนักเรียนเต็มที่ เต็มเวลาอย่างตั้งใจ
5,ขวนขวายหาข้อมูลอยู่เสมอ ไม่รู้ก็หาข้อมูล
5,เพราะดิฉันมองว่าตนเองมีจิตวิญญาญในการเป็นครูสูงมาก ซึ่งจะส่งผลต่อการทำงานในอาชีพนี้ไปในทางที่ดี
5,สามารถทำงานที่ได้รับมอบหมายได้เต็มตามศักยภาพ รวมทั้งปฏิบัติหน้าที่สอนได้อย่างดี
5,เนื่องจากสอนหลายชั้นเรียนทำให้ประสิทธิภาพการสอนลดลง และะไม่มีเวลาในการเตรียมการสอนอย่างเต็มที่
5,การได้รับมอบหมายงานที่มากเกินไป ทำให้เวลาการพัฒนาตนเองในวิชาชีพตนเองไม่เพียงพอ
5,สอนอย่างเต็มใจ และเข้าใจนักเรียน
5,สอนนักเรียนได้เต็มที่แล้ว และงานอื่นๆที่ได้รับมอบหมายก็ทำเต็มที่
5,ทำได้ทุกหน้าที่ในโรงเรียน ทั้งงานสอนและงานพิเศษ
5,จากที่มีประสบการณ์การสอนและอบรมพัฒนาตนเอง สามารถถ่ายทอดความรู้ให้นักเรียนได้เหมาะสม
5,สามารถทำงานที่ได้รับมอบหมาย และสร้างสรรค์กิจกรรมการเรียนการสอนต่างๆ
5,สามารถใช้ความรู้ที่มี สอนเด็กให้เข้าใจเนื้อหาได้ดี
5,จบสายตรงเกี่ยวกับการสอนในป.ตรี ส่วนงานบริหารมีความรู้จากการเรียนป.โท
5,มีพื้นฐานความรู้ที่มากเพียงพอ และเตรียมการสอนอย่างดีเสมอ
5,ความสามารถคือสามารถสอนนักเรียน และทำงานอื่นได้
5,ไม่ได้ติดขัดอะไร สามารถจัดการและทำงานได้ทุกอย่างที่ได้รับมอบหมาย
5,การพัฒนาตนเอง แบ่งช่วงเวลาการทำงานอย่างชัดเจน
5,ได้รับผิดชอบภาระงานอื่นๆมากมาย นอกเหนือจากงานสอน
5,ฉันสำเร็จการศึกษาตรงสาขาวิชา และสามารถทำงานตามขอบเขตหน้าที่และความรับผิดชอบงานในตำแหน่งงานได้
5,นักเรียนมีความสุขในการเรียน  ผลสัมฤทธิ์นักเรียนสูงขึ้นทุกปี
5,งานเอกสารและสภาพแวดล้อมในที่ทำงานทำให้รู้สึกทำงานได้ไม่เต็มที่ และสอนไม่ตรงวิชาเอกทำให้ถ่ายทอดเนื้อหาได้ไม่ดีเท่าที่นักเรียนควรได้รับ
5,งานล้นมือ จัดการกับระบบความเครียดของตนเองไม่ได้
5,สามารถสอนนักเรียนได้ดี แต่ภาระงานนอกเหนืองานสอนเยอะเกินไปไม่สามารถจัดการได้
6,"ได้รับการเรียน,ฝึก,อบรมตลอดระยะเวลาการทำงาน"
6,"สามารถใช้ความรู้ในการจัดการเรียนการสอนได้ตาทศักยภาพของผู้เรียน และใช้ความรู้ในบทบาท
หัวหน้างานวิจัยพัฒนาคุณภาพการศึกษาในการช่วยเหลือคุณครูในการทำวิทยฐานะ คศ.4"
6,ทำงานได้ตามที่ ผอ รร สั่ง
6,สอบบรรจุครูผู้ช่วยได้อันดับ 1 ของจังหวัดสมุทรปราการ มีความแม่นยำในเนื้อหาวิชาที่ตัวเองสอน วัดได้จากผลการเรียน คะแนนสอบ มีทักษะในการสอน หาวิธีการสอนได้หลากหลายขึ้นอยู่กับนักเรียนแต่ละกลุ่ม
6,"เนื่องจากภาระงานที่มาก ประกอบกับบริบทของสภาพแวดล้อม (ผู้เรียน, เพื่อนครู) ทำให้คิดว่าตนเองไม่สามารถรับมือไหว จึงลาออกและประกอบอาชีพอื่นแทน"
6,มีความสามารถในจ่ายงานของการจัดการเรียนรู้ ขยันหาความรู้อยู่เสมอ กระตือรือร้นกับการหาวิธีที่เหมาะสมกับการเรียนรู้ของนักเรียน แต่ให้ 3 เพราะหักคะแนนเรื่องความสามารถด้านงบประมาณ ไม่มีความรู้ ไม่เห็นความสำคัญ ไม่ต้องการทำงานเสริม และคิดว่างานเสริมเหล่านี้สร้างภาระทำให้ไม่สามารถทุ่มเทกับการจัดการเรียนรู้ได้เต็มที่
6,"ได้รับมอบหมายงานไม่สอดคล้องกับความถนัด โดยใช้คำพูดว่า ""เป็นครูต้องทำได้ทุกอย่าง"" มากดดันให้เราทำงานนั้น ๆ"
